,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,17.433912,2.4769936,3.215299281675748e-42,2.984440793251429e-38
1,IGKC,15.992795,2.799654,6.888876089757985e-37,3.197127393256681e-33
2,IGHA1,13.120938,3.0889626,2.6551272793105855e-27,8.214963802186952e-24
3,REG1A,12.331006,3.7146027,2.491728674137996e-24,5.782056388337221e-21
4,IGHG4,11.325643,2.5379348,1.4416219945432143e-22,2.676227070670023e-19
5,JCHAIN,10.896313,2.7284405,5.425298011377347e-21,8.392936023600756e-18
6,IGHG3,10.596834,2.8948257,3.6536823391740204e-20,4.844782781744751e-17
7,IGHM,10.337991,3.0362651,3.7576051569360364e-19,4.359761383335036e-16
8,DMBT1,8.552331,3.1421952,2.0203771584621912e-14,1.5627617320705048e-11
9,PLA2G2A,7.975364,2.333288,3.4035521907817734e-13,1.9744857146772763e-10
10,LINC02739,7.93616,1.8080001,3.2992887367677956e-13,1.9744857146772763e-10
11,IGLC2,7.9111977,2.513811,5.349833334435297e-13,2.9210090006016724e-10
12,IGLC1,7.647385,2.1767302,2.006789698177193e-12,9.803695778147739e-10
13,TMSB10,7.353068,1.6579001,6.326115035974246e-12,2.9359499881956475e-09
14,SNHG1,7.340869,1.5273798,8.109472967308192e-12,3.58438705155022e-09
15,MUC1,7.224096,3.5950634,3.860899137905508e-11,1.558124599914736e-08
16,IGLC3,7.189861,3.6241877,4.398649507840252e-11,1.7011776971572173e-08
17,PSAP,6.964554,1.8709215,8.22880799986126e-11,2.7548345371507635e-08
18,S100A6,6.9563956,1.9196312,8.310209765160675e-11,2.7548345371507635e-08
19,PLCG2,6.8836637,2.7643893,2.0606075823336825e-10,6.169857928781046e-08
20,CTSB,6.708607,1.7910596,3.1714581981121363e-10,9.199210935899016e-08
21,C1QA,6.5979586,1.9734796,5.858632426681845e-10,1.5537093195560254e-07
22,RACK1,6.478648,1.2958374,7.942692591328854e-10,1.9401071745451161e-07
23,CD74,6.2143397,1.22648,2.682571513037499e-09,6.073080191222944e-07
24,LCN2,6.040226,3.7427142,1.4978008960244793e-08,2.725997630764552e-06
25,HLA-DQB1,6.0331907,2.2742276,1.1946853277299264e-08,2.2630753493855463e-06
26,CXCL14,6.017372,1.9903411,1.1714131060411912e-08,2.2630753493855463e-06
27,KRT8,5.888005,1.6903605,2.1153808215571235e-08,3.7047103369232495e-06
28,CD24,5.8382645,2.7219896,3.63995437725785e-08,5.631009421617894e-06
29,COL1A2,5.792557,2.3899753,4.386751117672743e-08,6.567390947457806e-06
30,IGHG2,5.748467,3.1773229,5.688422624175745e-08,7.880587880238697e-06
31,GAS5,5.7330303,1.3746823,4.5682202073179574e-08,6.673136241352332e-06
32,SPINK4,5.686818,1.7597656,6.30431619908551e-08,8.60539161175172e-06
33,ACTB,5.6204505,1.1956663,6.826840605724458e-08,9.067781168981968e-06
34,PDZK1IP1,5.55511,3.4692104,1.5042290705365025e-07,1.886791112529705e-05
35,S100A11,5.5519605,2.7069585,1.3934847924645843e-07,1.7718254580351058e-05
36,CD55,5.4431596,3.2354078,2.480012741494035e-07,2.9895426320191732e-05
37,TNFRSF6B,5.4244065,3.7791524,2.8134294093556544e-07,3.223981700943109e-05
38,EIF4A2,5.281284,0.9284888,3.396193264117348e-07,3.798007937052678e-05
39,COL18A1,5.215905,2.8631008,6.654407392406474e-07,7.09956430072608e-05
40,STAT1,5.109842,2.302208,1.0249137123406941e-06,0.0001045411986587508
41,WARS,5.0260057,2.0180223,1.4362001062917608e-06,0.00013886259777708463
42,SH3BGRL3,5.025861,1.7213005,1.3779166018533657e-06,0.00013606193508939297
43,LYZ,5.02208,1.340339,1.309502596357856e-06,0.00013069680752036148
44,SSR4,4.919518,1.8553559,2.227962457174082e-06,0.00019937584980832062
45,C1QB,4.9036255,2.4208038,2.611653632781536e-06,0.00023087018113788777
46,MZB1,4.869712,2.5237262,2.9457436949383744e-06,0.00025553638295717747
47,RARRES2,4.8189597,3.114845,3.86383598327174e-06,0.00031459759295375696
48,IDO1,4.7716603,4.4708,5.0338969042501915e-06,0.0003993558210705152
49,HLA-C,4.7586684,1.0721885,3.826084827500723e-06,0.00031459759295375696
50,SLC40A1,4.622487,2.7847044,8.72855649471784e-06,0.0006379406408186692
51,ANXA2,4.587342,1.5056138,8.946696492797236e-06,0.0006487752878604995
52,TIMP1,4.571966,3.4605045,1.1252997957960362e-05,0.0007818273303708866
53,GCNT3,4.540722,2.3194046,1.184312650505207e-05,0.0008082933839698037
54,APOL1,4.5352974,2.3200338,1.2377794025496487e-05,0.0008325411894540463
55,EIF4A1,4.5166106,1.1249027,1.1521434412206786e-05,0.0007921626238081732
56,SPINK1,4.516318,1.6636263,1.2244432179525133e-05,0.00082958262401717
57,NCF1,4.5044303,1.8782476,1.3223159233130606e-05,0.0008757737466256065
58,ISG15,4.48665,2.1830037,1.4921544698627316e-05,0.0009526978359014853
59,LPCAT1,4.4767456,2.8507574,1.6030244981640907e-05,0.0010053563102675061
60,LTB,4.4684944,1.9929159,1.4985335492524977e-05,0.0009526978359014853
61,HLA-DRA,4.4636,0.97906506,1.3303608950033454e-05,0.0008757737466256065
62,CDC25B,4.447157,2.1271482,1.7321339747897624e-05,0.0010718445035999048
63,CD59,4.4449625,2.4940016,1.8050032972402882e-05,0.0011095391129128712
64,CYBA,4.409401,1.8971575,1.9562293347341864e-05,0.0011945868871712313
65,IFITM3,4.3883796,2.0568466,2.1639272160477024e-05,0.0013042579493087515
66,PTGDS,4.3866777,2.323773,2.2343589636002404e-05,0.001329443583342143
67,IFI30,4.375052,2.1707292,2.351144240581328e-05,0.0013725359019544582
68,MUC13,4.3283787,1.0580556,2.5389565976923016e-05,0.0014547280950481447
69,PKM,4.27055,1.8088033,3.3620236533749e-05,0.0018575180684896322
70,FTL,4.260602,0.8892301,3.0968725922892576e-05,0.0017421316000987206
71,TYMP,4.243738,0.9992393,3.584955187600846e-05,0.001957385532430062
72,SNHG12,4.23462,1.2029057,3.783276528503619e-05,0.002041649577765732
73,ACP5,4.2256637,3.4845045,4.446084824214708e-05,0.002304864388158603
74,TMSB4X,4.2165484,1.1645608,3.964491314826558e-05,0.002090818658194325
75,SERPINB6,4.198781,1.2143166,4.3181616698933143e-05,0.0022517514955027944
76,EEF2,4.19047,1.0288546,4.2067292063701256e-05,0.002206037316018503
77,UBD,4.1823754,2.6158435,5.095379753090605e-05,0.002556503506388486
78,C1S,4.1802917,2.0180583,4.8827775149114315e-05,0.00249021653260483
79,HM13,4.176062,1.9181001,5.0800828374999734e-05,0.002556503506388486
80,AGR2,4.1397862,1.5127372,5.607119362235523e-05,0.0027537186201201124
81,C3,4.137543,2.2203157,5.940527935220629e-05,0.002902104226037783
82,VIM,4.094029,1.9655747,6.82271447815296e-05,0.003231042642153866
83,CXCL9,4.0881863,3.0212004,7.49016492107284e-05,0.0034417678612573316
84,LUM,4.061491,3.661959,8.449612422370589e-05,0.0037706395434828756
85,UBA52,4.0576396,0.98171526,7.349166085454664e-05,0.00341074798025951
86,COL3A1,4.043573,2.260087,8.598847605996528e-05,0.003800690641850466
87,ATP6V0B,4.0431957,1.6977705,8.311676741342683e-05,0.00374295967066189
88,GPNMB,4.034532,2.2684932,8.888835461952932e-05,0.003891800507445619
89,MXRA5,4.0127764,3.1605234,0.00010068605750432273,0.004287009108968457
90,CTSC,3.9813213,2.7205865,0.00011096826509952768,0.004598247485061678
91,PLAC8,3.9700356,2.2330225,0.00011364714916105328,0.004683555386477547
92,GRINA,3.9627533,2.0677707,0.00011652255547171724,0.00472143656880053
93,S100A16,3.956936,1.7036338,0.00011727901714923994,0.00472143656880053
94,GAPDH,3.9436493,1.0251383,0.00011455332930115931,0.004684070495917889
95,CTSS,3.9401207,1.445999,0.00011977295118322759,0.004791950572770338
96,CCL21,3.8799865,2.7378228,0.00016449803278638882,0.006156736856142182
97,CYSTM1,3.8729434,1.6085601,0.0001553509145978785,0.005958542104535158
98,MMP12,3.8722048,3.962865,0.00017236434623829521,0.006425244424834764
99,CD63,3.866589,1.2249676,0.00015866306270091894,0.0060356989671718425
100,GSTP1,3.8644311,1.641448,0.00016380760016835815,0.006155717185274091
101,ITGB2,3.8532534,2.1108394,0.00017555678159301885,0.006518072186985603
102,ISG20,3.8008463,2.1224384,0.00021022863728652799,0.007592771250169467
103,RASGRP2,3.785937,2.248308,0.00022329041131655635,0.007991149361368919
104,GRN,3.768249,1.5821834,0.00023101961214533925,0.008215800919283674
105,LAP3,3.7512941,1.6658702,0.00024774153732370755,0.008743486499766744
106,VMP1,3.7241828,1.2373306,0.000267239691085375,0.009153205950754431
107,SERF2,3.7189631,1.1177118,0.00026583127832239525,0.009138688612549899
108,PFKFB3,3.7167618,3.928093,0.000301113672083053,0.00988844105773136
109,ERO1A,3.7127976,2.4931033,0.00029858158908736897,0.009862755551277433
110,TGM2,3.7077036,1.9974626,0.0002983261338258097,0.009862755551277433
111,TM4SF20,3.7045963,1.6207572,0.0002942439852321645,0.009839184351806246
112,CD6,3.703693,1.9235531,0.0002946879174533653,0.009839184351806246
113,LGALS1,3.7004068,1.9870554,0.0003046858589216946,0.00988844105773136
114,CNN2,3.6995125,2.01022,0.0003039461159774257,0.00988844105773136
115,TIMP2,3.6993315,1.8328454,0.00030393624420342467,0.00988844105773136
116,HLA-DPB1,3.6965983,1.1873163,0.00029301393978068926,0.009839184351806246
117,TAP1,3.695199,1.1453644,0.0002979629917763811,0.009862755551277433
118,HLA-E,3.680882,0.8498092,0.0003042721369546293,0.00988844105773136
119,GPRC5A,3.680662,2.3817046,0.00033145264080679417,0.010428960718537843
120,PDIA4,3.6738436,1.6164062,0.0003297009254865274,0.010409129218931794
121,IFI27,3.6674044,0.9851288,0.0003187332514992333,0.010201662208330632
122,LITAF,3.6582015,1.2739167,0.0003369431359929477,0.010565899284751828
123,SEC61G,3.6284187,1.6831495,0.0003819407462549668,0.01181724668912867
124,PFDN5,3.5882893,1.1534108,0.0004395271744355884,0.013376036829872562
125,ZFAS1,3.580166,1.5066743,0.00046052638329318295,0.013789051257184918
126,TNFAIP2,3.5706558,1.7815319,0.00047869892498965215,0.014195793679725085
127,C1QC,3.5696714,2.6860347,0.000492996639814704,0.014372279565716583
128,FGL2,3.5564203,1.659283,0.0004960940700206234,0.014389828618535706
129,PFN1,3.5536885,0.8713671,0.00047532700288236725,0.014140978335750426
130,CALR,3.5380538,1.2827309,0.0005232197511738219,0.015035683375837198
131,MFGE8,3.5295951,2.41716,0.0005648784244622737,0.01595520316529435
132,STOM,3.5184088,2.205306,0.0005788830095404032,0.0162332087448762
133,HSPB1,3.5000196,1.9461215,0.0006050707230215458,0.016865665018276244
134,RPN2,3.48573,1.7759404,0.0006483395792715895,0.01791038087737766
135,TPT1,3.484316,0.758604,0.0006038322281172533,0.016865665018276244
136,CD81,3.4730554,2.0753732,0.0006746199200206408,0.018526100880566828
137,PARM1,3.4633088,3.1835387,0.0007202210778169522,0.019547052761102194
138,CFB,3.457018,1.0909522,0.0006918569279728584,0.018887694133659035
139,CCL25,3.446877,1.6312463,0.0007285055572029623,0.019714252425533225
140,CENPT,3.4461722,1.9736204,0.0007418011893229381,0.020015693718882302
141,CAPG,3.4319415,2.4207304,0.0007923607424108642,0.021046611866245086
142,BIRC3,3.429816,1.080321,0.000760457227120333,0.020459605745307047
143,A2M,3.423626,1.6127437,0.0007936128154692717,0.021046611866245086
144,VWA1,3.4026423,4.403156,0.0008898718002836761,0.02281709958627923
145,SELL,3.3936977,3.666047,0.0009171337202278335,0.023451336614751378
146,QSOX1,3.369989,1.3737373,0.0009434907193981234,0.024059013344652148
147,ETS2,3.3662362,1.3990252,0.0009558758152850646,0.0243080529245917
148,TXNDC5,3.3605638,1.6547978,0.000990356679985757,0.024911898925820585
149,FXYD5,3.355353,2.3692048,0.001015904498246623,0.025280497460389153
150,IGFBP5,3.3478396,2.11229,0.001038449482326503,0.02563534067807075
151,TRAFD1,3.3465426,2.110786,0.0010469773165611071,0.02577730358705622
152,EEF1G,3.33515,0.8983452,0.0010226234492846623,0.02537965469588298
153,GNG5,3.3323543,1.6044824,0.0010821327457054574,0.026294126035701717
154,TSPAN1,3.326256,1.0384514,0.0010777145639892698,0.026294126035701717
155,DCN,3.3256817,2.3074186,0.0011237554998452775,0.026901592203115336
156,TAGLN2,3.3169003,1.0266112,0.001096906393197729,0.02651428422307636
157,CLTB,3.3155107,1.2822937,0.0011181943129060688,0.02688880728599516
158,SNHG29,3.313215,1.0686289,0.0011245224924379175,0.026901592203115336
159,SNRPG,3.309414,2.0690942,0.0011653313037361963,0.02773488502892147
160,LMAN2,3.3014758,1.5681221,0.0011745842808096295,0.027883609448785113
161,COL1A1,3.2813127,2.405785,0.0013101736583880225,0.030413957339531693
162,RNF213,3.263599,0.90037,0.0013168816372597033,0.03048203330933807
163,PLAUR,3.245824,3.556815,0.0014970113791926976,0.033726358305016066
164,TMEM54,3.242513,1.1476988,0.0014356225204874738,0.0329023413213944
165,EIF5A,3.226351,1.8030674,0.0015426695676543463,0.034587098857409765
166,COX7A2,3.2112432,1.4410297,0.0016064389070909932,0.03550229984671095
167,FAU,3.2103934,0.92070365,0.0015627925971694967,0.03486980982434439
168,OST4,3.2064507,1.3089746,0.0015998827763364935,0.03544784414155752
169,GMFG,3.2047029,2.195668,0.0016613488600509137,0.03645541399289026
170,YWHAZ,3.1995933,0.9352263,0.0016296030344185365,0.035928682578320326
171,PSMB10,3.1952806,1.4294692,0.0016862632841906924,0.03672330373377132
172,REG4,3.1951404,1.0212404,0.0016543360786019296,0.036387553273893626
173,SLC6A8,3.1949306,1.3469132,0.0016722338515172087,0.03660772313628003
174,CARHSP1,3.1945283,2.2404354,0.0017247223507395016,0.036802006573710466
