Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	6/70	1.206881e-06	6.250361e-04	0	0	2.021535e+01	2.754841e+02	NDUFA11;NDUFB1;UQCR11;UQCR10;SDHA;UQCRH
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6/71	1.313101e-06	6.250361e-04	0	0	1.990334e+01	2.695534e+02	NDUFA11;NDUFB1;UQCR11;UQCR10;SDHA;UQCRH
GO_Biological_Process_2021	mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	3/12	2.430540e-05	7.712914e-03	0	0	6.980000e+01	7.416119e+02	UQCR11;UQCR10;UQCRH
GO_Biological_Process_2021	cellular response to tumor necrosis factor (GO:0071356)	7/194	4.762604e-05	1.133500e-02	0	0	8.109831e+00	8.071010e+01	CCL25;EIF5A;ASAH1;TNFRSF6B;PSMA4;ACTN4;ZFP36L2
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	10/481	1.246353e-04	1.906747e-02	0	0	4.688043e+00	4.214606e+01	GSDMD;ASAH1;DDX3X;GMFG;COTL1;CYBA;S100A11;CTSC;ARHGAP45;TXNDC5
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	10/485	1.333403e-04	1.906747e-02	0	0	4.647608e+00	4.146877e+01	GSDMD;ASAH1;DDX3X;GMFG;COTL1;CYBA;S100A11;CTSC;ARHGAP45;TXNDC5
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	10/488	1.402020e-04	1.906747e-02	0	0	4.617725e+00	4.097043e+01	GSDMD;ASAH1;DDX3X;GMFG;COTL1;CYBA;S100A11;CTSC;ARHGAP45;TXNDC5
GO_Biological_Process_2021	positive regulation of amino acid transport (GO:0051957)	2/5	2.353803e-04	2.489801e-02	0	0	1.381875e+02	1.154461e+03	ACE2;ARL6IP1
GO_Biological_Process_2021	positive regulation of anion transmembrane transport (GO:1903961)	2/5	2.353803e-04	2.489801e-02	0	0	1.381875e+02	1.154461e+03	ACE2;ARL6IP1
GO_Biological_Process_2021	regulation of viral genome replication (GO:0045069)	4/67	3.279291e-04	3.121885e-02	0	0	1.340020e+01	1.075060e+02	ISG20;ILF3;DDX3X;ISG15
GO_Biological_Process_2021	cellular response to UV-B (GO:0071493)	2/8	6.527715e-04	5.178654e-02	0	0	6.908333e+01	5.066767e+02	STK11;CRIP1
GO_Biological_Process_2021	negative regulation of actin nucleation (GO:0051126)	2/8	6.527715e-04	5.178654e-02	0	0	6.908333e+01	5.066767e+02	GMFG;CORO1A
GO_Biological_Process_2021	cellular respiration (GO:0045333)	3/42	1.140121e-03	8.349194e-02	0	0	1.608340e+01	1.089911e+02	UQCR10;SDHA;UQCRH
GO_Biological_Process_2021	positive regulation of reactive oxygen species metabolic process (GO:2000379)	3/49	1.784990e-03	1.000776e-01	0	0	1.363112e+01	8.626240e+01	CBR1;ACE2;CYBA
