Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	56/71	3.056398e-28	1.659624e-24	0	0	1.668423e+01	1.057032e+03	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COA6;COX8A;NDUFC2;NDUFC1;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFV1;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	55/70	1.319698e-27	3.582980e-24	0	0	1.638180e+01	1.013909e+03	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFV1;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	168/485	9.629426e-18	1.679693e-14	0	0	2.398212e+00	9.396605e+01	GHDC;ATP8A1;TMEM179B;APEH;SRP14;LGALS3;PNP;LAMP1;PSMD2;ANPEP;FTH1;LAMP2;TOM1;SIRPA;CAPN1;OSTF1;PRSS3;ACAA1;B2M;GOLGA7;KCMF1;ARSA;DGAT1;IST1;HLA-B;HLA-C;ADAM10;ATP11A;MIF;OLFM4;EEF1A1;DYNC1LI1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5B;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;NCSTN;RAP1A;DPP7;ALDH3B1;NEU1;MLEC;RAB6A;ATG7;ATP6V0A1;CTSA;HSPA8;XRCC6;MGAM;TRAPPC1;JUP;XRCC5;FUCA1;IDH1;FUCA2;SURF4;PA2G4;ARPC5;EEF2;PRDX6;NFKB1;IGF2R;TOLLIP;GPI;PIGR;SERPINA1;HSP90AB1;DDX3X;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;AP2A2;ALAD;ACTR1B;STBD1;NAPRT;CTSH;ITGAV;CD36;CTSD;DSP;ACTR2;CCT2;SERPINB1;HSP90AA1;DBNL;MME;SYK;DYNLT1;ATP6AP2;NME2;RHOG;NDUFC2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;DNAJC5;TMBIM1;CAT;ALDOC;DNASE1;ATP6V0C;PAFAH1B2;RAB7A;CD63;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CAND1;CREG1;PSMB1;ORMDL3;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;PTGES2;HUWE1;PDAP1;TUBB4B;SVIP;RAB10;GALNS;ERP44;PFKL;TSPAN14;RAB14;VAPA;RAB18;LAMTOR1;YPEL5;CD68;LAMTOR3;FRK;HSPA1B;HSPA1A
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	32/39	1.237343e-17	1.679693e-14	0	0	2.030597e+01	7.905312e+02	NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;NDUFV2;NDUFV1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS2;NDUFS1
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	168/488	1.894972e-17	2.047117e-14	0	0	2.375283e+00	9.145967e+01	GHDC;ATP8A1;TMEM179B;APEH;SRP14;LGALS3;PNP;LAMP1;PSMD2;ANPEP;FTH1;LAMP2;TOM1;SIRPA;CAPN1;OSTF1;PRSS3;ACAA1;B2M;GOLGA7;KCMF1;ARSA;DGAT1;IST1;HLA-B;HLA-C;ADAM10;ATP11A;MIF;OLFM4;EEF1A1;DYNC1LI1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;KMT2E;RAB5B;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;NCSTN;RAP1A;DPP7;ALDH3B1;NEU1;MLEC;RAB6A;ATG7;ATP6V0A1;CTSA;HSPA8;XRCC6;MGAM;ACE;TRAPPC1;JUP;XRCC5;FUCA1;IDH1;FUCA2;SURF4;PA2G4;ARPC5;EEF2;PRDX6;NFKB1;IGF2R;TOLLIP;GPI;PIGR;SERPINA1;HSP90AB1;DDX3X;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;AP2A2;ALAD;ACTR1B;STBD1;NAPRT;CTSH;ITGAV;CD36;CTSD;DSP;ACTR2;CCT2;SERPINB1;HSP90AA1;DBNL;MME;DYNLT1;ATP6AP2;NME2;RHOG;NDUFC2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;DNAJC5;TMBIM1;CAT;ALDOC;ATP6V0C;PAFAH1B2;RAB7A;CD63;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CAND1;CREG1;PSMB1;ORMDL3;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;PTGES2;HUWE1;PDAP1;TUBB4B;SVIP;RAB10;GALNS;ERP44;PFKL;TSPAN14;RAB14;VAPA;RAB18;LAMTOR1;YPEL5;CD68;LAMTOR3;FRK;HSPA1B;HSPA1A
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	166/481	2.262008e-17	2.047117e-14	0	0	2.383656e+00	9.136005e+01	GHDC;ATP8A1;TMEM179B;APEH;SRP14;LGALS3;PNP;LAMP1;PSMD2;ANPEP;FTH1;LAMP2;TOM1;SIRPA;CAPN1;OSTF1;PRSS3;ACAA1;B2M;GOLGA7;KCMF1;ARSA;DGAT1;IST1;HLA-B;HLA-C;ADAM10;ATP11A;MIF;OLFM4;EEF1A1;DYNC1LI1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5B;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;NCSTN;RAP1A;DPP7;ALDH3B1;NEU1;MLEC;RAB6A;ATG7;ATP6V0A1;CTSA;HSPA8;XRCC6;MGAM;TRAPPC1;JUP;XRCC5;FUCA1;IDH1;FUCA2;SURF4;PA2G4;ARPC5;EEF2;PRDX6;NFKB1;IGF2R;TOLLIP;GPI;PIGR;SERPINA1;HSP90AB1;DDX3X;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;AP2A2;ALAD;ACTR1B;STBD1;NAPRT;CTSH;ITGAV;CD36;CTSD;DSP;ACTR2;CCT2;SERPINB1;HSP90AA1;DBNL;MME;DYNLT1;ATP6AP2;NME2;RHOG;NDUFC2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;DNAJC5;TMBIM1;CAT;ALDOC;ATP6V0C;PAFAH1B2;RAB7A;CD63;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CAND1;CREG1;PSMB1;ORMDL3;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;PTGES2;HUWE1;PDAP1;TUBB4B;SVIP;RAB10;GALNS;ERP44;PFKL;TSPAN14;RAB14;VAPA;RAB18;LAMTOR1;YPEL5;CD68;LAMTOR3;FRK;HSPA1B;HSPA1A
GO_Biological_Process_2021	endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	84/185	3.513559e-17	2.725518e-14	0	0	3.725784e+00	1.411600e+02	ARF4;MCFD2;PGAP1;SERPINA1;GOLT1A;KDELR1;PDCD6;CTSZ;MIA2;MIA3;IER3IP1;GOLGA2;ACTR1A;TFG;CAPZB;TRAPPC12;TMED2;TMED7;TMED5;TMED4;RAB2A;SEC13;ARFGAP3;DYNLL1;DYNLL2;NRBP1;ARFGAP1;COPZ1;DYNC1LI1;DYNC1LI2;TBC1D20;KDELR2;PREB;MPPE1;ERGIC3;GAS6;ERGIC2;ERGIC1;NAPA;COPB2;DCTN5;RAB1A;COPA;SEC23A;TMED10;DCTN2;SAR1B;COPB1;CUL3;GOSR2;RAB1B;ATL2;USO1;KLHL12;LMAN1;SCFD1;LMAN2;YKT6;SPTBN1;SEC31A;BCAP31;SEC16B;TRAPPC3;DYNC1H1;TRAPPC1;SEC24A;SEC16A;TRAPPC4;TRAPPC5;YIF1A;ARCN1;CNIH1;VAPA;VAPB;GOLGB1;CAPZA1;CAPZA2;HYOU1;COPG1;SEC24D;SEC24C;CNIH4;COPE;BET1
GO_Biological_Process_2021	protein transport (GO:0015031)	133/369	7.366600e-16	5.000080e-13	0	0	2.537992e+00	8.843482e+01	TFRC;TMEM167A;PDCD6;GCC2;SCAMP5;GOLGA4;LAMP2;ARL6IP5;TOM1;ARFIP1;EIF2D;VPS35;ATP6V1E1;GOLGA7;TBC1D10B;ATP6V1G1;ATP6V0E1;ARRDC1;TANGO2;STX7;GOLPH3L;LMTK2;SCAMP3;SCAMP2;RUFY1;PREB;ZG16;ATP6V0D1;OPTN;ABCG1;MACF1;COPB2;COPA;RAB5B;TBC1D9B;RAB5C;TMED10;SAR1B;MTTP;STXBP2;VPS26A;VPS26B;HSP90B1;SCFD1;SNX1;KIF3B;MYO6;ATP6V0A2;SNX9;APOB;RAB6A;TBC1D17;SPTBN1;ATP6V0A1;SEC31A;SNX6;CTSA;RABGAP1L;GRTP1;SYNRG;CHMP2B;CHMP2A;UNC119;RAB5A;MON1A;ARF3;ARF4;ARF1;CLTC;ARHGAP1;MIA2;SNX13;AP2A1;MIA3;RAB22A;CHMP1B;CHMP1A;TMED2;CD36;TMED7;ARL5A;RAB8A;TMED5;TMED4;YWHAH;SEC13;AMN;ATP6AP1;ARFGAP3;COPZ1;DNM2;RCN3;ARL4A;CTTN;CANX;ATP6V1B2;PICK1;CHMP3;MYH9;ATP6V0C;ARF6;RAB7A;NAPA;RAB1A;LRP1;STX16;UNC93B1;RAB1B;USO1;SNX33;HDAC6;STX10;RAB21;GGA1;NEURL1B;GGA3;RAB20;RAB26;STX3;RILP;RIC1;AP3D1;ARCN1;RAB11B;RAB10;GOLPH3;RAB14;SNX15;RAB18;RAB3GAP2;COPG1;RAB17;VPS45
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	100/251	1.881891e-15	1.135407e-12	0	0	2.970751e+00	1.007278e+02	HNRNPU;CWC25;CCAR1;PNN;RAVER1;MAGOH;RAVER2;PAPOLA;MTREX;SNRPD3;TXNL4A;SRRM2;IK;PRPF4B;WBP11;SRRM1;HNRNPUL1;PSPC1;PRPF3;SRSF2;CD2BP2;SRSF3;SRSF4;SRSF5;SNRNP200;SNRPC;SRSF6;SRSF7;SNRPA;SRSF8;SF1;SRSF9;ZCCHC8;DDX5;DHX9;YTHDC1;SNU13;PRPF8;PCBP1;PCBP2;DHX38;SYMPK;HSPA8;CPSF7;FUS;NONO;CWC15;LSM4;HNRNPL;LSM8;LSM7;HNRNPK;HNRNPF;HNRNPD;HNRNPC;DDX46;DDX42;YBX1;SYNCRIP;UBL5;PTBP1;RBM4;SART3;PCF11;SNRNP70;DHX15;DHX16;RBM5;RBM6;RBM17;RBM14;NCBP2;BUD31;PRPF40A;WDR33;SFPQ;HNRNPH1;SYF2;HNRNPH3;PABPC1;SF3B4;SF3B2;SF3B6;DDX23;SRSF1;PABPN1;POLR2A;PUF60;TRA2B;TRA2A;POLR2E;RALY;POLR2H;HNRNPA1;SF3B1;SRSF11;HNRNPA0;POLR2L;HNRNPA3;HNRNPA2B1
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	106/274	2.911739e-15	1.581074e-12	0	0	2.832088e+00	9.479005e+01	HNRNPU;CWC25;CCAR1;PNN;RAVER1;MAGOH;RAVER2;PAPOLA;MTREX;SNRPD3;TXNL4A;DDX17;SRRM2;IK;SCAF11;PRPF4B;WBP11;SRRM1;WDR77;HNRNPUL1;PSPC1;CLNS1A;PRPF3;SRSF2;CD2BP2;SRSF3;SRSF4;SRSF5;SNRNP200;SNRPC;SRSF6;SRSF7;SNRPA;SRSF8;SF1;SRSF9;ZCCHC8;DDX5;DHX9;YTHDC1;DDX1;SNU13;PRPF8;PCBP1;PCBP2;DHX38;SYMPK;HSPA8;CPSF7;FUS;NONO;CWC15;LSM4;SRPK1;HNRNPL;LSM8;LSM7;HNRNPK;HNRNPF;HNRNPD;HNRNPC;DDX46;DDX42;YBX1;SYNCRIP;UBL5;PTBP1;RBM4;SART3;PCF11;SNRNP70;DHX15;DHX16;RBM5;RBM6;RBM17;RBM14;NCBP2;BUD31;PRPF40A;WDR33;SFPQ;HNRNPH1;SYF2;HNRNPH3;PABPC1;SF3B4;SF3B2;SF3B6;DDX23;SRSF1;PABPN1;POLR2A;PUF60;TRA2B;TRA2A;POLR2E;RALY;POLR2H;HNRNPA1;SF3B1;SRSF11;HNRNPA0;POLR2L;HNRNPA3;HNRNPA2B1
