,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,9.978554,1.7416111,2.8478312391733206e-20,1.321678478100338e-16
1,IGKC,8.472141,1.6705213,1.545411454007206e-15,4.7815030386982954e-12
2,IGHM,7.2247014,1.9607333,8.223252955928928e-12,9.793793266351712e-09
3,IGHG3,7.197231,1.982263,8.44110602572869e-12,9.793793266351712e-09
4,IGHG4,6.801497,1.5568072,8.493581533923468e-11,7.167038527079785e-08
5,REG1A,6.335915,1.7470903,1.1802940319120702e-09,6.575742860476971e-07
6,LINC02739,6.332724,1.4584192,1.3491956893657556e-09,6.746129592263949e-07
7,IGLC3,6.2470193,2.7105904,3.338772191214398e-09,1.4538763685804613e-06
8,IGHA1,5.9607553,1.4605373,7.916141024057299e-09,2.826062345588456e-06
9,IGLC2,5.690163,1.7283202,3.9727089266169206e-08,1.0535624073388073e-05
10,LCN2,5.299591,2.580968,4.049697770789788e-07,7.092319756315248e-05
11,MUC1,5.2546015,2.0052817,4.6844231848903894e-07,7.90560290948229e-05
12,PLCG2,4.922225,1.6735628,2.0144737921001563e-06,0.00027497567262167136
13,CD55,4.838137,2.5287411,3.2491823333974638e-06,0.00040755284349453056
14,TNFRSF6B,4.79857,2.5992892,3.855728793147556e-06,0.000464790579973969
15,JCHAIN,4.594219,1.0638019,6.719345738082732e-06,0.0006929885237875991
16,IGLC1,4.385879,1.2665906,1.6954137679074275e-05,0.0015018696050293136
17,CD24,4.3657312,1.6580652,2.182989038661241e-05,0.001876157801560522
18,PSAP,4.171494,1.0758643,4.323127466059688e-05,0.0032360700919327437
19,SNHG1,4.0516963,0.8162034,6.983745700625284e-05,0.004582863961378599
20,S100A11,3.9347289,1.6687672,0.00011710210373978551,0.006587525617652662
21,DMBT1,3.8982708,1.1559778,0.0001271539326602059,0.00686427637751756
22,IDO1,3.8379514,2.4305134,0.0001852908577738425,0.009246611515359172
23,ISG20,3.7310646,1.9463596,0.0002588878960642029,0.011955211200337967
24,PDZK1IP1,3.704388,1.5283407,0.000286373625243391,0.013029999948574289
25,GPNMB,3.568194,1.9308976,0.00046034986335196585,0.01865924642634475
26,LPCAT1,3.528396,1.9914374,0.0005397216679258616,0.02099142347851693
27,MXRA5,3.5096407,2.2746637,0.000590836506849228,0.02173656032076413
28,S100A6,3.5001907,0.91032875,0.0005633001624787852,0.021428492246426574
29,PLA2G2A,3.3638074,0.89671576,0.0008921686705506043,0.027420892715399697
30,ITGB2,3.3494356,1.6910901,0.0009838797769921102,0.029364540482446196
31,RARRES2,3.3365037,1.5712925,0.001040700945746854,0.030510026213519358
32,MMP12,3.2855992,2.429943,0.0012682289131183417,0.034220060382454794
33,CCR7,3.2426283,3.056816,0.001483945613120494,0.03702975601302286
34,PTGDS,3.1213374,1.6131085,0.0020841272871594593,0.04648565511088436
35,MZB1,3.1165397,1.3607835,0.0021039003754415677,0.04649619829725865
36,PKM,3.0522435,1.09393,0.0025636828304372245,0.05106460092729252
37,NCF1,3.0365677,1.1517687,0.0026984387183892366,0.0531684099091884
38,TIMP1,3.0095084,1.6161058,0.0030181084461540853,0.05701319437781948
39,C1QB,3.0032935,1.1743561,0.0030419443827200882,0.057150034689625685
40,PLXND1,3.0018868,2.725685,0.003152297737056773,0.05851925519072193
41,CD6,2.9857388,1.5356419,0.0031984216488117967,0.058904265365617256
42,RAMP3,2.9547172,3.9439688,0.0037102413908450633,0.06547235853578684
43,ACP5,2.925682,1.6194218,0.003904353194849461,0.0662723682130935
44,APOL1,2.9149125,1.2848593,0.0039757668355007506,0.06673249144144297
45,IFITM2,2.89307,1.622528,0.004312787777560339,0.06994323681206362
46,HM13,2.8717515,1.1221228,0.004523783590059967,0.07190027274475448
47,TYROBP,2.8477404,2.882255,0.005073259406726686,0.07582929760585685
48,CD59,2.843274,1.2040538,0.004932524083581754,0.07542617552521555
49,LAMC2,2.8138149,2.2749338,0.005499084712407863,0.08008070528292292
50,STAT5A,2.806697,2.540079,0.005657225662378012,0.08138408254430682
51,TIMP2,2.797776,1.219126,0.005677436330991501,0.08144971255682087
52,IL7R,2.7956665,2.3709872,0.005844405136171033,0.0829507341692807
53,APOC1,2.7780843,2.0327463,0.0061201404145051685,0.08542427568035636
54,HLA-DQA1,2.7716532,1.682109,0.006195424001330971,0.08608671494064982
55,SLC40A1,2.750701,1.2323039,0.006500286230694354,0.08912209275229689
56,CD68,2.737672,1.0942054,0.006695634392095565,0.09007083830062469
57,CFB,2.7310748,0.90505713,0.006797154274123892,0.09032515947967235
58,HLA-DQB1,2.7198753,0.87013334,0.007000453998181456,0.09113796319520195
59,NIBAN3,2.7171216,25.709044,0.007559748664208958,0.09545247734176232
60,ICAM1,2.7073536,2.3319721,0.007542687197166544,0.09545247734176232
61,CTSB,2.700935,0.6522659,0.007407143853044089,0.09496285807176137
62,IGHG2,2.695331,1.2543373,0.007511266503873068,0.09545247734176232
63,ISG15,2.6948216,1.0841721,0.007616710609539477,0.09545247734176232
64,FCER1G,2.6943858,1.5210403,0.007741468057121261,0.09545247734176232
65,TRIB2,2.6820269,2.8565848,0.008160981580097792,0.09889064102672025
66,S100A16,2.6584153,1.0032754,0.008545108352846352,0.10247505908413417
67,DDIT4,2.6370158,2.4143753,0.00926564807991281,0.10802332788880142
68,UBE2D2,2.6261103,2.4875638,0.00952506857582295,0.1097307681131906
69,EDIL3,2.6261103,2.4875638,0.00952506857582295,0.1097307681131906
70,LUM,2.6236422,1.5340743,0.009420879680511224,0.1093733045611777
71,DENND3,2.6118314,2.261216,0.009893047245261305,0.11193637404463906
72,NKG7,2.6100626,2.4103706,0.009937036437490044,0.11193637404463906
73,LTB,2.5975773,0.96021485,0.010055839705226494,0.11272742046366221
74,PFKFB3,2.596539,1.8430916,0.01021902757509049,0.11386916440815117
75,CEBPB,2.5788758,1.4611642,0.010681330114494686,0.11652829146287204
76,SLC2A1,2.5727851,3.529248,0.011160162861259265,0.11865822643551947
77,SLC2A6,2.5727851,3.529248,0.011160162861259265,0.11865822643551947
78,AXL,2.5727851,3.529248,0.011160162861259265,0.11865822643551947
79,UNC13D,2.5612783,3.7310321,0.011556320056942715,0.12011694396938784
80,SEC61G,2.559125,1.0708967,0.011189295809576661,0.11883185778545832
81,VWA1,2.556251,2.1221108,0.011491413054489226,0.12011694396938784
82,GMFG,2.548665,1.9828554,0.011726114299553182,0.12011694396938784
83,WARS,2.5483885,0.8650514,0.011570225396251643,0.12011694396938784
84,ARHGDIB,2.542448,1.433187,0.011845642307857448,0.12011694396938784
85,IFI30,2.5405512,0.9784368,0.011831248519411941,0.12011694396938784
86,GBP4,2.5342772,1.217861,0.012117243301137122,0.12211970936064578
87,UBE2L6,2.5284145,1.4884348,0.0123070727013632,0.12323004187060757
88,CYBA,2.5276315,0.94094604,0.012277318301346412,0.12306486876144426
89,FXYD5,2.5244756,1.4373448,0.01239062946679668,0.12370152543159278
90,MPEG1,2.5105143,1.8588865,0.012996233364340191,0.1277871166184382
91,ARHGAP15,2.502173,25.05955,0.013689565336939158,0.13112495019997455
92,S100A4,2.5008917,1.2398775,0.01321399535748511,0.12924373541430642
93,COL1A1,2.500661,1.5754423,0.01332073278574864,0.12987714466104924
94,RASGRP2,2.4806075,1.4692672,0.014055811768898082,0.13114159249955312
95,LGALS1,2.480438,1.228242,0.013962833872818646,0.13114159249955312
96,SNHG12,2.4766178,0.6858697,0.014046933175204265,0.13114159249955312
97,GM2A,2.4755762,1.5342618,0.014265399274388224,0.1326767896441598
98,TMED8,2.4744782,2.700412,0.01446720593188063,0.13401657231508582
99,GRN,2.4638827,0.89272,0.01454043632798473,0.13429286566801418
100,BLK,2.4397902,1.9341416,0.01565039252437128,0.1402514130559679
101,COL1A2,2.4358613,0.80270857,0.015627668684699576,0.1402514130559679
102,AGRN,2.42681,2.3531506,0.01638964889676022,0.14324738329541278
103,SPI1,2.410207,1.9945976,0.01699246071525625,0.14617610783967425
104,PLAC8,2.4031894,1.1884968,0.017133831867588656,0.14680670551289143
105,VIM,2.3921747,0.9614146,0.017618977058285575,0.14880741133303613
106,CCL21,2.3811018,1.3010768,0.018400776304470616,0.1541480195470183
107,DUSP6,2.353382,1.9924023,0.01976817307274784,0.15997226021032732
108,ITPRIPL2,2.353108,3.332441,0.020027171609498264,0.16103198086690856
109,FBN1,2.3445728,3.4506624,0.020507945515061306,0.16118099091515584
110,GCNT3,2.3251534,0.9196313,0.02097110662731694,0.1642648200124522
111,TMC8,2.3222082,1.4412651,0.02127085129436789,0.16605217974291236
112,TGFBI,2.3175604,1.4609493,0.021591827997865565,0.16757136076604365
113,SSR4,2.3072438,0.7889874,0.02194929776213296,0.16991941770485247
