,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,9.460339,2.7316775,5.636461371559161e-08,2.7391431649639862e-06
1,REG1A,6.5764847,4.4296103,8.109914385304012e-06,0.0001470238775867028
2,MUC13,5.0110703,1.8412122,0.00011064039541547773,0.0011078361922831328
3,ACTB,4.5014343,1.8633133,0.00034060957173452075,0.00266571504623931
4,IGHA1,4.4559326,3.1711988,0.0004409216826718572,0.0033795500070686853
5,DMBT1,4.4520726,3.852954,0.00045169338085675176,0.003456403925072028
6,IGKC,4.417642,2.3294523,0.0004677555803029133,0.0035454591181172143
7,MYL6,4.412074,1.400174,0.00034231823789576324,0.0026768305679431125
8,MT-CO1,4.3684874,1.7164273,0.00042599981350976263,0.00326931456982198
9,MT-CO2,4.1744304,1.6630992,0.0006773246640781828,0.0046673552575899726
10,PLA2G2A,4.0267787,2.8627393,0.0010481707859382346,0.006520858736647917
11,JCHAIN,4.023511,3.0081508,0.0010661200788698877,0.0066280820978367695
12,HLA-C,3.599393,1.9632757,0.0024484335024319583,0.013425638552937444
13,CTSB,3.5652194,2.0292416,0.0026137084188550476,0.013553319298219303
14,KRT8,3.4210334,1.7747884,0.003461152426554171,0.017384424687919817
15,MUC1,3.407272,3.7385995,0.0038393211578353044,0.019231828919064917
16,HLA-A,3.3459468,1.5556467,0.004002981442107564,0.020030012800885396
17,IFI27,3.2411852,1.721575,0.0050873496929544565,0.0235515111471338
18,ACTG1,3.1549098,1.5176169,0.006102827125085259,0.02749827251215601
19,PIGR,3.133938,1.4775077,0.006380775279214026,0.0287227721346579
20,ANPEP,3.1299322,1.5973108,0.006356894895371075,0.02862915983446595
21,S100A6,3.117707,1.6767412,0.006560427617281748,0.029460033451189735
22,PSAP,3.0925891,1.8757217,0.007107668922726822,0.03188660364463526
23,SERPINA1,3.0526886,1.7412586,0.00764109633283729,0.033250512012079986
24,OST4,2.9826312,2.6591125,0.009062019189148356,0.037375499890608926
25,C19orf33,2.978406,1.5934823,0.008769436177690942,0.036550474450528656
26,SPINK1,2.9738965,2.255164,0.009170196246351184,0.0374803001138845
27,BIRC3,2.957557,1.9361168,0.009474287903503366,0.03868910704809426
28,LDHA,2.9494312,1.3952963,0.00924379172292144,0.037764469529998596
29,IGLC2,2.908596,2.321244,0.010535745832622317,0.04287277195019744
30,CCL25,2.9023178,3.708238,0.010859965740691334,0.044153395534427056
31,SPINK4,2.8938146,2.2507226,0.010875957739188868,0.04419905417475967
32,FGL2,2.8783538,3.3490765,0.011397182609269727,0.046135477095177325
33,SLC31A1,2.8510506,3.0980597,0.011966851085081128,0.04842036258575546
