Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	prostanoid metabolic process (GO:0006692)	2/18	1.160515e-04	2.947709e-02	0	0	1.559844e+02	1.413449e+03	GSTA1;PTGR1
GO_Biological_Process_2021	prostaglandin metabolic process (GO:0006693)	2/31	3.502725e-04	4.448460e-02	0	0	8.600431e+01	6.843190e+02	GSTA1;PTGR1
GO_Biological_Process_2021	unsaturated fatty acid metabolic process (GO:0033559)	2/54	1.064812e-03	5.279748e-02	0	0	4.790865e+01	3.279327e+02	GSTA1;PTGR1
GO_Biological_Process_2021	triglyceride metabolic process (GO:0006641)	2/55	1.104406e-03	5.279748e-02	0	0	4.700236e+01	3.200131e+02	FABP6;APOB
GO_Biological_Process_2021	peptide metabolic process (GO:0006518)	2/83	2.493396e-03	5.279748e-02	0	0	3.071142e+01	1.840876e+02	ACE;GSTA1
GO_Biological_Process_2021	protein transport (GO:0015031)	3/369	4.137398e-03	5.279748e-02	0	0	1.071913e+01	5.882322e+01	RCN3;GOLGA4;APOB
GO_Biological_Process_2021	leukotriene B4 metabolic process (GO:0036102)	1/5	4.492293e-03	5.279748e-02	0	0	2.937941e+02	1.588072e+03	PTGR1
GO_Biological_Process_2021	regulation of histone H3-K9 trimethylation (GO:1900112)	1/5	4.492293e-03	5.279748e-02	0	0	2.937941e+02	1.588072e+03	ATRX
GO_Biological_Process_2021	fructose catabolic process (GO:0006001)	1/5	4.492293e-03	5.279748e-02	0	0	2.937941e+02	1.588072e+03	ALDOB
GO_Biological_Process_2021	fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate (GO:0061624)	1/5	4.492293e-03	5.279748e-02	0	0	2.937941e+02	1.588072e+03	ALDOB
GO_Biological_Process_2021	epithelium development (GO:0060429)	2/122	5.297081e-03	5.279748e-02	0	0	2.068958e+01	1.084258e+02	RCN3;GSTA1
GO_Biological_Process_2021	positive regulation of nuclear cell cycle DNA replication (GO:0010571)	1/6	5.388466e-03	5.279748e-02	0	0	2.350235e+02	1.227644e+03	ATRX
GO_Biological_Process_2021	proton-transporting V-type ATPase complex assembly (GO:0070070)	1/6	5.388466e-03	5.279748e-02	0	0	2.350235e+02	1.227644e+03	ALDOB
GO_Biological_Process_2021	regulation of hematopoietic stem cell proliferation (GO:1902033)	1/6	5.388466e-03	5.279748e-02	0	0	2.350235e+02	1.227644e+03	ACE
GO_Biological_Process_2021	lipoxin metabolic process (GO:2001300)	1/6	5.388466e-03	5.279748e-02	0	0	2.350235e+02	1.227644e+03	PTGR1
GO_Biological_Process_2021	positive regulation of cholesterol storage (GO:0010886)	1/6	5.388466e-03	5.279748e-02	0	0	2.350235e+02	1.227644e+03	APOB
GO_Biological_Process_2021	regulation of peptidyl-cysteine S-nitrosylation (GO:2000169)	1/6	5.388466e-03	5.279748e-02	0	0	2.350235e+02	1.227644e+03	ACE
GO_Biological_Process_2021	regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081)	1/7	6.283878e-03	5.279748e-02	0	0	1.958431e+02	9.928793e+02	ACE
GO_Biological_Process_2021	surfactant homeostasis (GO:0043129)	1/7	6.283878e-03	5.279748e-02	0	0	1.958431e+02	9.928793e+02	RCN3
