,names,scores,logfoldchanges,pvals,pvals_adj
0,USP25,-2.8336537,-2.3056636,0.00484872845930183,0.04989567356900176
1,HOXA9,-2.8336537,-2.3056636,0.00484872845930183,0.04989567356900176
2,CCDC84,-2.841105,-1.8648746,0.004788235362672948,0.04938266737370034
3,MARCH8,-2.8419735,-1.6525021,0.004783743473917277,0.04938266737370034
4,ALDH6A1,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
5,RHBDL1,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
6,FCF1,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
7,CAMK4,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
8,TMEM223,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
9,DHRS7B,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
10,RABL2A,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
11,FOXO4,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
12,ZC3H8,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
13,SFT2D3,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
14,TRIM4,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
15,ATRIP,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
16,TMEM161A,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
17,FRAT2,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
18,SETBP1,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
19,EXOSC9,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
20,CD244,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
21,ZNF417,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
22,CES4A,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
23,ZNF696,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
24,CPNE7,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
25,ABCE1,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
26,HPS6,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
27,POLR3F,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
28,GABPA,-2.8437102,-23.02156,0.004598651002820332,0.04779919217041245
29,ACY3,-2.847802,-1.3966993,0.0047512215134870965,0.04911006468617731
30,CSRP1,-2.850415,-1.3136691,0.004688179197796682,0.048566606377175
31,TREH,-2.8607154,-1.2546374,0.004604339581946001,0.04780478747161385
32,CLMN,-2.862053,-1.8807964,0.004483564925431173,0.04779919217041245
33,STAU2,-2.865051,-1.2179397,0.004531634296062614,0.04779919217041245
34,LCORL,-2.866662,-1.4843189,0.004478631363174069,0.04779919217041245
35,PTPN21,-2.8744807,-2.3382118,0.004266852510725461,0.04615958625239362
36,THOC2,-2.8745685,-1.2848815,0.004401867593210227,0.04756476717133565
37,LINC01106,-2.8793902,-1.8872668,0.004250161957856063,0.04603267595428236
38,MBD1,-2.8922193,-1.8536134,0.004151271339046649,0.045066784291264324
39,CHDH,-2.8927467,-1.3027145,0.004146038758928686,0.045066784291264324
40,KIAA1109,-2.8942506,-1.38143,0.0041280346219577276,0.04497601265286673
41,TNPO2,-2.8970678,-1.6547602,0.0040533927049925715,0.04441982418859628
42,CHD1,-2.8970678,-1.6547602,0.0040533927049925715,0.04441982418859628
43,PRPF38B,-2.897553,-1.125319,0.0041283734949625565,0.04497601265286673
44,TM7SF2,-2.9000676,-1.9029543,0.003980229266565568,0.043929236685209996
45,SERPINF2,-2.9030986,-23.34502,0.003819583593683222,0.0423576761249315
46,HSPA1B,-2.9030986,-23.34502,0.003819583593683222,0.0423576761249315
47,LMBR1L,-2.903239,-1.5135782,0.004013910838373801,0.04419587236273502
48,ECH1,-2.9104993,-1.672215,0.0038762132025012704,0.042883207324930624
49,NR3C2,-2.9147644,-2.3700612,0.003755739967721446,0.04215329912985546
50,PARVA,-2.9147644,-2.3700612,0.003755739967721446,0.04215329912985546
51,PTPRD,-2.9174478,-1.6671653,0.003799874299476186,0.04235170286897641
52,SLC35A3,-2.9187496,-1.2504318,0.003844833820474444,0.04258681088501645
53,SLC6A4,-2.9205716,-1.3159164,0.0037982207703732927,0.04235170286897641
54,RBM17,-2.9207206,-1.4017043,0.003789362332810065,0.04235170286897641
55,BNIP2,-2.9236221,-1.5053425,0.003753830371388536,0.04215329912985546
56,ZNF655,-2.9244194,-1.1551658,0.0038007938472158316,0.04235170286897641
57,BRWD1,-2.924665,-1.6620986,0.003722207535795057,0.04197998827126333
58,SEC22C,-2.9324026,-2.3922515,0.0035464946185022545,0.040341376285463144
59,VPS45,-2.9324026,-2.3922515,0.0035464946185022545,0.040341376285463144
60,RARA,-2.9394588,-1.6671653,0.0035540298635380525,0.0403776073358142
61,BRPF3,-2.9424765,-1.6546017,0.003566096977726102,0.040465173774148745
62,FAM160B1,-2.945326,-2.3608794,0.0034208213914411847,0.03905542946538386
63,ARAP2,-2.945326,-2.3608794,0.0034208213914411847,0.03905542946538386
64,NEURL1B,-2.9545274,-2.4012418,0.0033066284404337366,0.037985303445675675
65,RAD9A,-2.9568737,-1.53683,0.0033634973278274228,0.038543187897400175
66,PPFIBP1,-2.968103,-1.9247906,0.003216871060372721,0.03718430533297584
67,GAB2,-2.9739566,-23.283546,0.003048282826034679,0.03567990061948788
68,PLPPR2,-2.9739566,-23.283546,0.003048282826034679,0.03567990061948788
69,POU2F1,-2.9739566,-23.283546,0.003048282826034679,0.03567990061948788
70,CLDND2,-2.9739566,-23.283546,0.003048282826034679,0.03567990061948788
71,TMED4,-2.9818325,-1.4427707,0.0031315393808069355,0.03642474753464909
72,GUCY2C,-2.9840922,-1.3510332,0.003096480560160528,0.03606214875710166
73,PMF1,-2.9846995,-2.3922515,0.003011776315357006,0.03547627888216209
74,ENTPD4,-2.994316,-1.696645,0.0029807882599467385,0.03520060639799698
75,AGFG2,-2.9997349,-1.710938,0.002920701372214226,0.03462318025145906
76,ACAD11,-3.0038762,-1.5488641,0.0029010505973047396,0.034503080407945017
77,AQP7,-3.00423,-1.3723261,0.002942870243970695,0.03484148163843876
78,RSRC2,-3.0136533,-1.2050395,0.0028749086660415507,0.03425533021591486
79,RMDN3,-3.0168123,-1.5530137,0.0027837718883115103,0.033340607312654764
80,SELENOO,-3.0182364,-1.1641086,0.002825125851834566,0.03374880071651022
81,KPTN,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
82,ATP9B,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
83,HBA2,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
84,AP4E1,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
85,SLC19A3,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
86,ACTR8,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
87,PHLDB2,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
88,CHD6,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
89,PUS7L,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
90,STARD9,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
91,TUBGCP5,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
92,GRIA4,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
93,KIF11,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
94,PRPF4,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
95,MTFR1,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
96,TMEM44,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
97,CCNJL,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
98,COL9A2,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
99,C16orf87,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
100,SLC45A4,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
101,RAD51D,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
102,MIF4GD,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
103,SLC25A27,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
104,GRASP,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
105,SLC10A3,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
106,ITCH,-3.0185473,-23.192251,0.0026388641478535244,0.03189314716194846
107,KIAA0895L,-3.0235882,-2.4229746,0.0026522312134542193,0.0320130170653863
108,TAF6L,-3.0248582,-1.6916758,0.0027151441186800368,0.032687377055237485
109,PRAG1,-3.033652,-1.7352695,0.002611795048040511,0.03189314716194846
110,ZC3H7A,-3.0389245,-1.9552428,0.0025622957734153474,0.03189314716194846
111,PAPSS2,-3.0442839,-1.1835109,0.0025690299732782835,0.03189314716194846
112,CDKN2B-AS1,-3.0454085,-1.1079016,0.002556067645789287,0.03189314716194846
113,SUZ12,-3.0554132,-2.4141152,0.0023993134520716194,0.030591246513913147
114,AHI1,-3.0554132,-2.4141152,0.0023993134520716194,0.030591246513913147
115,PRRG2,-3.0554132,-2.4141152,0.0023993134520716194,0.030591246513913147
116,ATOH1,-3.0561173,-1.9614013,0.002423633967404942,0.03085894442448926
117,SUOX,-3.0620103,-2.4530754,0.002336098025472023,0.029991233571827546
118,CYP2C9,-3.0713174,-1.3009902,0.0023497177669832663,0.030124420322014747
119,MARVELD3,-3.073605,-1.4657072,0.002319842156783946,0.029823787949125467
120,SHROOM1,-3.075738,-1.0585436,0.0023652371673265546,0.030281560533965628
121,RAP1GAP2,-3.0782866,-2.4740689,0.0022105750452213464,0.028737475587877502
122,RABL6,-3.0913172,-1.1396875,0.0022209165346377103,0.028815125544529575
123,SMG1,-3.09143,-1.0271907,0.0022669925639457688,0.029306720025828167
124,MNX1,-3.0933995,-2.444394,0.002113683085172867,0.027632685065597958
125,HCFC1,-3.0933995,-2.444394,0.002113683085172867,0.027632685065597958
126,SEPSECS,-3.093745,-1.9971435,0.0021334831629409067,0.027813189211260525
127,ASH1L,-3.1040273,-1.7228371,0.002121001686285464,0.0276893637863596
128,ATG4D,-3.109269,-1.4665295,0.002099729242460071,0.027564180156899716
129,UFSP2,-3.1156344,-23.505535,0.0019159483147097743,0.025625118526132747
130,SLC2A2,-3.1169589,-1.750924,0.002017280763011534,0.02673019093046009
131,UACA,-3.1174793,-1.4585878,0.002025360838200159,0.02677977108286877
132,FMO5,-3.122132,-1.3138621,0.0020187312909127906,0.02673019093046009
133,SLC23A1,-3.1278703,-1.4145521,0.0019737269084494097,0.02624660911780433
134,GRAMD2B,-3.1322727,-1.6183543,0.0018974068894039252,0.02548730933060381
135,ENPP3,-3.1362326,-2.032058,0.0018468339274252928,0.024909270392462133
136,ZNF814,-3.1407647,-23.427485,0.0017611801158047096,0.023934515131624177
137,SPIRE2,-3.1424494,-1.2502708,0.0018899598614501706,0.02542406874489925
138,IDH1,-3.1629958,-1.3395753,0.0017321272447042427,0.02357420100490437
139,TSPAN7,-3.1747732,-23.72583,0.0015700474092850303,0.02171859918477444
140,NSUN6,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
141,TSTD3,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
142,UMAD1,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
143,LYSMD2,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
144,C12orf10,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
145,CASD1,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
146,PM20D2,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
147,NOP2,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
148,SLC29A2,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
149,LINC01184,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
150,IPPK,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
151,ZNF682,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
152,DCAKD,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
153,PNPT1,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
154,ARID3A,-3.1842976,-23.34502,0.0015200588643512,0.021184964532894653
155,VPS36,-3.1859214,-2.0495505,0.0015641868786448023,0.021669824787434414
156,CYP2C18,-3.1886094,-1.3398595,0.0016089234880302132,0.022223255678417316
157,DICER1,-3.194614,-2.0117326,0.0015334899911402635,0.02134011109110034
158,TRABD2A,-3.2006407,-2.4947703,0.001475210132409296,0.021163679210236607
159,DGKH,-3.2006407,-2.4947703,0.001475210132409296,0.021163679210236607
160,TM6SF2,-3.2024963,-1.136768,0.0015515530346138075,0.021532935399832982
161,TMEM87B,-3.2159593,-1.5169382,0.0014455128382193719,0.02086664100210297
162,TP53I13,-3.239747,-1.3015819,0.0013407289749967992,0.019536336492810502
163,PLCH2,-3.2511926,-2.5434973,0.0012358012438102703,0.018323813330745894
164,PAXBP1,-3.2514951,-2.066183,0.0012539799239388474,0.018563702797448775
165,ARID4A,-3.25864,-2.0572815,0.0012270019850055284,0.018222451879714104
166,MCRIP2,-3.2618687,-1.2455615,0.0012614440568568244,0.018644464547364722
167,SAMM50,-3.2656033,-2.563262,0.0011735006091618324,0.017568439764903434
168,TM4SF5,-3.2681513,-1.6648167,0.0012005306824583626,0.017915314782280582
169,DUSP16,-3.2728322,-2.5516212,0.001147008346123847,0.017255318425804776
170,USP8,-3.283137,-2.0190213,0.0011560913102438798,0.017363818028614388
171,TLCD4,-3.286995,-2.571279,0.0010897716388509895,0.016501240378164573
172,TBC1D9,-3.2998044,-23.558487,0.001020131048282507,0.015686387514489183
173,ALDH7A1,-3.2998044,-23.558487,0.001020131048282507,0.015686387514489183
174,ZNF251,-3.2998044,-23.558487,0.001020131048282507,0.015686387514489183
175,LSM6,-3.2998044,-23.558487,0.001020131048282507,0.015686387514489183
176,FAM151A,-3.3058586,-1.8023292,0.0010740079996021435,0.01634252828247065
177,PCNX1,-3.3064797,-2.5434973,0.0010241274330726616,0.015686387514489183
178,AHCTF1,-3.3064797,-2.5434973,0.0010241274330726616,0.015686387514489183
179,FBXO3,-3.3064797,-2.5434973,0.0010241274330726616,0.015686387514489183
180,GCC2,-3.3192234,-1.3070042,0.0010302839700551208,0.01575468831968967
181,ANAPC1,-3.3423154,-23.48329,0.0008782423373963874,0.01398258211957679
182,GPALPP1,-3.3423154,-23.48329,0.0008782423373963874,0.01398258211957679
183,PRADC1,-3.3423154,-23.48329,0.0008782423373963874,0.01398258211957679
184,EHBP1,-3.3423154,-23.48329,0.0008782423373963874,0.01398258211957679
185,SMARCAD1,-3.3423154,-23.48329,0.0008782423373963874,0.01398258211957679
186,PATZ1,-3.3423154,-23.48329,0.0008782423373963874,0.01398258211957679
187,ITIH4,-3.3423154,-23.48329,0.0008782423373963874,0.01398258211957679
188,SPNS3,-3.3423154,-23.48329,0.0008782423373963874,0.01398258211957679
189,AL591895.1,-3.3423154,-23.48329,0.0008782423373963874,0.01398258211957679
190,SYNJ2,-3.3423154,-23.48329,0.0008782423373963874,0.01398258211957679
191,ARID4B,-3.3511093,-1.4386599,0.0009246354794844522,0.01447296209203151
192,SLC10A2,-3.3555336,-1.3482143,0.0008953650671901877,0.014182215961875978
193,ZG16,-3.3596985,-1.1507887,0.0009154302145089287,0.014353079815999792
194,MT1F,-3.3641164,-1.3847543,0.0008570971138513315,0.01388407576050272
195,CMTM4,-3.3767881,-2.563262,0.0008010231857062032,0.013089959876276371
196,ILF3-DT,-3.3832874,-23.72583,0.0007590464864813233,0.012536422575657728
197,CHP2,-3.3970764,-1.1764216,0.000789358490398263,0.012944921392008264
198,IL17RE,-3.4036586,-1.890882,0.0007401970100870892,0.012379294860591642
199,SIAE,-3.4039776,-2.0725508,0.0007566860713614493,0.012519714998889434
200,SFXN1,-3.4047906,-1.7074764,0.0007464645248054698,0.012439288544424363
201,A1CF,-3.4048207,-1.5701853,0.0007551949820492437,0.012517356827466214
202,ECI2,-3.4081144,-1.8985142,0.0007272723762394729,0.01220712874548786
203,ZNF264,-3.40987,-23.80784,0.0006899594362238817,0.01172931041580599
204,KAT6B,-3.4109704,-2.5906813,0.0007073335771527875,0.011958962227927456
205,PHYH,-3.4206727,-1.8986785,0.0006962871719742906,0.011793681624571834
206,HDHD3,-3.424124,-1.0096349,0.0007493861202294904,0.012465594924677652
207,GALNT7,-3.427238,-2.0922785,0.0006938891273793478,0.011774550055457233
208,FBXO31,-3.4369888,-1.8669178,0.0006649063293486466,0.011450205100211759
209,PPID,-3.4370437,-2.6625378,0.0006375304743201977,0.011063775034116676
210,KCNK5,-3.4378757,-1.3599936,0.0006804544803622828,0.011664396209557512
211,MRPS31,-3.4521153,-23.678701,0.0005921046688056417,0.010488388427202226
212,FBXO22,-3.4521153,-23.678701,0.0005921046688056417,0.010488388427202226
213,TMEM68,-3.4521153,-23.678701,0.0005921046688056417,0.010488388427202226
214,SLC12A8,-3.4521153,-23.678701,0.0005921046688056417,0.010488388427202226
215,ABHD17B,-3.4521153,-23.678701,0.0005921046688056417,0.010488388427202226
216,GLS,-3.4572127,-1.1623726,0.0006642529651659402,0.011450205100211759
217,WNK2,-3.4654827,-1.487302,0.0006135372212969383,0.010751212567612235
218,GOLIM4,-3.4737127,-1.1120782,0.0006138916893810045,0.010751212567612235
219,PEPD,-3.4793017,-1.1096787,0.0005936087077057955,0.010495001952238464
220,CTIF,-3.4936523,-23.609587,0.0005086465021907495,0.00925736633987164
221,EPN2,-3.4936523,-23.609587,0.0005086465021907495,0.00925736633987164
222,MSH2,-3.4936523,-23.609587,0.0005086465021907495,0.00925736633987164
223,MED9,-3.4936523,-23.609587,0.0005086465021907495,0.00925736633987164
224,ARSE,-3.4936523,-23.609587,0.0005086465021907495,0.00925736633987164
225,CDR2,-3.4936523,-23.609587,0.0005086465021907495,0.00925736633987164
226,RAMP1,-3.4936523,-23.609587,0.0005086465021907495,0.00925736633987164
227,ZDHHC24,-3.4936523,-23.609587,0.0005086465021907495,0.00925736633987164
228,HOXA10,-3.4936523,-23.609587,0.0005086465021907495,0.00925736633987164
229,USP28,-3.4936523,-23.609587,0.0005086465021907495,0.00925736633987164
230,PLEKHG6,-3.4953759,-1.9404502,0.0005294604906711549,0.009561191195349534
231,CDK13,-3.5042012,-2.126707,0.000518283933253423,0.009414308157452589
232,DEGS2,-3.5118787,-2.1849554,0.0004958492337108565,0.009241912825911988
233,TMEM98,-3.5123096,-2.2433083,0.0004885094114641087,0.009141823300826324
234,OSGIN1,-3.517683,-1.5230073,0.0005033464946440988,0.00925736633987164
235,VSIG10,-3.5258834,-1.5214236,0.0004895473384842373,0.00914281367366336
236,PIK3AP1,-3.5305445,-23.833511,0.0004438693915627577,0.00840815447446024
237,ALMS1,-3.5305445,-23.833511,0.0004438693915627577,0.00840815447446024
238,TTC3,-3.5308602,-1.3568909,0.000496869449094546,0.0092423691913739
239,AZI2,-3.5582592,-2.6807969,0.0004109430081112287,0.007880935953075258
240,DUSP1,-3.5618649,-1.6460657,0.0004238597374673222,0.008095197701999351
241,CNNM4,-3.5662982,-1.9372283,0.00041186775729580387,0.007882384583958044
242,SACM1L,-3.5704777,-2.1641681,0.0004046148662025959,0.007791774249154553
243,PDIA5,-3.5714757,-23.851048,0.00038106925810938466,0.007430850533133001
244,ABCG2,-3.5804155,-1.4730021,0.0004071887807364893,0.007825106134153402
245,PPARA,-3.585777,-2.1471632,0.0003909218956282004,0.007575233893989471
246,KIF12,-3.5872123,-1.666412,0.0003839829463309985,0.007471970037409493
247,PLCD1,-3.5985286,-23.789778,0.000344240315710638,0.006798380022183281
248,GTPBP3,-3.5985286,-23.789778,0.000344240315710638,0.006798380022183281
249,POR,-3.601509,-1.2804444,0.00037910709389154406,0.0074081516747396044
250,TRAPPC9,-3.605409,-23.964695,0.0003354211595320789,0.006681071250593898
251,ADGRA3,-3.6085126,-24.079943,0.00033151236399729737,0.006631676212549384
252,JPX,-3.6161063,-2.6807969,0.0003324969641156703,0.006637068432089574
253,GDA,-3.625535,-1.0232632,0.00035462252479094445,0.006973742108282937
254,VIPR1,-3.6350553,-1.3666523,0.0003392530215630277,0.0067429262230150385
255,CTNS,-3.6391442,-23.72583,0.00029516232081694144,0.006061275800493032
256,DTWD1,-3.6391442,-23.72583,0.00029516232081694144,0.006061275800493032
257,PARG,-3.6391442,-23.72583,0.00029516232081694144,0.006061275800493032
258,GOLGA6L9,-3.6391442,-23.72583,0.00029516232081694144,0.006061275800493032
259,LMO7,-3.6555107,-1.4029211,0.0003081254528932416,0.006255549121177691
260,TMEM74B,-3.6609035,-1.4011012,0.00030264937666997044,0.006174047284067397
261,SLC27A4,-3.677576,-1.6601512,0.0002784180966005298,0.0058137775116869125
262,SETD5,-3.6862228,-2.2134857,0.0002614126849333687,0.005539800323177005
263,FLNC,-3.6945672,-24.00523,0.000238716111859078,0.005093707931668878
264,D2HGDH,-3.6979353,-1.3107258,0.0002639787596671171,0.005581437009635947
265,CCT2,-3.7105637,-2.7556272,0.00023027855743339718,0.004950049525163031
266,WBP11,-3.7105637,-2.7556272,0.00023027855743339718,0.004950049525163031
267,CENPV,-3.7181358,-2.23129,0.000230912604562846,0.004950049525163031
268,NAB1,-3.724977,-2.2030451,0.00022749007139404194,0.004933558043643685
269,ZNF292,-3.7336757,-1.661869,0.00022706415605653151,0.004933558043643685
270,AC114291.1,-3.7397215,-23.893015,0.0002004050072414609,0.004514949701978738
271,LNPK,-3.7397215,-23.893015,0.0002004050072414609,0.004514949701978738
272,MMP28,-3.7438364,-2.2028399,0.00021575704613341744,0.004734413480402791
273,EDN3,-3.7533886,-1.6888139,0.0002081089234099905,0.004621908840943132
274,VEGFA,-3.7677567,-1.2843636,0.00020321832867382816,0.004567245827482985
275,TMEM131,-3.771122,-1.4277375,0.00020011013229006294,0.004514949701978738
276,TNNC2,-3.7736359,-2.829875,0.0001786540998571566,0.004064380771750312
277,ENPEP,-3.7743964,-1.0175523,0.00021078253235917458,0.004655264953453227
278,GTPBP4,-3.7794676,-23.833511,0.0001715482967246017,0.003931632815303094
279,ALG6,-3.7794676,-23.833511,0.0001715482967246017,0.003931632815303094
280,ABL2,-3.7794676,-23.833511,0.0001715482967246017,0.003931632815303094
281,SCLY,-3.7794676,-23.833511,0.0001715482967246017,0.003931632815303094
282,ZNF267,-3.7794676,-23.833511,0.0001715482967246017,0.003931632815303094
283,AGO3,-3.7794676,-23.833511,0.0001715482967246017,0.003931632815303094
284,EXOC3L1,-3.7794676,-23.833511,0.0001715482967246017,0.003931632815303094
285,BOD1L1,-3.7936053,-1.8089712,0.0001786031104107643,0.004064380771750312
286,PROM1,-3.8028457,-1.4347622,0.00017740567025317618,0.004055860668201925
287,ZNF704,-3.8100069,-24.027689,0.00015208732063204766,0.0035965425362140856
288,GATM,-3.8109848,-2.0201468,0.00016252367593029636,0.003809456464608613
289,CPSF7,-3.8147607,-1.588046,0.00016740439044228968,0.003913973682834591
290,PCK2,-3.8397634,-1.2807275,0.00015600033351613352,0.0036658103688525347
291,ZKSCAN8,-3.848738,-24.04306,0.00013039383058515233,0.003150460507145071
292,DCTPP1,-3.848738,-24.04306,0.00013039383058515233,0.003150460507145071
293,ARGLU1,-3.8548691,-1.0430319,0.00015227765748029905,0.0035965425362140856
