,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,22.942423,2.9334426,1.6523657793707228e-51,1.533725916411905e-47
1,IGKC,18.150993,2.9841783,1.1670289906616285e-39,3.610787697107079e-36
2,IGHA1,15.41992,3.5593688,9.741010957347008e-32,2.2604015926523734e-28
3,REG1A,14.148359,4.4017606,5.638765474401671e-28,1.0467804226679262e-24
4,JCHAIN,11.849916,2.9120276,9.06817574533125e-23,1.0521350908520584e-19
5,IGHG3,11.763187,3.3065333,2.472426242198832e-22,2.2949060380089555e-19
6,IGHG4,11.755188,2.460015,1.024758706336298e-22,1.0568678124681687e-19
7,IGHM,11.020555,3.021908,1.5454272712431733e-20,1.3040596301526487e-17
8,PLA2G2A,9.364938,2.8605163,2.3110274079137747e-16,1.191719800014203e-13
9,DMBT1,9.140124,3.2016225,1.0903603284070427e-15,5.326697141196932e-13
10,PSAP,8.768398,2.4031138,6.305860182006887e-15,2.6604997367903603e-12
11,LINC02739,8.691734,1.9092733,7.945659935689332e-15,2.950064620922735e-12
12,TMSB10,8.607098,1.8622742,1.0081705203616199e-14,3.5991687576909827e-12
13,IGLC2,8.318053,2.6241775,8.745111544251183e-14,2.8302431742642556e-11
14,CTSB,8.107855,2.281836,2.5316024118730176e-13,7.120707147577379e-11
15,C1QA,8.059034,2.411371,3.5644075873866595e-13,9.73083271356558e-11
16,MUC1,7.922525,4.60555,1.1388621645661478e-12,2.781820687237627e-10
17,S100A6,7.8718133,2.1800835,8.935347322609322e-13,2.3038303846794367e-10
18,IGLC3,7.7252445,3.9046323,2.993060623954509e-12,6.460834584080407e-10
19,IGLC1,7.5537615,2.0541964,5.05183980654803e-12,1.0657085700995186e-09
20,CD74,7.208897,1.3043448,2.0235942556112372e-11,3.996383378847554e-09
21,SPINK4,7.1480756,2.230193,4.9103444854698845e-11,8.936826963555189e-09
22,PLCG2,7.108793,2.6965773,6.732502388998972e-11,1.1572423550868233e-08
