Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	retina homeostasis (GO:0001895)	3/36	8.055664e-06	1.404045e-03	0	0	9.543062e+01	1.119319e+03	PIGR;B2M;JCHAIN
GO_Biological_Process_2021	antibacterial humoral response (GO:0019731)	3/44	1.485762e-05	1.404045e-03	0	0	7.677920e+01	8.535543e+02	DEFA5;HLA-A;JCHAIN
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	2/8	3.221082e-05	1.521961e-03	0	0	3.328667e+02	3.442909e+03	HLA-A;B2M
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480)	2/8	3.221082e-05	1.521961e-03	0	0	3.328667e+02	3.442909e+03	HLA-A;B2M
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen (GO:0002483)	2/14	1.042684e-04	3.941344e-03	0	0	1.663833e+02	1.525493e+03	HLA-A;B2M
GO_Biological_Process_2021	regulation of T cell cytokine production (GO:0002724)	2/19	1.952820e-04	6.151383e-03	0	0	1.174176e+02	1.002872e+03	HLA-A;B2M
GO_Biological_Process_2021	positive regulation of T cell cytokine production (GO:0002726)	2/21	2.395010e-04	6.466526e-03	0	0	1.050474e+02	8.757750e+02	HLA-A;B2M
GO_Biological_Process_2021	mucosal immune response (GO:0002385)	2/28	4.290977e-04	1.013743e-02	0	0	7.673846e+01	5.950167e+02	PIGR;DEFA5
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	2/33	5.973830e-04	1.129054e-02	0	0	6.434516e+01	4.776310e+02	HLA-A;B2M
GO_Biological_Process_2021	positive regulation of cytokine production involved in immune response (GO:0002720)	2/33	5.973830e-04	1.129054e-02	0	0	6.434516e+01	4.776310e+02	HLA-A;B2M
GO_Biological_Process_2021	positive regulation of T cell mediated immunity (GO:0002711)	2/36	7.113648e-04	1.222254e-02	0	0	5.865882e+01	4.251782e+02	HLA-A;B2M
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	3/176	9.121456e-04	1.436629e-02	0	0	1.807575e+01	1.265250e+02	DEFA5;HLA-A;JCHAIN
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	2/64	2.234359e-03	3.248414e-02	0	0	3.212258e+01	1.960698e+02	REG3A;DEFA5
GO_Biological_Process_2021	interferon-gamma-mediated signaling pathway (GO:0060333)	2/68	2.518032e-03	3.359061e-02	0	0	3.016970e+01	1.805438e+02	HLA-A;B2M
GO_Biological_Process_2021	defense response to Gram-positive bacterium (GO:0050830)	2/70	2.665921e-03	3.359061e-02	0	0	2.927941e+01	1.735451e+02	DEFA5;HLA-A
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	2/73	2.895273e-03	3.420042e-02	0	0	2.803803e+01	1.638732e+02	HLA-A;B2M
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	2/78	3.297437e-03	3.665974e-02	0	0	2.618684e+01	1.496476e+02	HLA-A;B2M
GO_Biological_Process_2021	innate immune response (GO:0045087)	3/302	4.243644e-03	4.222820e-02	0	0	1.039201e+01	5.676461e+01	DEFA5;B2M;JCHAIN
GO_Biological_Process_2021	negative regulation of keratinocyte differentiation (GO:0045617)	1/5	5.488389e-03	4.222820e-02	0	0	2.377857e+02	1.237703e+03	REG3A
GO_Biological_Process_2021	cellular response to nicotine (GO:0071316)	1/5	5.488389e-03	4.222820e-02	0	0	2.377857e+02	1.237703e+03	B2M
GO_Biological_Process_2021	positive regulation of membrane permeability (GO:1905710)	1/5	5.488389e-03	4.222820e-02	0	0	2.377857e+02	1.237703e+03	DEFA5
GO_Biological_Process_2021	cellular response to iron ion (GO:0071281)	1/6	6.582617e-03	4.222820e-02	0	0	1.902190e+02	9.555317e+02	B2M
GO_Biological_Process_2021	protection from natural killer cell mediated cytotoxicity (GO:0042270)	1/6	6.582617e-03	4.222820e-02	0	0	1.902190e+02	9.555317e+02	HLA-A
GO_Biological_Process_2021	positive regulation of receptor binding (GO:1900122)	1/6	6.582617e-03	4.222820e-02	0	0	1.902190e+02	9.555317e+02	B2M
GO_Biological_Process_2021	cobalamin transport (GO:0015889)	1/6	6.582617e-03	4.222820e-02	0	0	1.902190e+02	9.555317e+02	AMN
GO_Biological_Process_2021	response to host defenses (GO:0052200)	1/7	7.675696e-03	4.222820e-02	0	0	1.585079e+02	7.718855e+02	B2M
GO_Biological_Process_2021	modulation by symbiont of host apoptotic process (GO:0052150)	1/7	7.675696e-03	4.222820e-02	0	0	1.585079e+02	7.718855e+02	RNF213
GO_Biological_Process_2021	modulation by symbiont of host defense response (GO:0052031)	1/7	7.675696e-03	4.222820e-02	0	0	1.585079e+02	7.718855e+02	B2M
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484)	1/7	7.675696e-03	4.222820e-02	0	0	1.585079e+02	7.718855e+02	HLA-A
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)	1/7	7.675696e-03	4.222820e-02	0	0	1.585079e+02	7.718855e+02	HLA-A
GO_Biological_Process_2021	positive regulation of respiratory burst (GO:0060267)	1/7	7.675696e-03	4.222820e-02	0	0	1.585079e+02	7.718855e+02	JCHAIN
GO_Biological_Process_2021	negative regulation of epidermal cell differentiation (GO:0045605)	1/7	7.675696e-03	4.222820e-02	0	0	1.585079e+02	7.718855e+02	REG3A
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	2/121	7.747494e-03	4.222820e-02	0	0	1.668824e+01	8.111126e+01	HLA-A;B2M
GO_Biological_Process_2021	protein homooligomerization (GO:0051260)	2/121	7.747494e-03	4.222820e-02	0	0	1.668824e+01	8.111126e+01	RNF213;B2M
GO_Biological_Process_2021	regulation of CD8-positive, alpha-beta T cell proliferation (GO:2000564)	1/8	8.767628e-03	4.222820e-02	0	0	1.358571e+02	6.435130e+02	HLA-A
GO_Biological_Process_2021	alpha-beta T cell activation (GO:0046631)	1/8	8.767628e-03	4.222820e-02	0	0	1.358571e+02	6.435130e+02	HLA-A
GO_Biological_Process_2021	T cell mediated cytotoxicity (GO:0001913)	1/8	8.767628e-03	4.222820e-02	0	0	1.358571e+02	6.435130e+02	HLA-A
GO_Biological_Process_2021	negative regulation by symbiont of host apoptotic process (GO:0033668)	1/8	8.767628e-03	4.222820e-02	0	0	1.358571e+02	6.435130e+02	RNF213
GO_Biological_Process_2021	negative regulation by symbiont of host programmed cell death (GO:0052041)	1/8	8.767628e-03	4.222820e-02	0	0	1.358571e+02	6.435130e+02	RNF213
GO_Biological_Process_2021	regulation of CD8-positive, alpha-beta T cell activation (GO:2001185)	1/9	9.858413e-03	4.222820e-02	0	0	1.188690e+02	5.491073e+02	HLA-A
GO_Biological_Process_2021	regulation of respiratory burst (GO:0060263)	1/9	9.858413e-03	4.222820e-02	0	0	1.188690e+02	5.491073e+02	JCHAIN
GO_Biological_Process_2021	positive regulation of CD8-positive, alpha-beta T cell activation (GO:2001187)	1/9	9.858413e-03	4.222820e-02	0	0	1.188690e+02	5.491073e+02	HLA-A
GO_Biological_Process_2021	glomerular filtration (GO:0003094)	1/9	9.858413e-03	4.222820e-02	0	0	1.188690e+02	5.491073e+02	JCHAIN
GO_Biological_Process_2021	receptor-mediated endocytosis (GO:0006898)	2/143	1.067791e-02	4.222820e-02	0	0	1.406879e+01	6.386639e+01	AMN;JCHAIN
GO_Biological_Process_2021	nitrogen compound transport (GO:0071705)	2/143	1.067791e-02	4.222820e-02	0	0	1.406879e+01	6.386639e+01	AMN;SLC6A19
GO_Biological_Process_2021	renal filtration (GO:0097205)	1/10	1.094805e-02	4.222820e-02	0	0	1.056561e+02	4.769943e+02	JCHAIN
GO_Biological_Process_2021	regulation of receptor binding (GO:1900120)	1/10	1.094805e-02	4.222820e-02	0	0	1.056561e+02	4.769943e+02	B2M
GO_Biological_Process_2021	modulation by symbiont of host process (GO:0044003)	1/10	1.094805e-02	4.222820e-02	0	0	1.056561e+02	4.769943e+02	B2M
GO_Biological_Process_2021	negative regulation of receptor binding (GO:1900121)	1/10	1.094805e-02	4.222820e-02	0	0	1.056561e+02	4.769943e+02	B2M
GO_Biological_Process_2021	positive regulation of keratinocyte proliferation (GO:0010838)	1/11	1.203655e-02	4.549815e-02	0	0	9.508571e+01	4.202606e+02	REG3A
GO_Biological_Process_2021	positive regulation of cellular senescence (GO:2000774)	1/12	1.312390e-02	4.863563e-02	0	0	8.643723e+01	3.745602e+02	B2M
GO_Biological_Process_2021	response to iron ion (GO:0010039)	1/13	1.421011e-02	5.067379e-02	0	0	7.923016e+01	3.370294e+02	B2M
GO_Biological_Process_2021	positive regulation of cell aging (GO:0090343)	1/13	1.421011e-02	5.067379e-02	0	0	7.923016e+01	3.370294e+02	B2M
GO_Biological_Process_2021	detection of bacterium (GO:0016045)	1/14	1.529518e-02	5.255979e-02	0	0	7.313187e+01	3.057071e+02	HLA-A
GO_Biological_Process_2021	immune response-regulating cell surface receptor signaling pathway (GO:0002768)	1/14	1.529518e-02	5.255979e-02	0	0	7.313187e+01	3.057071e+02	PIGR
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	2/179	1.636014e-02	5.323062e-02	0	0	1.118701e+01	4.601112e+01	HLA-A;B2M
GO_Biological_Process_2021	regulation of non-canonical Wnt signaling pathway (GO:2000050)	1/15	1.637911e-02	5.323062e-02	0	0	6.790476e+01	2.792073e+02	RNF213
GO_Biological_Process_2021	regulation of dephosphorylation (GO:0035303)	1/15	1.637911e-02	5.323062e-02	0	0	6.790476e+01	2.792073e+02	PPP1R16A
