,names,scores,logfoldchanges,pvals,pvals_adj
0,TNFRSF14-AS1,13.659027,28.609125,4.4941870662983135e-35,4.171504434938095e-31
1,EWSR1,11.12222,27.84223,3.4281609453593274e-25,1.5910094947412638e-21
2,HDLBP,10.613763,27.75691,2.504662715841542e-23,7.74942644281373e-20
3,PARP14,10.5649,27.721584,3.761823853506787e-23,8.7293122520625e-20
4,SON,10.371858,27.648472,1.857523955295361e-22,3.448307470610308e-19
5,UQCRC2,10.043516,27.58783,2.7043665819752703e-21,4.183655102315743e-18
6,NSMF,9.374131,27.407412,5.433281333478524e-19,7.204531048192523e-16
7,TCIRG1,9.253209,27.418676,1.3828867808922018e-18,1.5938035088476146e-15
8,CCDC68,9.236846,27.271877,1.5683430594945007e-18,1.5938035088476146e-15
9,SMCHD1,9.225052,27.216791,1.7170906150049718e-18,1.5938035088476146e-15
10,MTG1,9.091806,27.338083,4.755622836217028e-18,4.012881015069677e-15
11,GSKIP,9.061707,27.301628,5.978412193105792e-18,4.62430183136733e-15
12,TXN,8.931169,27.18694,1.6037735084199992e-17,1.0953480612139189e-14
13,TSC2,8.927221,27.117367,1.652108689613754e-17,1.0953480612139189e-14
14,AL049543.1,8.888927,27.077244,2.202758471468421e-17,1.363066942144659e-14
15,FAAH,8.875767,27.256815,2.431207936532932e-17,1.4101971894511946e-14
16,SNHG3,8.867695,27.023893,2.582778735258598e-17,1.4101971894511946e-14
17,CRACR2B,8.83571,27.204086,3.2810095007987616e-17,1.6919072325785615e-14
18,AC067930.8,8.790712,26.917173,4.589825525033028e-17,2.2422505538608718e-14
19,USH1C,8.675519,27.381086,1.0784482407416702e-16,5.005078285282091e-14
20,ARHGEF10L,8.573628,27.15951,2.281815191398446e-16,1.0085623145981131e-13
21,GMPPA,8.493506,26.889046,4.096690858938834e-16,1.6853431309654682e-13
22,RBM33,8.489731,27.048254,4.2108642782862225e-16,1.6853431309654682e-13
23,CDC42SE2,8.485021,27.103872,4.3577068673961683e-16,1.6853431309654682e-13
24,LRRFIP2,8.466015,27.030632,5.003505429075498e-16,1.857701495707151e-13
