,names,scores,logfoldchanges,pvals,pvals_adj
0,CDC42SE2,12.14435,26.84658,1.283850938505639e-31,1.191670441120934e-27
1,NPC2,11.343599,26.653687,4.926979679133589e-28,2.286611269085899e-24
2,TMUB1,10.797962,26.424242,1.072547187312341e-25,3.318460997544383e-22
3,ZFYVE27,10.504323,26.484585,1.787284129904003e-24,4.147392823442239e-21
4,YWHAQ,10.322357,26.343641,9.91440352792483e-24,1.8405098709239654e-20
5,GPM6A,10.26421,26.27753,1.7057089610457026e-23,2.638731762737702e-20
6,BTN2A1,9.924398,26.140053,3.873396739923893e-22,5.136124077139082e-19
7,RARRES1,9.803383,26.409449,1.1544168089457008e-21,1.3188126214796355e-18
8,STARD3,9.780238,26.175938,1.4208280774398142e-21,1.3188126214796355e-18
9,CARS2,9.780238,26.175938,1.4208280774398142e-21,1.3188126214796355e-18
10,NDUFS7,9.733879,26.198393,2.151118029202863e-21,1.8151525042782703e-18
11,DGCR8,9.678493,26.137438,3.523452641255758e-21,2.7253906180113286e-18
12,SNX5,9.543051,26.172216,1.1665587489156786e-20,8.329229467257945e-18
13,AL360012.1,9.508231,25.9866,1.5835257098995815e-20,1.0498775456634224e-17
14,COX17,9.397415,26.147942,4.16303081054677e-20,2.5760834655663413e-17
15,MAEA,9.372861,26.059233,5.150984749533529e-20,2.988215027823139e-17
16,HPS1,9.347553,26.026186,6.412139079197074e-20,3.3164408781518137e-17
17,ENTPD4,9.347206,25.959198,6.431365633132153e-20,3.3164408781518137e-17
18,TAOK2,9.325432,25.992414,7.761943162877609e-20,3.791913496727893e-17
19,NUDT22,9.306877,25.98951,9.108314622499818e-20,4.227168816302165e-17
20,YME1L1,9.265947,26.006521,1.2950324609795918e-19,5.598568400579292e-17
21,DDC,9.263109,26.242847,1.3269608361640206e-19,5.598568400579292e-17
22,KIAA1671,9.209903,26.074278,2.0925662574327497e-19,8.444869565865558e-17
23,DLGAP4,9.1923065,25.999483,2.431630562459723e-19,9.404331200312979e-17
24,COMMD4,9.167553,25.965115,3.002441401420062e-19,1.1147464435192406e-16
25,BAG1,9.140711,25.916477,3.771809244471643e-19,1.3465359002763764e-16
26,SUPT4H1,9.081731,25.912075,6.214647702543534e-19,2.1364577768521882e-16
27,PIM3,9.069017,25.995007,6.918524219196899e-19,2.293490778663772e-16
28,MX1,9.031517,25.916477,9.487481019056134e-19,3.0366482351337595e-16
29,UBXN1,9.01113,25.880177,1.1259208306580892e-18,3.483599050056128e-16
30,BDH1,9.004374,25.90459,1.1915758098127976e-18,3.5678086021556087e-16
31,LRRC59,8.973988,25.912075,1.5368343773042555e-18,4.457780215668156e-16
32,KIF1B,8.963823,25.801603,1.6731136492554023e-18,4.567600262467248e-16
33,AL021707.6,8.963823,25.801603,1.6731136492554023e-18,4.567600262467248e-16
34,ACCS,8.921492,25.973948,2.3813461842575216e-18,6.315330080650947e-16
35,AL356488.2,8.898031,25.782145,2.8941831204856825e-18,7.462168812318918e-16
36,GPNMB,8.804202,26.071526,6.287151833112747e-18,1.577225494998717e-15
37,ANO10,8.7889805,25.84619,7.12585738227281e-18,1.7375797857473946e-15
38,CARD16,8.786031,25.890884,7.300755402299977e-18,1.7375797857473946e-15
39,IFI27L2,8.782068,25.796858,7.542343410091489e-18,1.7502007883117298e-15
40,PAWR,8.765435,25.742466,8.645804625913797e-18,1.9573258179934603e-15
41,WBP1,8.748405,25.864855,9.940815274615936e-18,2.1969201756901217e-15
42,SLC25A11,8.742042,25.83052,1.0472460720364342e-17,2.26059024200981e-15
43,CHPF,8.720101,25.852558,1.2530025184726668e-17,2.6432657673780212e-15
44,LPCAT1,8.697507,25.938997,1.506653417612861e-17,3.1077237827294608e-15
45,FBXO9,8.68654,25.833403,1.6474444949756303e-17,3.3242564787747392e-15
46,NCOA3,8.648703,25.757565,2.24055559034276e-17,4.424858933949255e-15
47,IFI6,8.63522,25.987917,2.4993514089300143e-17,4.8331207870184156e-15
48,ZAP70,8.613541,25.713757,2.978696331760829e-17,5.6425019084497985e-15
49,UBE2M,8.606595,25.838375,3.150689345665816e-17,5.848939701294021e-15
50,TRIM8,8.596913,25.72569,3.406909946131097e-17,6.200576101958597e-15
51,IDO1,8.552913,26.331207,4.8560460235367064e-17,8.668042152013022e-15
52,RBM26,8.545962,25.693134,5.134988947939333e-17,8.99301271976847e-15
53,RBFOX2,8.513906,25.717232,6.640326727883277e-17,1.1413983831150477e-14
54,CABIN1,8.499641,25.72914,7.443213733356447e-17,1.2561438158729917e-14
55,UBR5,8.495967,25.659866,7.665095918324362e-17,1.2704896484622628e-14
56,LRRC1,8.474331,25.75268,9.11062306420257e-17,1.4835930400338292e-14
57,KCMF1,8.466756,25.737532,9.677854757294027e-17,1.548790480296606e-14
58,CD79B,8.447843,25.79505,1.125087522835934e-16,1.770010574061549e-14
