Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	77/488	3.423931e-10	9.181847e-07	0	0	2.381544e+00	5.190589e+01	GPI;ITGAM;LPCAT1;PTPRJ;SLC2A3;SLC2A5;LGALS3;HEBP2;PSMD6;GLIPR1;LAMP1;PLAU;SIRPA;OSTF1;GYG1;B2M;GOLGA7;CTSD;CTSC;CTSB;ANXA2;CD93;CD300A;HLA-B;PLAUR;HLA-C;CYBB;KCNAB2;OLFM4;UNC13D;DDOST;CKAP4;SERPINB6;APRT;RAP2C;EEF1A1;RAB31;PKM;RAP2B;DOK3;TYROBP;TMBIM1;PAFAH1B2;FTL;CD63;RAB5B;PSMD12;FGL2;AGPAT2;PLAC8;SDCBP;DSN1;RAP1A;ALOX5;PSAP;RAB24;NEU1;MAPK1;CD59;CD14;LAIR1;AP1M1;TXNDC5;CTSA;RAB4B;CARD9;CMTM6;LYZ;MAPK14;CPPED1;IGF2R;PSMC3;LCN2;LAMTOR2;CYSTM1;YPEL5;HSPA1A
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	76/481	4.185550e-10	9.181847e-07	0	0	2.384554e+00	5.149257e+01	GPI;ITGAM;LPCAT1;PTPRJ;SLC2A3;SLC2A5;LGALS3;HEBP2;PSMD6;GLIPR1;LAMP1;PLAU;SIRPA;OSTF1;GYG1;B2M;GOLGA7;CTSD;CTSC;CTSB;ANXA2;CD93;CD300A;HLA-B;PLAUR;HLA-C;CYBB;KCNAB2;OLFM4;UNC13D;DDOST;CKAP4;SERPINB6;APRT;RAP2C;EEF1A1;RAB31;PKM;RAP2B;DOK3;TYROBP;TMBIM1;PAFAH1B2;FTL;CD63;RAB5B;PSMD12;FGL2;AGPAT2;PLAC8;SDCBP;DSN1;RAP1A;ALOX5;PSAP;RAB24;NEU1;MAPK1;CD59;CD14;LAIR1;AP1M1;TXNDC5;CTSA;RAB4B;CMTM6;LYZ;MAPK14;CPPED1;IGF2R;PSMC3;LCN2;LAMTOR2;CYSTM1;YPEL5;HSPA1A
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	76/485	6.169214e-10	9.181847e-07	0	0	2.360711e+00	5.006190e+01	GPI;ITGAM;LPCAT1;PTPRJ;SLC2A3;SLC2A5;LGALS3;HEBP2;PSMD6;GLIPR1;LAMP1;PLAU;SIRPA;OSTF1;GYG1;B2M;GOLGA7;CTSD;CTSC;CTSB;ANXA2;CD93;CD300A;HLA-B;PLAUR;HLA-C;CYBB;KCNAB2;OLFM4;UNC13D;DDOST;CKAP4;SERPINB6;APRT;RAP2C;EEF1A1;RAB31;PKM;RAP2B;DOK3;TYROBP;TMBIM1;PAFAH1B2;FTL;CD63;RAB5B;PSMD12;FGL2;AGPAT2;PLAC8;SDCBP;DSN1;RAP1A;ALOX5;PSAP;RAB24;NEU1;MAPK1;CD59;CD14;LAIR1;AP1M1;TXNDC5;CTSA;RAB4B;CMTM6;LYZ;MAPK14;CPPED1;IGF2R;PSMC3;LCN2;LAMTOR2;CYSTM1;YPEL5;HSPA1A
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	142/1183	1.033253e-08	1.153369e-05	0	0	1.753708e+00	3.224712e+01	APP;TCERG1;ICE1;ICE2;FHOD1;RORA;PARK7;RBPJ;ETS1;ETS2;ELK4;IL4I1;PSMD9;CHCHD2;CREB3L3;KAT5;CDH1;RUVBL2;KAT8;ATXN7L3;MED1;MEF2C;SMARCC2;DYRK1A;MRTFA;MED4;MED6;JMJD6;RUNX1;TBL1XR1;PHIP;ATF5;TP53;ZNF395;ENY2;NOTCH1;KMT2A;CTBP2;PRKDC;CREBL2;XPC;PHB;ZNF24;HIF1A;PLAC8;DVL2;ZBED1;INPP5K;MAP2K7;STAT5B;JUN;ZNF263;ZFHX3;AKIRIN1;SMAD3;FOXF1;NFKB2;FOSL2;SMAD7;CXCL10;BMP2;SNW1;FUBP3;AGO2;SP3;TADA3;CAPRIN2;CREBRF;TCF4;TCF3;NFE2L2;CSRNP2;BMPR2;LDB1;CHD8;LITAF;ING1;MED17;PHF8;ING5;FLCN;MED13;DBP;SIN3A;NCOA2;PARP1;TCF12;TFE3;TET2;ARNT;EDF1;SIRT2;SREBF2;DNAJC2;PLSCR1;ELF1;KAT2A;HAX1;IRF4;IRF1;IRF2;TFEC;WAC;IRF6;RBM23;RHOQ;HDAC4;SMARCD1;ZNF593;CEBPB;KDM3A;TMF1;SMARCD3;TAF9;CEBPG;LRP5;FOXK1;RNF4;ASCL2;SERTAD3;IFI16;SERTAD1;EPCAM;TP53INP2;NRIP1;APBB1;BRD7;MEF2D;MAP3K2;ATF7IP;CD74;STAT1;ZNF76;NR1H3;RRP1B;HIPK2;PSMC3;TNIP2;POU2AF1;CTNNB1;NAA16;PAXBP1
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	114/908	2.961412e-08	2.644541e-05	0	0	1.834178e+00	3.179551e+01	APP;TCERG1;FHOD1;RORA;PARK7;RBPJ;ETS1;ELK4;IL4I1;CHCHD2;CREB3L3;KAT5;RUVBL2;KAT8;MED1;MEF2C;MRTFA;MED4;MED6;JMJD6;RUNX1;TBL1XR1;PHIP;ATF5;TP53;ZNF395;NOTCH1;KMT2A;CTBP2;PRKDC;ZNF24;HIF1A;PLAC8;DVL2;ZBED1;STAT5B;JUN;ZNF263;ZFHX3;AKIRIN1;SMAD3;FOXF1;LARP7;NFKB2;FOSL2;SMAD7;CXCL10;BMP2;SNW1;FUBP3;AGO2;SP3;CAPRIN2;CREBRF;TCF4;TCF3;NFE2L2;CSRNP2;BMPR2;LDB1;CHD8;LITAF;MED17;FLCN;MED13;DBP;SIN3A;NCOA2;PARP1;TCF12;TFE3;TET2;ARNT;SIRT2;SREBF2;PLSCR1;ELF1;KAT2A;HAX1;IRF4;IRF1;IRF2;TFEC;IRF6;EAPP;RHOQ;HDAC4;SMARCD1;ZNF593;CEBPB;TMF1;SMARCD3;TAF9;CEBPG;LRP5;RNF4;ASCL2;MUC1;IFI16;EPCAM;NRIP1;LEO1;APBB1;MEF2D;STAT1;ZNF76;NR1H3;RRP1B;HIPK2;PSMC3;TNIP2;POU2AF1;CTNNB1;PAXBP1
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	73/511	7.097909e-08	5.282027e-05	0	0	2.109554e+00	3.472511e+01	CHD8;RORA;ING1;ETS1;ETS2;MED17;PHF8;PSMD9;ING5;MED13;KAT5;CDH1;KAT8;ATXN7L3;MED1;MEF2C;SMARCC2;TFE3;DYRK1A;EDF1;MED4;JMJD6;RUNX1;DNAJC2;KAT2A;ELF1;TBL1XR1;IRF4;IRF1;WAC;PHIP;IRF6;ATF5;RBM23;TP53;HDAC4;ENY2;CEBPB;KDM3A;NOTCH1;SMARCD3;KMT2A;LRP5;XPC;CREBL2;FOXK1;PHB;RNF4;HIF1A;SERTAD3;TP53INP2;INPP5K;APBB1;BRD7;MAP2K7;MAP3K2;ATF7IP;CD74;JUN;ZFHX3;SMAD3;STAT1;FOXF1;NR1H3;HIPK2;BMP2;FUBP3;SP3;TADA3;CTNNB1;TCF4;NAA16;TCF3
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	119/1025	9.851688e-07	5.874538e-04	0	0	1.673361e+00	2.314334e+01	ERO1A;APP;GMFB;KEAP1;ZDHHC6;PARK7;PSMD9;PSMD6;PTAR1;PRKACA;SEPHS1;FBXO9;PDK1;FBXW4;PRKCH;DAPK1;FBXW9;COG3;DYRK1A;PRKCA;ALG1;CSNK1E;PDIA6;BTK;SIK3;PSME2;SPARCL1;TRIB2;PSMD12;RPN2;PRKDC;RPN1;PIK3R4;ZC3HAV1;HIF1A;TGOLN2;STK36;STK38;ST8SIA4;NAE1;UBE2F;YES1;UBE2I;ICMT;WFS1;PLK2;BRAF;SRPK1;COPS4;COPS3;BMP2;PPP5C;CALU;MELTF;CCDC22;MAP3K13;MAP3K11;FGFR1;GSK3B;ST6GALNAC1;BMPR2;PIK3CD;PTPRJ;PPP6C;SERP1;PPP2R5E;ELOC;TIMP1;IKBKE;PARP1;PDPK1;STRADA;MINK1;PPP2R5B;PPP2R5A;DUSP6;SIRT2;SUMF2;DDOST;CKAP4;SIRT3;PSMA6;LCK;VWA1;MFGE8;CHST5;TULP4;FSTL1;PSMA7;PSMB10;PPP2CA;MAPK9;PSMB4;PAK1;PSMB5;MAPK1;MGAT1;APOL1;LCMT1;MAP4K3;UBL4A;MBTPS1;PTPN18;MAP3K1;GOLM1;LIMK1;CDC42BPB;PTPN12;CDC42BPA;PPP1CA;HIPK2;CUL4A;SPSB2;PSMC3;TAOK1;ASB8;TAOK2;P4HB;METAP1
GO_Biological_Process_2021	regulation of primary metabolic process (GO:0080090)	27/130	1.052549e-06	5.874538e-04	0	0	3.273941e+00	4.506349e+01	IDI1;PSMD12;SMARCD3;ODC1;OAZ2;PSMA7;PSMB10;LACTB;PSMD9;PSMD6;PSMB4;PSMB5;SIN3A;PSAP;LDLR;MED1;NCOA2;NQO1;PRKAB2;CYP51A1;EDF1;SREBF2;FABP1;PSMA6;PSMC3;TBL1XR1;PSME2
GO_Biological_Process_2021	regulation of protein localization to plasma membrane (GO:1903076)	19/80	5.250722e-06	2.604942e-03	0	0	3.877985e+00	4.714522e+01	PRKCH;PDPK1;CLTC;ARHGEF16;PPP2R5A;ZDHHC7;ACTB;LGALS3;CLN3;MMP14;DLG1;TMBIM1;PPFIA1;AGR2;STX3;GBP1;RHOQ;VTI1B;BCL2L1
GO_Biological_Process_2021	response to cytokine (GO:0034097)	28/150	6.064992e-06	2.708019e-03	0	0	2.865422e+00	3.442225e+01	HDAC4;APP;ITIH4;SETD2;TAF9;TNFRSF11A;CXCL16;KHSRP;LAMP3;TIMP1;MAP2K7;IKBKE;MAP4K3;CD74;PTPN18;GGT7;SMAD3;IL1R1;STAT1;SPHK1;MX2;PRKCA;PTPN12;DDOST;PLSCR1;HAX1;PTPN2;BCL2L1
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	18/75	7.890380e-06	3.181157e-03	0	0	3.929896e+00	4.617575e+01	PSMD12;NOTCH1;ARNT;RBPJ;HIGD1A;HIF1A;SIRT2;PSMA7;PSMB10;PSMD9;PSMA6;PSMD6;PSMB4;PSMB5;PSMC3;PSME2;ELOC;NFE2L2
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	77/621	8.549582e-06	3.181157e-03	0	0	1.786062e+00	2.084268e+01	ARF1;CXCL9;ITGAM;TNFRSF6B;TRADD;SLA;PIK3CD;RORA;PTPRJ;TNFSF13B;PSMD9;PSMD6;CCND1;TMSB4X;TIMP1;PRKACA;B2M;ANXA2;IL1R1;TNFRSF18;MMP2;AIP;HLA-B;FLT3LG;HLA-C;F3;HLA-E;IL17RA;PSMA6;IFI27;OAS1;LCK;IRF4;IRF1;IRF2;CDIP1;PSME2;IRF6;TP53;HLA-DQB1;PSMD12;CEBPD;NOD1;TNFRSF11A;HIF1A;ADIPOR2;PSMA7;PSMB10;PSMB4;MUC1;PSMB5;ALOX5;STX3;CD300LF;CAMK2G;GBP1;STAT5B;STAT1;MX2;TNFSF13;SOD2;LILRB4;IL22RA1;CXCL10;COL1A2;PSMC3;TNIP2;CAPZA1;IL2RB;HLA-DPB1;LCN2;CD27;PLP2;P4HB;VIM;LIMS1;BCL2L1
GO_Biological_Process_2021	regulation of mRNA catabolic process (GO:0061013)	24/122	1.094307e-05	3.749056e-03	0	0	3.053260e+00	3.487679e+01	NUP214;PSMD12;FMR1;TNFSF13;SAMD4A;HSPB1;PRKCA;ZC3HAV1;GTPBP1;RC3H2;PSMA7;PSMB10;PSMD9;PSMA6;EXOSC6;PSMD6;PSMB4;PSMB5;PSMC3;KHSRP;PSME2;VIM;EXOSC1;HSPA1A
