,names,scores,logfoldchanges,pvals,pvals_adj
0,STARD10,9.681485,27.558811,5.3388241479902164e-20,3.7973494651200063e-16
1,GCNT4,9.61217,27.565817,9.207069449711215e-20,3.7973494651200063e-16
2,ARFRP1,9.575489,27.300453,1.2273269118034926e-19,3.7973494651200063e-16
3,PROM1,9.41021,27.327274,4.44527588549194e-19,1.0315262692284048e-15
4,NOP56,8.906843,27.081148,2.056254038421723e-17,3.8172299969260866e-14
5,LRP1,8.807166,27.281815,4.324702306316871e-17,6.6903144678722e-14
6,LAMTOR5,8.750528,27.195736,6.582298088430543e-17,8.590563782475646e-14
7,FAM111A,8.734623,27.051628,7.404062729994092e-17,8.590563782475646e-14
8,MYL9,8.664818,27.120474,1.2387708260353455e-16,1.2775856452511197e-13
9,NCL,8.611767,27.077665,1.8284458029729697e-16,1.6971633943195104e-13
10,SLC25A6,8.595247,27.263508,2.0634716793375261e-16,1.7411949206919018e-13
11,KIF1C,8.561628,27.082735,2.6379458508366433e-16,2.0404511156221435e-13
12,MLLT6,8.523895,27.12696,3.4726510615648603e-16,2.4794728579573103e-13
13,IRF7,8.510718,27.067442,3.8218604561452716e-16,2.533893482424315e-13
14,ZC3H3,8.480856,26.85609,4.747052775991191e-16,2.9374762577833493e-13
15,TRA2A,8.457485,27.193626,5.622780672940244e-16,3.261915637889459e-13
16,GALNT4,8.311167,26.968952,1.6114880757659226e-15,8.798724893681938e-13
17,NRBP1,8.297882,27.060751,1.7720618599759464e-15,9.137932324609297e-13
18,SERBP1,8.274924,26.954271,2.0876855836193315e-15,9.805997437750421e-13
19,LFNG,8.268444,26.97927,2.1864221104090095e-15,9.805997437750421e-13
20,CKMT1B,8.266397,27.049665,2.2185514565046203e-15,9.805997437750421e-13
21,RNF19A,8.254101,26.832182,2.4216970395356568e-15,1.0217359964077258e-12
22,ZFAND2B,8.201481,27.18625,3.519659843013615e-15,1.4204122896892338e-12
23,C2orf88,8.186787,27.221357,3.9059002673489964e-15,1.5106069283972243e-12
24,PGPEP1,8.036079,27.127321,1.1280170045696606e-14,4.1881015345662355e-12
25,OSER1,7.926767,26.812063,2.4139205151352087e-14,8.617696239032695e-12
26,GRIPAP1,7.90073,26.854305,2.890410365042977e-14,9.936588521603302e-12
27,AFF1,7.8568344,26.806074,3.912520408201818e-14,1.2970005153189026e-11
28,CCS,7.8425546,26.985083,4.3164308971382123e-14,1.3815555719736856e-11
29,TEPSIN,7.8060694,26.73718,5.5449124967136414e-14,1.7155959264832008e-11
30,TNFRSF10B,7.794419,26.80979,6.005565536208446e-14,1.7981825582931224e-11
31,PSMB4,7.777984,26.873907,6.720206835758686e-14,1.949279995297254e-11
32,MROH1,7.7541637,26.877892,7.907273587282945e-14,2.2170529684992987e-11
33,DNAJC5,7.750252,26.680756,8.121073144686076e-14,2.2170529684992987e-11
34,DMAP1,7.721431,26.711424,9.882230994628039e-14,2.620767659775356e-11
35,INPPL1,7.716165,26.717777,1.0242497373754124e-13,2.6408572395329382e-11
36,PRR15,7.7115006,26.846249,1.057239069501743e-13,2.6522413630041025e-11
37,PRRC2C,7.6890116,26.756355,1.2316052141004341e-13,3.008357788757955e-11
38,SYMPK,7.651115,26.732834,1.5917826527468719e-13,3.706322742590599e-11
39,FAM160B2,7.6506114,26.781406,1.5972086802803705e-13,3.706322742590599e-11
40,STARD3,7.60037,26.696163,2.2410866828324244e-13,5.0736016073294055e-11
41,KLKB1,7.537116,26.819895,3.4251148533173295e-13,7.419947976272279e-11
42,DLG1,7.5365815,26.491104,3.437381630895367e-13,7.419947976272279e-11
43,EHD1,7.5261173,26.77909,3.68633750264424e-13,7.776496522623599e-11
44,SATB1,7.507946,26.791689,4.1615889227624666e-13,8.58397075135138e-11
45,MRPL55,7.4960604,26.700611,4.504602274036456e-13,9.089503979914432e-11
46,KTN1,7.4895434,26.6362,4.704355924890642e-13,9.290602488262752e-11
47,KDM4C,7.478192,26.615519,5.073353460238317e-13,9.810597253735846e-11
48,RAD9A,7.472328,26.76064,5.274988781617466e-13,9.992335892035371e-11
49,CASP10,7.448312,26.559393,6.186552394589335e-13,1.1463181512762283e-10
50,TRIM26,7.4456077,26.60825,6.298451380638617e-13,1.1463181512762283e-10
51,NDUFB5,7.4165707,26.592466,7.633037571591711e-13,1.3624972065291205e-10
52,SH3RF2,7.3916736,26.587704,8.996544449557299e-13,1.5755835015243557e-10
53,NAA60,7.3811426,26.56638,9.643078594979422e-13,1.6181020108058382e-10
54,ZFYVE28,7.3798094,26.51346,9.728132656961764e-13,1.6181020108058382e-10
55,ARHGAP17,7.3792768,26.66725,9.762304740910035e-13,1.6181020108058382e-10
56,SHC1,7.3611593,26.53057,1.0998209733318829e-12,1.7909716270993925e-10
57,CFDP1,7.338116,26.756355,1.2794831082823972e-12,2.0476141743236569e-10
58,SSR2,7.2942996,26.658632,1.7044159081209947e-12,2.6814217727422157e-10
59,ANKRD13A,7.2708426,26.654066,1.986214404493778e-12,3.0726736837518746e-10
60,EDC4,7.25272,26.647455,2.2348985514549615e-12,3.400709566328681e-10
61,TPD52,7.2499523,26.698175,2.275484961525168e-12,3.4066211956252596e-10
62,RUSC1,7.242282,26.535503,2.3917994292554897e-12,3.5239178257697545e-10
63,ABHD17A,7.227219,26.693722,2.6374944327069335e-12,3.8251911444352745e-10
64,UCKL1,7.2171745,26.53057,2.814976089173581e-12,4.0197858553398737e-10
65,ABCC2,7.2018967,26.7497,3.107691918215794e-12,4.3705449067998486e-10
66,SOS1,7.192088,26.525618,3.3112105673768068e-12,4.587262162147988e-10
67,BAX,7.183978,26.580812,3.4893480102539687e-12,4.762960033996667e-10
68,GPR153,7.168957,26.613445,3.844537981492595e-12,5.100199513616333e-10
69,SLC66A1,7.168886,26.488861,3.846304308911262e-12,5.100199513616333e-10
70,ABLIM1,7.145302,26.608747,4.477279659164e-12,5.853254900895809e-10
71,OFD1,7.108856,26.398989,5.657797149646345e-12,7.293843492085746e-10
72,VASP,7.1059012,26.535503,5.765959594969538e-12,7.331457117877706e-10
73,RIC8A,7.0965943,26.552376,6.1200591526246925e-12,7.676539061440865e-10
74,PITPNA,7.089898,26.654593,6.3879877862920486e-12,7.905773684315039e-10
75,RTF2,7.0767126,26.601944,6.949739446562227e-12,8.480473316931343e-10
76,PRAG1,7.0748014,26.608747,7.035083445418157e-12,8.480473316931343e-10
77,NBEAL2,7.0461693,26.372519,8.44433898282236e-12,1.0048763389558609e-09
78,FNBP4,7.025537,26.39122,9.6285221796077e-12,1.13129041609011e-09
79,RRAS2,7.0072207,26.463327,1.0815649102542078e-11,1.2548856871224444e-09
80,PPP4R3B,6.991082,26.427965,1.1980144995461515e-11,1.3728358746651084e-09
81,FAM192A,6.9810767,26.404354,1.2763073314478249e-11,1.4273114036745436e-09
82,BTN2A1,6.9810767,26.404354,1.2763073314478249e-11,1.4273114036745436e-09
83,ANKRD17,6.970898,26.552376,1.361117082359615e-11,1.4863398539366996e-09
84,NADK,6.970898,26.552376,1.361117082359615e-11,1.4863398539366996e-09
85,TAF1C,6.939415,26.458706,1.660069257432911e-11,1.7542561611880526e-09
86,HSPG2,6.939415,26.458706,1.660069257432911e-11,1.7542561611880526e-09
87,GID8,6.9391193,26.544811,1.6631603338132797e-11,1.7542561611880526e-09
88,ENPP3,6.9288216,26.594612,1.774497838829775e-11,1.8506616786537045e-09
89,SSR1,6.9068446,26.52838,2.037173434717748e-11,2.0860850817984856e-09
90,ILRUN,6.9062195,26.450678,2.0451814527436132e-11,2.0860850817984856e-09
91,C5orf15,6.9015503,26.698645,2.1059629670794775e-11,2.105234084750239e-09
92,OIP5-AS1,6.9012966,26.39661,2.1093166330723146e-11,2.105234084750239e-09
93,AMDHD2,6.8872952,26.415028,2.302714351212566e-11,2.273807937016493e-09
94,BAG1,6.875361,26.39122,2.4812471748376642e-11,2.4190172463325257e-09
95,PLPP5,6.8740354,26.61507,2.5018924331816682e-11,2.4190172463325257e-09
96,CYBA,6.861711,26.409698,2.702147799175492e-11,2.5857047290666926e-09
97,SUB1,6.8499,26.427965,2.9088071039975718e-11,2.722752800500116e-09
98,AAMP,6.8499,26.427965,2.9088071039975718e-11,2.722752800500116e-09
99,ACADM,6.8485513,26.585594,2.933368671083943e-11,2.722752800500116e-09
100,ACCS,6.8241568,26.481522,3.414526824594187e-11,3.137983958998341e-09
101,SLC35D2,6.816397,26.506235,3.583243512456433e-11,3.2607515963353538e-09
102,SRSF9,6.792495,26.501207,4.1560840118260077e-11,3.7453176502688355e-09
103,NMRAL1,6.773981,26.272938,4.6607384098562664e-11,4.159709030796718e-09
104,ADD3,6.7713575,26.377974,4.736958368769232e-11,4.187471197992001e-09
105,PRXL2B,6.7584267,26.503483,5.1308867614597974e-11,4.491033307869027e-09
106,TUBGCP2,6.7569733,26.427408,5.17712307629806e-11,4.491033307869027e-09
107,FNBP1L,6.753572,26.47415,5.286923908651267e-11,4.50391275046154e-09
108,TAOK2,6.753508,26.29286,5.289016265894289e-11,4.50391275046154e-09
109,SUCO,6.745661,26.372519,5.551277787383352e-11,4.684269129317479e-09
110,HEXB,6.7427616,26.501207,5.651351911998831e-11,4.725752112357942e-09
111,DGCR2,6.735527,26.31253,5.908906219373097e-11,4.886842325916862e-09
112,TXNDC11,6.734421,26.39122,5.949290916059098e-11,4.886842325916862e-09
113,GNL3,6.7314005,26.196732,6.060926533231887e-11,4.934870182584069e-09
114,ENTPD4,6.726496,26.287098,6.246617422189831e-11,5.041835035892697e-09
115,ARID1B,6.7089195,26.30684,6.959117894765396e-11,5.565668954644184e-09
116,KLF6,6.7076035,26.527857,7.01554910249267e-11,5.565668954644184e-09
117,SCPEP1,6.706211,26.351143,7.075777953737496e-11,5.565878895473851e-09
118,PIN4,6.6818876,26.238281,8.213279602570065e-11,6.352971772587946e-09
119,RAF1,6.6818876,26.238281,8.213279602570065e-11,6.352971772587946e-09
120,PRR14,6.6690125,26.364616,8.886184577235229e-11,6.760784036548967e-09
121,FKBP1A,6.6690125,26.364616,8.886184577235229e-11,6.760784036548967e-09
122,RBMX,6.654267,26.232315,9.723480369971033e-11,7.3376703084610676e-09
123,SEC61G,6.6514444,26.401981,9.89232807756856e-11,7.404886227096079e-09
124,ASAP2,6.643615,26.278751,1.0376013842865747e-10,7.587493910960463e-09
125,COL1A2,6.643615,26.278751,1.0376013842865747e-10,7.587493910960463e-09
126,BRMS1,6.643528,26.359114,1.0381509660547067e-10,7.587493910960463e-09
127,CIR1,6.6386685,26.160315,1.0693442640451776e-10,7.754416764740108e-09
128,DGCR8,6.6260295,26.374987,1.1548507533769323e-10,8.309554025460996e-09
