Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	81/350	2.655892e-06	1.343616e-02	0	0	1.869433e+00	2.400115e+01	ATF2;MRE11;TRRAP;SETD7;SMC5;ASH2L;CASP9;POLB;PIDD1;UFL1;ENDOV;HPF1;HERC2;HMCES;POLI;TOPBP1;ZNF385A;MEN1;BOK;LIG1;DTX3L;KMT5C;NSMCE3;ZBTB38;METTL3;UBE2E2;CSNK1E;BAZ1B;ZDHHC16;SPIDR;INIP;REXO4;KIN;RAD51D;RAD51C;RNF169;SLFN11;NSMCE4A;WAC;CEP63;FAN1;EPHA2;RTEL1;PRKDC;PNKP;ZBTB1;IGHMBP2;HTRA2;ZBTB4;FAAP20;VCPIP1;MRNIP;RECQL5;SLX4;OARD1;RBBP5;POLD1;ATRIP;MORC2;UBQLN4;PLK3;INTS3;XRCC3;NFATC2;GTF2H1;USP28;GTF2H4;FANCG;MAPK12;BATF;HINFP;RAD52;BCL6;ERCC3;TDP1;RFWD3;BAX;ATM;RAD1;NRDE2;RAD9A
GO_Biological_Process_2021	transcription, DNA-templated (GO:0006351)	55/221	1.163850e-05	2.345323e-02	0	0	2.049955e+00	2.328993e+01	GMEB2;ELL;CCNT1;CCNH;SCX;TTF2;TTF1;PWP1;NAT14;RO60;SNAPC2;PKNOX1;ABT1;GTF2F2;THAP1;ETV7;RRAGC;NFX1;MED20;POLR1C;GTF3C2;GTF3C3;CBFB;RNMT;WDR61;CREBL2;RPAP1;FOXO3;POLR2C;POLR2D;LEO1;POLR2G;POLR2I;RREB1;POLR2K;ZNF141;TAF12;GTF2H1;SSRP1;GTF2H4;DRAP1;XAB2;CDK7;POLR3A;ERCC3;COPS2;ERCC2;TCEA2;NFE2L3;PAF1;POLR3H;ERCC6;TAF4;POLR3K;RBMX
GO_Biological_Process_2021	DNA repair (GO:0006281)	69/298	1.390782e-05	2.345323e-02	0	0	1.866846e+00	2.087705e+01	MDC1;MRE11;TRRAP;MPG;NUCKS1;POLB;ALKBH5;ENDOV;HPF1;HERC2;EME2;POLI;TOPBP1;MEN1;PIAS4;SLC30A9;LIG1;DTX3L;KMT5C;NSMCE3;CSNK1E;COMMD1;BAZ1B;INIP;REXO4;RAD51D;NEIL2;RAD51C;NSMCE4A;FANCD2;UBE2V2;UBE2V1;FAN1;PRKDC;PNKP;ZBTB1;IGHMBP2;FAAP20;VCPIP1;MAPK8;RECQL5;SLX4;POLD1;NSD2;ATRIP;PMS1;CDKN2D;FANCI;KDM4B;INTS3;EYA3;XRCC3;RPA2;GTF2H1;MLH1;GTF2H4;MLH3;FANCG;HINFP;RAD52;SMUG1;ERCC3;TDP1;RFWD3;ERCC2;ATM;RAD1;ERCC6;RAD9A
GO_Biological_Process_2021	RNA metabolic process (GO:0016070)	37/133	2.360472e-05	2.985407e-02	0	0	2.378870e+00	2.534463e+01	RNASEH2B;TP53RK;DDX24;CELF2;PARN;ADARB1;EXOSC7;ATXN2;PCBP3;POLR2C;DHX36;POLR2D;PPP1R8;DROSHA;POLR2G;POLR2I;POLR2K;RBFOX2;PNPT1;RBPMS;METTL3;RNASE6;THOC1;DDX54;GTF2F2;MRPL44;PRPF4;SNRNP40;AGO3;DKC1;XRN2;AGO2;MPHOSPH10;RBMS1;HNRNPH2;RBMX;RBMS2
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	62/269	4.278502e-05	3.373608e-02	0	0	1.853404e+00	1.864399e+01	RIPOR1;BMPR2;FAM89B;CSF1;TRADD;CRKL;CDH5;ZNF609;GLIPR2;CAPN7;PLAU;C1QBP;ITGAX;SOX9;PDGFRB;PDGFRA;SPHK1;TNFRSF18;F2R;GAB1;PRKCA;FGR;ADAM17;MYADM;PECAM1;ADAM9;PLAA;MAPRE1;CBLL1;DOCK1;DDR2;GRB7;CSF1R;SEMA7A;SEMA3G;AIF1;EGFR;MIEN1;DDRGK1;PODXL;ZNF703;NCKAP1L;ZNF304;RREB1;ZNF268;CLASP1;CLASP2;SEMA4A;CARMIL2;DMTN;CAV1;RDX;SEMA4C;ELP3;ELP6;MTOR;FERMT1;SH3RF2;CXCL12;AGO2;TRIP6;ATM
GO_Biological_Process_2021	regulation of cellular catabolic process (GO:0031329)	22/65	4.343104e-05	3.373608e-02	0	0	3.150599e+00	3.164568e+01	LRRK2;USP33;ITPR1;TYSND1;SOGA1;WDR24;DEPP1;GPR137B;RMC1;RPTOR;RRAGA;DRAM1;RRAGC;LAMP3;WDR91;GPR137;PIP4K2A;ABL2;PIP4K2B;ATM;PIP4K2C;BOK
GO_Biological_Process_2021	transcription by RNA polymerase II (GO:0006366)	71/320	4.667970e-05	3.373608e-02	0	0	1.765870e+00	1.760962e+01	RARG;GMEB2;MAML2;ELL;CCNT1;CCNH;ICE2;ZC3H8;PHAX;RORA;TTF2;MED18;LSM10;SNAPC5;SNAPC2;PKNOX1;TEAD1;ABT1;MED1;GTF2F2;NRBP1;MED7;ETV7;NFX1;MED20;NOTCH2;SLBP;HDAC5;CBFB;RNMT;NOTCH4;ZBTB1;WDR61;RPAP1;NR2C1;HDAC7;POLR2C;POLR2D;LEO1;E2F2;POLR2G;NRBF2;RPRD1A;POLR2I;RREB1;POLR2K;WWTR1;ZNF141;TAF12;INTS3;NR1H2;NR1D2;GTF2H1;NR1D1;RPRD2;SSRP1;POU2F2;GTF2H4;DRAP1;CDK7;TFCP2;ERCC3;COPS2;ERCC2;NFE2L3;INTS4;PAF1;CDK12;ERCC6;TAF4;RBMX
GO_Biological_Process_2021	positive regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043378)	5/5	5.428893e-05	3.433096e-02	0	0	8.596500e+04	8.442786e+05	CBFB;NCKAP1L;LILRB4;RUNX3;RUNX1
GO_Biological_Process_2021	mRNA modification (GO:0016556)	11/22	6.435548e-05	3.617493e-02	0	0	6.145207e+00	5.930794e+01	TRUB2;DKC1;NSUN2;PUS1;RPUSD2;METTL3;METTL16;METTL8;VIRMA;CBLL1;TRMT61A
GO_Biological_Process_2021	transcription-coupled nucleotide-excision repair (GO:0006283)	23/73	1.039788e-04	4.887692e-02	0	0	2.832536e+00	2.597810e+01	LIG1;CCNH;GPS1;COPS7B;RPA2;GTF2H1;GTF2H4;COPS4;XAB2;CDK7;ERCC3;POLD1;POLR2C;COPS2;UVSSA;POLR2D;ERCC2;PPIE;POLR2G;ERCC6;POLR2I;COPS8;POLR2K
