,names,scores,logfoldchanges,pvals,pvals_adj
0,PIK3CB,-2.4094458,-1.2371328,0.01932519383929715,0.04988221613358068
1,STK25,-2.4108245,-1.2114971,0.019247554590202127,0.049744022584035985
2,ITGB8,-2.4121888,-1.8338523,0.019304238449223347,0.04986973038844729
3,GTF2E2,-2.4132674,-2.1838868,0.019372626706939608,0.049949089192725955
4,DGLUCY,-2.4132674,-2.1838868,0.019372626706939608,0.049949089192725955
5,CDKN2AIP,-2.4132674,-2.1838868,0.019372626706939608,0.049949089192725955
6,WASHC4,-2.4132674,-2.1838868,0.019372626706939608,0.049949089192725955
7,SH3RF1,-2.4140613,-1.7293499,0.0192502186082587,0.049744022584035985
8,EMC2,-2.4141977,-2.1393266,0.019316112608360442,0.04987264457045942
9,BORCS6,-2.4141977,-2.1393266,0.019316112608360442,0.04987264457045942
10,CCND3,-2.414394,-1.8957115,0.01922644648776526,0.04971027194970394
11,MAZ,-2.4151022,-1.9328914,0.019213159357924104,0.04968975903044066
12,Z93241.1,-2.4151022,-1.9328914,0.019213159357924104,0.04968975903044066
13,TTC39B,-2.4193325,-1.6140009,0.01896738847558513,0.04912257249731617
14,NUDCD3,-2.4197574,-2.0930698,0.019087522582430582,0.04940613067766889
15,CHD4,-2.419937,-1.46927,0.018938938235068654,0.04907627713509415
16,LAMA5,-2.4203188,-2.9547112,0.019127317622359766,0.04949533375264659
17,KIDINS220,-2.4219742,-1.6140009,0.01885920465669141,0.0488833112603769
18,EIF3E,-2.4228861,-1.6564153,0.01881088513679565,0.04878531317120347
19,RCN2,-2.423386,-1.6092434,0.01876746958830878,0.048699930869075224
20,ABCF3,-2.42362,-1.587432,0.018767142865012004,0.048699930869075224
21,GBF1,-2.4240055,-1.3771005,0.01868078530355935,0.048583650654984
22,PEX2,-2.4245398,-1.8106103,0.01878300381319202,0.04872661861208729
23,NAA16,-2.4245954,-3.1579156,0.018946874808755093,0.04908314037813697
24,FIS1,-2.4247334,-1.2683798,0.018707789623450058,0.04861301883674788
25,IGSF3,-2.4250672,-2.3160956,0.01884275976518799,0.048854328530858915
26,AP3S2,-2.4250996,-1.9432163,0.01876534739798955,0.048699930869075224
27,INPP5A,-2.425152,-1.749594,0.018705145390899684,0.04861301883674788
28,C16orf58,-2.425159,-1.6360787,0.01867619708146266,0.048583650654984
29,BTBD10,-2.425363,-4.757509,0.018986714023998208,0.049158906435356024
30,ELL,-2.4262917,-1.9630927,0.01872897969187846,0.04865446109712171
31,TOR2A,-2.4266937,-2.2328713,0.018763406149046317,0.048699930869075224
32,PBX1,-2.427939,-2.0440638,0.018707043848350865,0.04861301883674788
33,AP1G2,-2.4282558,-1.0911301,0.0183354574582877,0.047846420052804726
34,MLLT3,-2.428958,-1.8604609,0.018512712724059202,0.048187044168456955
35,CD47,-2.4291344,-1.4705528,0.018465358283935543,0.04810425360412285
36,NDUFA7,-2.4304857,-2.173512,0.018548497937911756,0.04826665485273252
37,TOLLIP,-2.4312768,-1.6433336,0.018395029752829948,0.047974899175545815
38,WDR55,-2.4319541,-1.7750145,0.01841554974574533,0.04801492492696858
39,MBD6,-2.4325452,-1.1090822,0.018193392984425013,0.04766746722964593
40,PPFIA1,-2.4326167,-2.0419366,0.018457032739124156,0.04809606341508995
41,CTDSPL2,-2.4326167,-2.0419366,0.018457032739124156,0.04809606341508995
42,EGFL8,-2.4327967,-2.2381666,0.018490818980159408,0.048157065593108755
43,EIF4G1,-2.4340813,-1.454762,0.018262903983562055,0.047772496624287085
44,TMEM203,-2.4342933,-2.0352952,0.018321822345943095,0.047846420052804726
45,SULT1A3,-2.4347968,-1.9816784,0.0183542072799458,0.04788188644532235
46,PLVAP,-2.4356258,-3.8050096,0.018499205773865095,0.048165393546427994
47,SMPD2,-2.4361138,-2.1116784,0.018245202065232283,0.04774512702832987
48,CEBPD,-2.4363651,-1.4116323,0.018108002674899377,0.04758733885289242
49,ADGRG7,-2.4365757,-1.3816917,0.018151301676408924,0.047639404317011455
50,HMCES,-2.4366453,-2.5627854,0.0183341869456831,0.047846420052804726
51,HDHD2,-2.4366453,-2.5627854,0.0183341869456831,0.047846420052804726
52,TRIO,-2.4366453,-2.5627854,0.0183341869456831,0.047846420052804726
53,FAF2,-2.4366453,-2.5627854,0.0183341869456831,0.047846420052804726
54,NOL12,-2.4366453,-2.5627854,0.0183341869456831,0.047846420052804726
55,CUL4B,-2.4366453,-2.5627854,0.0183341869456831,0.047846420052804726
56,MRPL52,-2.4372256,-1.5304513,0.018153476952086783,0.047639404317011455
57,PSPC1,-2.4375746,-2.3246567,0.01826595459163918,0.047772496624287085
58,PSMD2,-2.4377053,-1.6044259,0.018117805187365263,0.04759773851376109
59,SLC17A4,-2.438358,-1.0987898,0.017912819267702555,0.04716788324618869
60,MSRB2,-2.438608,-1.7127777,0.018125319889924066,0.04759773851376109
61,PCIF1,-2.438683,-2.4550118,0.01821038987247624,0.04766746722964593
62,COA6,-2.438683,-2.4550118,0.01821038987247624,0.04766746722964593
63,CEP57,-2.438683,-2.4550118,0.01821038987247624,0.04766746722964593
64,NIPAL3,-2.438683,-2.4550118,0.01821038987247624,0.04766746722964593
65,C15orf61,-2.438683,-2.4550118,0.01821038987247624,0.04766746722964593
66,CKS1B,-2.4390364,-2.230774,0.01819513464785004,0.04766746722964593
67,SPECC1,-2.4390364,-2.230774,0.01819513464785004,0.04766746722964593
68,SMARCD1,-2.4391623,-2.0432904,0.018176786713938384,0.04766746722964593
69,SCPEP1,-2.439265,-1.5120848,0.01803812025005123,0.04745743541977764
70,ACCS,-2.4401913,-1.4370607,0.0179556538301483,0.047253864148408424
71,KDM2A,-2.4418354,-1.5691674,0.017928271311447492,0.04719518273194998
72,MRPS18A,-2.4423518,-3.2466242,0.01812734385328005,0.04759773851376109
73,YIF1B,-2.4429004,-3.0361803,0.018087208498307725,0.04754615386046228
74,PDK1,-2.4429004,-3.0361803,0.018087208498307725,0.04754615386046228
75,ATPAF2,-2.4429004,-3.0361803,0.018087208498307725,0.04754615386046228
76,WDR82,-2.445017,-1.9326943,0.017861474154105255,0.04705938208867584
77,SGPL1,-2.4453437,-1.5172178,0.017738858791229276,0.046815531747930114
78,NAPA,-2.4454644,-1.6274146,0.01781747000087984,0.046970109783631545
79,RNF114,-2.445572,-1.6325234,0.017773226597317237,0.04688010493785127
80,TMEM25,-2.4463372,-1.499756,0.017743701862660863,0.046815531747930114
81,TAPBPL,-2.4467318,-1.4253181,0.017667260093410544,0.0466801902041095
82,NIPAL2,-2.4467604,-2.2085013,0.01780883892870998,0.04696069401599035
83,HNRNPH3,-2.4472175,-1.1490723,0.017537796484877466,0.046404169604513296
84,AC009120.2,-2.4472373,-2.6638532,0.01785864176078157,0.04705938208867584
85,IER3IP1,-2.4475284,-1.7421331,0.017714722514522392,0.04676565824226304
86,TOR1A,-2.4489477,-2.1262445,0.017701948533278743,0.04674728706940024
87,PLLP,-2.4503975,-1.7663217,0.017620777779153062,0.04657063193226046
88,GPR108,-2.450577,-1.4090966,0.017547782466719813,0.046417360175575184
89,TSNAX,-2.4513187,-2.6638532,0.017702727219235277,0.04674728706940024
90,EXOC5,-2.4535944,-2.1475108,0.017462099202730463,0.04623023525377757
91,COA8,-2.4536004,-2.6140964,0.0175730662971706,0.046457761711859155
92,MET,-2.4536004,-2.6140964,0.0175730662971706,0.046457761711859155
93,CARHSP1,-2.4539535,-1.7909089,0.017403060297003,0.04612655787458077
94,TEX261,-2.454332,-2.2649593,0.017512066957499337,0.046349302965357525
95,FCHO2,-2.4547284,-1.9946975,0.017424695494645575,0.046157540976398466
96,SAMM50,-2.4547284,-1.9946975,0.017424695494645575,0.046157540976398466
97,TMEM208,-2.4551725,-1.8654925,0.01740028017400392,0.04612655787458077
98,H2AFZ,-2.4557316,-1.7322514,0.017402924711363614,0.04612655787458077
99,DDX24,-2.4559538,-1.7524056,0.017334810347248493,0.04599439610456363
100,ZNF598,-2.4566917,-2.3636322,0.01744481681614397,0.04619765754278127
101,CYB5R3,-2.4567213,-1.8666397,0.01733833139084983,0.04599439610456363
102,HGS,-2.4572613,-1.3555875,0.01721931161131137,0.0457702320664926
103,ELL3,-2.457329,-1.7909089,0.017275640420155815,0.045880542025718535
104,MSRB1,-2.4577715,-1.8987825,0.01725072143006806,0.04582747461759924
105,APEH,-2.457841,-1.4753863,0.017168688792028708,0.045665798469093556
106,IVD,-2.4582934,-2.2230675,0.01733030368875422,0.04599439610456363
107,STK35,-2.4582934,-2.2230675,0.01733030368875417,0.04599439610456363
108,RBM25,-2.4588318,-1.0890455,0.017023149530455584,0.04539180521163135
109,SYNCRIP,-2.459015,-1.649257,0.01718290772041285,0.04568655097704729
110,TMEM205,-2.4595714,-1.5059851,0.01709062326657845,0.045519416114886996
111,NUB1,-2.4595776,-1.1681007,0.017037103504663476,0.045415966321162085
112,BAD,-2.459643,-1.5718015,0.017058457185459952,0.04545983336073479
113,KIAA0319L,-2.4604092,-1.5589149,0.017128938802924123,0.04559529967557835
114,ERH,-2.4607346,-1.9594972,0.01717018279003841,0.045665798469093556
115,ZNF827,-2.4612072,-2.0054572,0.017145693936886777,0.045626815115304774
116,SMNDC1,-2.4623334,-3.124889,0.017227182076455527,0.04577804295266539
117,AKNA,-2.4635267,-2.087583,0.01712209577284768,0.0455901586240884
118,NECAP2,-2.464794,-2.0054572,0.017012764863283816,0.04538089085123428
119,ATP6V0D1,-2.465448,-1.1345334,0.01680975458783776,0.044977844359847245
120,PPARD,-2.4664557,-2.162434,0.0169391262739795,0.045219721045463825
121,EIF3J,-2.4664557,-2.162434,0.0169391262739795,0.045219721045463825
122,POLG,-2.4670093,-1.7243108,0.016808745602409247,0.044977844359847245
123,THAP4,-2.4671483,-2.715164,0.017014167222828624,0.04538089085123428
124,DPY19L4,-2.4671483,-2.715164,0.017014167222828624,0.04538089085123428
125,PQBP1,-2.4677744,-1.5739068,0.016807591127373414,0.044977844359847245
126,CA11,-2.4679134,-4.617362,0.01708564236426658,0.045519211373456485
127,NEURL1,-2.469352,-1.318228,0.01658714058721042,0.04454914320905298
128,PMF1,-2.469617,-2.2999487,0.016852510234525497,0.045035499089039
129,SLC66A2,-2.469617,-2.2999487,0.016852510234525497,0.045035499089039
130,RNF138,-2.469886,-1.9101005,0.016761855061363077,0.044901454164378664
131,TIPRL,-2.469886,-1.9101005,0.016761855061363077,0.044901454164378664
132,CPSF7,-2.470219,-1.2880319,0.016625199866513417,0.04461152054048328
133,C1QC,-2.4705408,-2.66726,0.016840966790487178,0.04503539433860616
134,AGPS,-2.4706206,-2.4105163,0.016855561714643554,0.045035499089039
135,LMBR1L,-2.4710689,-1.3405693,0.016577766415857134,0.04454351252208687
136,ACAT1,-2.4715037,-2.5501838,0.0168343712867214,0.04503073034102249
137,GNLY,-2.4719527,-3.1101797,0.016860607101477364,0.04503601586069436
138,SLC35A5,-2.4723618,-1.9867874,0.016650647278307975,0.04464220336142537
139,ZMYND11,-2.4745767,-2.259257,0.016634396960850315,0.04461152054048328
140,MRPL13,-2.4745767,-2.259257,0.016634396960850277,0.04461152054048328
141,ITGAE,-2.4748943,-2.0162942,0.01660878106077551,0.04458949453522751
142,CCRL2,-2.4755402,-2.9147809,0.016689677370008885,0.04473392588750288
143,LTA4H,-2.475884,-1.7869613,0.01646050007845056,0.0442730691765222
144,MED24,-2.4760046,-2.0320656,0.01651798449396682,0.04440194963017666
145,HLA-DPB1,-2.4766805,-1.0146776,0.01615904069326172,0.04363928301275975
146,C1QB,-2.4769478,-2.013878,0.016580245180328607,0.04454351252208687
147,RAPGEF2,-2.477452,-2.9007204,0.016611772473908288,0.04458949453522751
148,PBDC1,-2.478644,-2.415656,0.016503016680216632,0.04437456570850833
149,MED13L,-2.4796076,-1.7203265,0.01635649955569941,0.044025746193058865
150,RBM8A,-2.4801736,-2.3145149,0.016435371339137556,0.044218294715905736
151,TMEM214,-2.4812346,-1.5579224,0.016230796003411676,0.04378211232306515
152,CENPB,-2.481441,-1.8207138,0.016277348223773892,0.04385670427084739
153,PRAG1,-2.481714,-1.3413314,0.01610439107173807,0.043529001582261716
154,DPH7,-2.482828,-2.6895928,0.016359060398605907,0.044025746193058865
155,HTRA2,-2.482828,-2.6895928,0.016359060398605907,0.044025746193058865
156,ACOX2,-2.4832003,-2.1433194,0.016305735222763955,0.04392043944796722
157,NCOR1,-2.4834962,-1.1784437,0.016108825730992135,0.043529001582261716
158,APRT,-2.4839466,-2.1995275,0.01620654463470817,0.04374211901697041
159,CCDC186,-2.4841256,-1.8490599,0.016246424012478118,0.04379881140976529
160,RARA,-2.4841974,-1.7304517,0.0161508781062346,0.043629933231102896
161,SUCLA2,-2.4843054,-2.449755,0.016276397736601497,0.04385670427084739
162,FAHD2A,-2.4843996,-1.4744967,0.015995843917922824,0.043362565200397094
163,SMARCA5,-2.4846373,-2.1043925,0.01624634574107399,0.04379881140976529
164,ZMPSTE24,-2.484891,-2.335781,0.016215750772177854,0.04375424379864966
165,DNAJC21,-2.4859388,-2.3516338,0.016205889777287992,0.04374211901697041
166,CLCN7,-2.4864426,-1.2433153,0.01594612106327652,0.04326568129474793
167,SEPTIN8,-2.4866729,-1.9381088,0.01606451810020576,0.043495651559716346
168,AMDHD2,-2.488787,-1.4740803,0.015913094179439962,0.043213967283078324
169,ALAS1,-2.4888377,-1.6832798,0.015951917554776176,0.04326876059130113
170,EHD4,-2.4893134,-2.5818193,0.01606836772228694,0.043495651559716346
171,KLHDC10,-2.4893134,-2.5818193,0.01606836772228694,0.043495651559716346
172,DNAJC19,-2.4893134,-2.5818193,0.01606836772228694,0.043495651559716346
173,TP53TG1,-2.4893358,-2.3507047,0.01602416686931661,0.04342666186306475
174,ATL3,-2.4908469,-2.2963505,0.015964174609910398,0.043289356917671135
