,names,scores,logfoldchanges,pvals,pvals_adj
0,FAM120A,-2.3023837,-1.1912347,0.024653818246420125,0.04973630536041547
1,UBTD2,-2.3024507,-2.0179393,0.024744467865817948,0.049886653069183794
2,PREP,-2.3024507,-2.0179393,0.024744467865817948,0.049886653069183794
3,AC004889.1,-2.3025458,-3.402175,0.024800055970115625,0.04998786525833077
4,RRNAD1,-2.3028297,-1.896365,0.02468741846607133,0.049793267753601496
5,DQX1,-2.303701,-1.3474878,0.02454519827860591,0.049538710681021975
6,PTPN18,-2.3041427,-1.2185133,0.0245672291835362,0.04957239593077891
7,ABCF3,-2.3059413,-1.4760866,0.02447008587801066,0.04940860063513051
8,MAST4,-2.3070502,-2.7687604,0.02450087521198923,0.049460009507978256
9,CCSER2,-2.3071768,-1.9701483,0.02444426990525427,0.04936721350317017
10,PRPF38A,-2.307205,-1.5459161,0.024371885658058708,0.04926390302223452
11,VKORC1L1,-2.3078218,-2.1863465,0.024419293409974487,0.04932750411999634
12,CLN5,-2.308214,-2.2842894,0.024400426321348513,0.04931085502171933
13,DNAJB12,-2.3082147,-2.0876749,0.024412836828648324,0.049325196221922885
14,ZNF33A,-2.309202,-1.6164755,0.024286612049346627,0.049123628904344165
15,ERGIC2,-2.3093584,-2.2842894,0.024339576937971043,0.04920931238036315
16,MRPL15,-2.3093584,-2.2842894,0.024339576937971043,0.04920931238036315
17,SNX17,-2.3102522,-1.4566576,0.02420317317026913,0.04899756889126239
18,MUL1,-2.3106666,-2.6281161,0.024281488279679825,0.049123628904344165
19,USE1,-2.3106666,-2.6281161,0.024281488279679825,0.049123628904344165
20,AMZ2,-2.3108442,-1.9121937,0.024201892666830482,0.04899756889126239
21,FUT8,-2.3117418,-2.6324723,0.024233579011684776,0.0490484257275312
22,MRPL32,-2.3120363,-2.1991649,0.02415998011138503,0.04893147182934232
23,PPP1R13B,-2.3124626,-1.8154321,0.02412921098510492,0.04889049036536648
24,ALDH1B1,-2.3135705,-3.4705136,0.02414282577479844,0.048907400445586884
25,TELO2,-2.3138735,-1.4615943,0.023984088978550602,0.04863891498774452
26,SENP7,-2.3142967,-2.2931108,0.02405604088413735,0.04875287587042858
27,MAPK1IP1L,-2.3148887,-1.7248466,0.024002049183044872,0.04866470522433868
28,LUC7L2,-2.3151278,-1.5433809,0.02395413145778906,0.048588778013810764
29,PCNX4,-2.315219,-2.8609757,0.024039511303826196,0.048730016143724554
30,DDX42,-2.3155143,-1.2029015,0.023858422769293928,0.048415802392782294
31,VPS37C,-2.315817,-2.0270643,0.023938506024007038,0.048567696811985424
32,GADD45G,-2.3170285,-1.7138004,0.023823806606649487,0.048377285697423
33,UBE3C,-2.3170285,-1.7138004,0.023823806606649487,0.048377285697423
34,FMR1,-2.3170989,-1.3573444,0.02377230737527285,0.04829384045902442
35,DDX11,-2.317543,-2.208117,0.023846442421855032,0.04840207272242694
36,SPG21,-2.317543,-2.208117,0.023846442421855032,0.04840207272242694
37,IRF7,-2.3180943,-1.1663007,0.02370456963947849,0.048187870213236825
38,SF3B5,-2.3184555,-1.3234233,0.02371540149719078,0.04819933363190822
39,CCNG2,-2.3196414,-1.3644052,0.02365210156312281,0.048131117700559556
40,SRSF4,-2.3197224,-1.401058,0.02367963895638556,0.04814773467539338
41,RTL8C,-2.3200846,-1.9281927,0.023661095676325496,0.048131117700559556
42,ZFYVE19,-2.320106,-1.5836703,0.023660102485454047,0.048131117700559556
43,PPA2,-2.3202214,-2.4727447,0.023730394838947087,0.04821924800680974
44,PIGG,-2.3207848,-1.7189301,0.023606481019436274,0.04805507597989913
45,C12orf65,-2.3209655,-2.6619964,0.023678242515826092,0.04814773467539338
46,VCL,-2.3210933,-1.7709508,0.023608182123285932,0.04805507597989913
47,HINFP,-2.3213224,-1.9281927,0.023596984245836672,0.04805507597989913
48,ZCCHC8,-2.32234,-2.363019,0.023598069395892964,0.04805507597989913
49,TRMU,-2.3237872,-2.0388753,0.02348702785414572,0.047850437344640166
50,PHB,-2.3237872,-2.0388753,0.02348702785414572,0.047850437344640166
51,ESRP1,-2.3237898,-1.823074,0.023480208890031957,0.047850437344640166
52,WAPL,-2.3243105,-2.0015023,0.023441927487707584,0.04780052085696437
53,SLAIN2,-2.3243105,-2.0015023,0.023441927487707584,0.04780052085696437
54,IFIT1,-2.3244839,-2.3867214,0.023479083392098615,0.047850437344640166
55,CIAO1,-2.3254988,-1.4929707,0.023356705787359124,0.04765145290765798
56,ATG16L2,-2.32566,-1.6529963,0.023341830511048836,0.04764795035053233
57,QDPR,-2.3269062,-2.8318522,0.023358555346891165,0.04765145290765798
58,QARS,-2.3269749,-1.1799159,0.023246094828125567,0.047491581196317106
