,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,6.491269,0.7257576,2.0900872180976672e-10,1.9400189558382546e-06
1,IGHA1,6.1462164,1.3670871,1.6882334870497657e-09,7.835091613397963e-06
2,IGKC,5.251868,0.74729127,2.2060704049077367e-07,0.0006825581832784537
3,HLA-C,4.5428047,0.77698815,6.911229681107073e-06,0.01603750847500896
4,REG1A,4.4467845,1.2374668,1.1020380562316512e-05,0.018631335978269253
5,APOA4,4.422406,1.1772119,1.2043526812068037e-05,0.018631335978269253
6,CTSB,4.3606486,1.0489315,1.5742124600645288e-05,0.02087405722045565
7,TMBIM6,4.249955,0.89352024,2.5345845825192626e-05,0.029407517618679747
8,PSMB9,4.2054286,1.3000557,3.093614595069588e-05,0.03031889022756856
9,MUC13,4.179439,0.77682865,3.431125270880945e-05,0.03031889022756856
10,MIF,4.169147,1.2327968,3.5930596046461336e-05,0.03031889022756856
11,SGTA,4.058367,1.7386487,5.8228056987807165e-05,0.04060929144225287
12,HLA-A,4.0025277,0.6849982,7.178573505358455e-05,0.04060929144225287
13,CD68,3.9843915,1.4249792,7.844925477686671e-05,0.04060929144225287
14,COX17,3.9818318,2.0272887,8.031731444029406e-05,0.04060929144225287
15,SERPINA1,3.9666066,0.7473392,8.316545782449626e-05,0.04060929144225287
16,ACTG1,3.9659286,0.6929505,8.339406196269002e-05,0.04060929144225287
17,MT-CO2,3.950513,0.5802212,8.875663139943523e-05,0.04060929144225287
18,PLAAT4,3.9403977,1.0330873,9.311676867990585e-05,0.04060929144225287
19,FGL2,3.936617,1.5169917,9.625128331497125e-05,0.04060929144225287
20,ANPEP,3.9359872,0.71581185,9.417721601862565e-05,0.04060929144225287
21,MDK,3.9330802,0.9749784,9.551570572887868e-05,0.04060929144225287
22,SLC2A8,3.9151654,4.071405,0.00011056401667376573,0.044619791424604066
23,HLA-E,3.885127,0.6988556,0.00011549088509624996,0.04466609981097468
24,MT-CO1,3.8747973,0.6252006,0.00012035099216379666,0.04468391637057442
25,AP3D1,3.8562865,1.3477561,0.00013090873188171775,0.04673441728177324
