,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,16.161575,2.715894,9.179377244617528e-53,8.52029795845399e-49
1,IGHA1,15.882354,2.2375848,1.2693167687509915e-51,5.890899123773352e-48
2,AL627171.2,15.807272,1.3378575,2.7847351112909225e-51,8.615970434334114e-48
3,IGKC,15.64385,1.7045146,2.347928345171094e-50,5.448367724969523e-47
4,IGHG3,12.559387,2.0972083,5.441409654748013e-34,1.010143288307421e-30
5,JCHAIN,12.391082,1.8912469,3.0266327246531883e-33,4.6822008250384826e-30
6,IGHG4,11.9901495,1.5115933,2.260669710892148e-31,2.997648036642988e-28
7,IGHM,11.3636265,1.8800597,1.7941375553898613e-28,2.0816480986410867e-25
8,MUC1,10.816577,2.939245,7.206014759019893e-26,7.431803221469182e-23
9,LCN2,10.076818,3.7059507,1.115219197980745e-22,8.626220496381062e-20
10,PLA2G2A,10.047388,1.7113409,7.312227542549206e-23,6.170190549994704e-20
11,CTSB,9.672922,1.4907687,2.2996052127558996e-21,1.6419181219077124e-18
12,PSAP,9.560432,1.4490196,6.345853978764017e-21,4.207301187920543e-18
13,S100A6,9.393084,1.3328799,2.845028918992874e-20,1.650472401630741e-17
14,DMBT1,9.153219,1.675814,2.3575684379596676e-19,1.2872323671259785e-16
15,C1QA,9.045475,1.4726268,5.841933390620288e-19,2.8539381964072374e-16
16,IGHG2,8.973491,3.4293008,1.6027396314015037e-18,6.811494924497288e-16
17,TMSB10,8.948548,1.0737624,1.4257196414796892e-18,6.616764856107237e-16
18,IGLC2,8.927377,1.6961222,1.6144461144035803e-18,6.811494924497288e-16
19,PDZK1IP1,8.912597,3.2417395,2.5873836117897953e-18,1.0006706118597033e-15
20,CXCL14,8.8965,1.5895137,2.070962622237182e-18,8.357684808524142e-16
21,IGLC3,8.735968,2.8018124,1.052907636165903e-17,3.619662473663671e-15
22,LINC02739,8.7103405,1.1270738,9.940893895944525e-18,3.5488991208521953e-15
23,IGLC1,8.347426,1.3490902,1.8943613712270603e-16,6.279807945617705e-14
24,ACP5,8.074967,2.8449032,1.9776852090955777e-15,6.118958036941718e-13
25,CD59,7.625476,2.2100515,5.162912701095273e-14,1.4975673653614477e-11
26,HLA-DQB1,7.5657706,1.6248778,7.633690288421588e-14,2.1471488865796723e-11
27,SPINK4,7.385294,1.2625568,2.8325198214497324e-13,7.732779112557769e-11
28,IFI30,7.3337746,1.8222733,4.249838438882212e-13,1.1270571539915627e-10
29,C1QB,7.3069606,1.9700639,5.059088482658e-13,1.3044016471119878e-10
30,SSR4,7.230719,1.6257284,8.567225735211212e-13,2.1492159263305534e-10
31,APOL1,7.1937337,2.228195,1.1670041400675607e-12,2.7774698533607946e-10
32,S100A11,7.134322,2.1554048,1.763691920325824e-12,4.0926471011160743e-10
33,CXCL9,7.040912,2.4380367,3.4550640043498964e-12,7.821927826433107e-10
34,TAP1,7.0084414,1.1880629,4.0115449338236924e-12,8.865514303750359e-10
35,TXNDC5,7.0040317,1.9741466,4.193561745340195e-12,9.052241888429696e-10
36,WARS,6.986976,1.4956722,4.663134904142598e-12,9.837095040966272e-10
37,CD55,6.839349,2.3125627,1.344624275065978e-11,2.7080939116767407e-09
38,CCDC88B,6.8270397,1.4436245,1.3712606534023574e-11,2.7080939116767407e-09
39,FGL2,6.7292333,1.6713879,2.6699314125968257e-11,5.0576129330048435e-09
40,TNFRSF6B,6.7086062,2.4401212,3.164714909401615e-11,5.874976757813158e-09
41,RARRES1,6.671964,2.3128183,4.0269489578675054e-11,7.3290471033188595e-09
42,ANXA2,6.5730944,1.1611123,7.33441042023891e-11,1.2607036577899549e-08
43,S100A16,6.552567,1.5656834,8.383471012109441e-11,1.3895603202571399e-08
44,SH3BGRL3,6.4377804,1.2667841,1.7481596341905422e-10,2.7976582283718297e-08
45,MFGE8,6.4087973,2.5051115,2.2059233985763942e-10,3.412563497597682e-08
46,IDO1,6.269545,2.661456,5.34481075458101e-10,8.001698939358216e-08
47,JAK3,6.1880116,1.457754,8.337704998218153e-10,1.2284218697374746e-07
48,F11R,6.141084,1.6326201,1.1149888147506465e-09,1.617082215393047e-07
49,RARRES2,6.0832224,1.7841022,1.5908495886809695e-09,2.2717332126364244e-07
50,UBD,6.0661526,2.1482277,1.783522443052279e-09,2.5082811085471596e-07
51,C1S,6.053191,1.6450014,1.895487211341988e-09,2.625957059056169e-07
52,SPINK1,5.9474773,1.1865324,3.5698388686083756e-09,4.802209330206224e-07
53,IFITM3,5.9201446,1.5786295,4.203311425648445e-09,5.573590950409838e-07
54,ISG20,5.8814573,1.7406139,5.2643657732889814e-09,6.882231423615258e-07
55,PLAC8,5.8746543,1.8360614,5.549497435076389e-09,7.154227110052645e-07
56,CYSTM1,5.8539505,1.5952175,6.190276394040665e-09,7.870978834176089e-07
57,TM4SF20,5.818652,1.328946,7.597207965122163e-09,9.529362747603232e-07
58,GSTP1,5.7982063,1.3406479,8.556114029537965e-09,1.0589046722956185e-06
59,MMP12,5.7880855,25.411242,1.0536558879144327e-08,1.2868465725818111e-06
60,SOD2,5.7592964,1.25963,1.0714039083235865e-08,1.2915287113064325e-06
61,TYROBP,5.7550015,3.22179,1.1751619199641888e-08,1.3984426847573847e-06
62,CD68,5.7105885,1.3766439,1.4175931501603373e-08,1.6244567431837345e-06
63,CFB,5.685977,1.0039798,1.6353661669568358e-08,1.8070796144873033e-06
64,GBP1,5.6800246,1.5412172,1.692350341438376e-08,1.8480465728507066e-06
65,CD24,5.6495056,1.2139772,2.0097143780716545e-08,2.169089402007104e-06
66,CXCL10,5.64529,4.9023647,2.293805548060536e-08,2.3922587749548197e-06
67,TIMP1,5.6292415,1.8229527,2.287445394533657e-08,2.3922587749548197e-06
68,PSMB9,5.6146703,1.1347177,2.4500081620407787e-08,2.5267750844513897e-06
69,NPIPB15,5.6069646,24.898983,2.9134704209892995e-08,2.9021012324537254e-06
70,GBP4,5.591516,1.6682024,2.8063464390181082e-08,2.8624733677984706e-06
71,CTSC,5.586467,1.8290702,2.8904551428248048e-08,2.9021012324537254e-06
72,APOL2,5.581936,1.2227993,2.9389949994683278e-08,2.9021012324537254e-06
73,MIF,5.5219,1.029778,4.1236468403051916e-08,3.987051038720082e-06
74,SERPING1,5.5058146,2.4472363,4.541111925889738e-08,4.301081724092708e-06
75,HM13,5.479847,1.4215809,5.187281644005464e-08,4.8634695171372434e-06
76,COL4A2,5.4771547,2.2901042,5.397876719424158e-08,5.010309170969504e-06
77,OST4,5.470504,1.295038,5.456466643506656e-08,5.01454686980483e-06
78,GPX2,5.4687314,1.1591606,5.5141587323468366e-08,5.017884446435621e-06
79,RNASEK,5.459247,1.2352185,5.804783324528017e-08,5.231067846433889e-06
80,AGR2,5.456034,1.0337943,5.916086719747307e-08,5.280107397374472e-06
81,ELOB,5.4509487,1.3021353,6.073004617966445e-08,5.368536082282337e-06
82,CCL25,5.412144,1.9182402,7.570881235573532e-08,6.567562582111544e-06
83,PGK1,5.4068723,1.1600374,7.750106539310078e-08,6.660786009062605e-06
84,STAT1,5.3965325,1.1718525,8.205514109714438e-08,6.928828981351897e-06
85,NCF1,5.3927836,1.2261208,8.349635325233734e-08,6.982100458452209e-06
86,TXN,5.3827505,1.2613219,8.815124708679452e-08,7.305534602318095e-06
87,ERO1A,5.353962,1.8637986,1.0342529549856535e-07,8.495518520510475e-06
88,PLAUR,5.3403273,3.3821256,1.1725823269899546e-07,9.464268834018052e-06
89,CD6,5.224001,1.8447822,2.0771573347135707e-07,1.6321521045389213e-05
90,CTSA,5.223965,1.0381583,2.080798525314168e-07,1.6321521045389213e-05
91,TIMP2,5.220019,1.5951815,2.1100867544136022e-07,1.6321521045389213e-05
92,GPRC5A,5.205234,1.7229519,2.2843393423046932e-07,1.7523337004357158e-05
93,IGFBP7,5.189422,1.519927,2.4737201951888914e-07,1.8820549878478108e-05
94,LAIR1,5.127282,4.3951535,3.6512276532399513e-07,2.711255606189858e-05
95,ASS1,5.0958915,1.0044391,4.0550808970454733e-07,2.987242927490165e-05
96,RHOG,5.089052,1.7992547,4.1917146605264864e-07,3.03964808429741e-05
97,RNF166,5.0883093,2.5604627,4.249261004102164e-07,3.057491522486534e-05
98,CDC25B,5.0637994,1.2905166,4.751383320521895e-07,3.392487690852633e-05
99,PKM,5.05901,1.0756618,4.875885717701428e-07,3.417805020799581e-05
100,MXRA5,5.035287,2.261222,5.572910648295801e-07,3.831685676850491e-05
101,ITGAX,5.0289617,2.8443744,5.838375898618349e-07,3.984691550807023e-05
102,QSOX1,4.9853926,1.2132694,7.088945178827245e-07,4.8028897189689405e-05
103,ANXA11,4.9700894,1.1308848,7.663396027894028e-07,5.154466806587853e-05
104,CSF1R,4.960455,3.560841,8.397656586817652e-07,5.4892287632986936e-05
105,GRINA,4.938028,1.3946286,9.003551160640395e-07,5.7635146119354585e-05
106,ATP6AP1,4.931922,1.2223152,9.283191780018284e-07,5.9018209658992956e-05
107,GBP5,4.90386,2.8018193,1.0946902644268145e-06,6.81940606336221e-05
108,NID1,4.8578625,2.3794231,1.3602111475554088e-06,8.287349362003069e-05
109,COX6B1,4.8291826,1.215753,1.548046559334361e-06,9.330498807624376e-05
110,MAN2B1,4.796891,1.7376394,1.8180799298501326e-06,0.00010813463545005487
111,SCAND1,4.788871,1.1097168,1.8903004299923104e-06,0.00011047783029814887
112,DERL3,4.7872696,1.7255073,1.9067551862201417e-06,0.00011061563524059596
113,PLAT,4.7758455,4.297944,2.111428956257406e-06,0.00012172846939118784
114,ATP6V0B,4.764409,1.0149635,2.128870954539756e-06,0.00012197642098788898
115,LOXL2,4.7504797,4.151421,2.375950406307211e-06,0.00013285284139363573
116,COL1A2,4.7433677,1.034268,2.356521679493604e-06,0.00013256505593369476
117,COL5A3,4.7424626,4.182093,2.472198624316717e-06,0.0001364775086242039
118,LPCAT1,4.734689,1.7497065,2.462143982408113e-06,0.0001364775086242039
119,SRGN,4.727828,1.5900816,2.541630359959694e-06,0.0001387730176537993
120,SLC6A8,4.7166667,1.1166642,2.67756020803319e-06,0.00014533984708166124
121,SLAMF7,4.7028294,2.015888,2.88790043572123e-06,0.0001558458828160724
122,NDUFA1,4.684572,1.3822972,3.1244507450474464e-06,0.0001666732862961517
123,SLC40A1,4.679783,1.357207,3.1970670422042187e-06,0.00016957243591851176
124,TM9SF2,4.6772,1.070714,3.2400490090829386e-06,0.00017087576649038545
125,COL7A1,4.6770825,2.5567327,3.2959675794374613e-06,0.00017187174759740738
126,SEC61G,4.669598,1.2142084,3.3566204807068074e-06,0.00017405671118391389
127,LBH,4.6648865,1.4368937,3.4360179268387153e-06,0.0001771839910939831
128,GCNT3,4.6596045,1.3049586,3.521070844818498e-06,0.00018056673801991876
129,SOD1,4.6293635,1.0288551,4.075888862320642e-06,0.00020561087184815325
130,HLA-DRB5,4.6292286,1.5226833,4.068839200146392e-06,0.00020561087184815325
131,MZB1,4.5681467,1.2446508,5.426285573269535e-06,0.0002679084185696161
132,FXYD5,4.548629,1.7702951,5.957922538701136e-06,0.0002901644981408339
133,F3,4.547801,1.2591447,5.970848862841981e-06,0.0002901644981408339
134,LAMA5,4.5430655,2.0689642,6.1354983924928445e-06,0.00029661300041207596
135,MZT2A,4.525446,2.1484356,6.669207152690435e-06,0.0003174542604680647
136,ENG,4.5244017,2.3461215,6.738142246136726e-06,0.0003190991649420464
137,C1QC,4.5169773,1.9492977,6.904115456079687e-06,0.0003252994906768104
138,VWF,4.516457,2.874204,7.085286474368803e-06,0.0003321496416923799
139,F2R,4.512901,2.623994,7.122066900463389e-06,0.00033219610537739284
140,PSMB10,4.505133,1.1341392,7.285358394038359e-06,0.00033811348306732027
141,RPN2,4.4874315,1.2204834,7.898785653956358e-06,0.00036295311108922235
142,NAMPT,4.4843154,1.3467499,8.016284967333828e-06,0.0003665377195408502
143,COLGALT1,4.4815903,1.5140446,8.11651856562248e-06,0.0003693015947358228
144,CPVL,4.4753733,2.3760433,8.424947412499167e-06,0.00037961340719814207
145,YWHAQ,4.46341,1.4379072,8.822943041007363e-06,0.00039562588070835914
146,VIM,4.4520116,1.1129357,9.29919669727512e-06,0.0004149766526159022
147,STAT5A,4.435217,2.5917072,1.0168974026618569e-05,0.0004473384687918178
148,PMEPA1,4.4344482,1.9048735,1.00967790410107e-05,0.00044627763361267293
149,IL2RG,4.429227,1.3453271,1.0316923492333963e-05,0.0004505603949984913
150,RAB5A,4.4076133,1.3701046,1.1386677097520056e-05,0.0004894508106383814
151,TMPRSS2,4.406977,1.0896955,1.1426001949812687e-05,0.0004894508106383814
152,CYTH1,4.395142,1.1431688,1.2052581854107079e-05,0.0005131746090358802
153,ISG15,4.3588142,1.0975084,1.4200747242032382e-05,0.00059643138416536
154,SLC2A8,4.352568,2.8156781,1.4818048216114406e-05,0.0006095792036416045
155,APOE,4.351756,1.2081184,1.4655100706330349e-05,0.0006095792036416045
156,ITGA2,4.3504786,2.4862375,1.4842156865223294e-05,0.0006095792036416045
157,BST2,4.3362827,1.1376656,1.5718409518084602e-05,0.0006371103805539794
158,TMC6,4.329774,1.0684341,1.6181834191777886e-05,0.000646444274650969
159,MFSD12,4.3289886,1.5313385,1.6227269553294093e-05,0.000646444274650969
160,ISG20L2,4.313879,2.5280502,1.753681347282888e-05,0.0006956269344222122
161,GM2A,4.287863,1.5036695,1.948243485683827e-05,0.0007613739744183035
162,A2M,4.274617,1.0786712,2.0681592208412535e-05,0.0008032072756421973
163,TATDN2,4.264485,2.0281613,2.1681521015030796e-05,0.0008359348132880187
164,ELOC,4.2586904,2.1952178,2.2310790025679785e-05,0.0008494983556004042
165,GOLM1,4.241708,1.2155622,2.388243811536943e-05,0.0009011251649872319
166,PFKFB3,4.232073,2.581329,2.522877882372486e-05,0.0009442480848460249
167,FUCA1,4.201066,1.2069274,2.8534342336788147e-05,0.0010552022532672016
168,CALHM6,4.1858664,2.5587075,3.0834493975646476e-05,0.0011267943822124038
169,LTB,4.1718645,1.0467842,3.241635420995396e-05,0.0011799552932423242
170,XBP1,4.1638145,1.1487777,3.3534821761108326e-05,0.0012158992796351856
171,C1R,4.158981,1.5669422,3.426674464147915e-05,0.0012365191117471963
172,PRELID1,4.1581254,1.6233108,3.436995591798929e-05,0.0012365191117471963
173,COL5A1,4.153766,2.0581021,3.5195380119166365e-05,0.0012597503071680883
174,NFKBIA,4.1520114,1.0713495,3.528712345008651e-05,0.0012597503071680883
175,ARHGEF18,4.1495357,1.1751235,3.566663113775004e-05,0.001268420192416076
176,R3HDM4,4.141262,1.3182538,3.6953815000303095e-05,0.0013091805756977608
177,ANXA5,4.139353,1.3731745,3.725820386270933e-05,0.0013149454306223118
178,IGFBP2,4.133796,2.291537,3.841787301703119e-05,0.0013476076062046906
179,TNFAIP2,4.1069765,1.1583214,4.2795140272500266e-05,0.0014933251579298777
180,AOAH,4.103109,2.666671,4.392481394176115e-05,0.0015270042060203258
181,FCER1G,4.0999165,1.5536424,4.413204107266275e-05,0.0015276680539616648
182,NECTIN2,4.0930877,1.2102491,4.540405460020881e-05,0.001556147027005087
183,RPN1,4.091134,1.0588484,4.5843075367153634e-05,0.001556147027005087
184,MMP2,4.0904894,1.7466418,4.593722303813494e-05,0.001556147027005087
185,EMILIN1,4.0897174,1.9539269,4.6104334456625614e-05,0.001556147027005087
186,SLC16A3,4.0882325,1.1786691,4.635064143006355e-05,0.001558792223745833
187,DNAJA1,4.082662,1.2183307,4.7462629444057884e-05,0.001590426449457564
188,ADAM19,4.078159,2.2746768,4.8692868389106866e-05,0.0016217612488889969
189,RAB1A,4.068789,1.0037166,5.035757186708523e-05,0.0016634127475810858
190,TWF2,4.0638137,2.2219882,5.165734271308976e-05,0.0017002959399393589
191,SLC20A1,4.0532203,1.1548642,5.380835744310186e-05,0.0017648380699182738
192,MMP25,4.0507402,3.832455,5.554144825363459e-05,0.001802572456958868
193,TGFBI,4.047817,1.7987808,5.507406929088106e-05,0.0017936754777472211
194,APBA2,4.022406,2.6750493,6.180308409213476e-05,0.001998802183077334
195,MPEG1,4.005635,1.6012129,6.566789188498227e-05,0.002116421432209741
196,CCN4,4.003394,23.906136,6.87696314433141e-05,0.0021785655940506536
197,PXDN,4.003394,23.906136,6.87696314433141e-05,0.0021785655940506536
198,COX17,4.002479,1.3036847,6.651613256173843e-05,0.0021289749739243314
199,BACE2,4.000614,1.8784757,6.720174757157429e-05,0.002143527907076813
