Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Antimicrobial Peptides R-HSA-6803157	2/89	3.531335e-03	8.203599e-02	0	0	2.540613e+01	1.434450e+02	PLA2G2A;LCN2
Reactome_2022	Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	2/107	5.059198e-03	8.203599e-02	0	0	2.103175e+01	1.111853e+02	MUC1;LCN2
Reactome_2022	Metal Sequestration By Antimicrobial Proteins R-HSA-6799990	1/6	5.985691e-03	8.203599e-02	0	0	2.102632e+02	1.076207e+03	LCN2
Reactome_2022	Scavenging Of Heme From Plasma R-HSA-2168880	1/12	1.193737e-02	8.203599e-02	0	0	9.554545e+01	4.230831e+02	JCHAIN
Reactome_2022	Acyl Chain Remodelling Of PI R-HSA-1482922	1/17	1.687123e-02	8.203599e-02	0	0	6.567105e+01	2.680788e+02	PLA2G2A
Reactome_2022	Acyl Chain Remodelling Of PG R-HSA-1482925	1/18	1.785520e-02	8.203599e-02	0	0	6.180495e+01	2.487934e+02	PLA2G2A
Reactome_2022	Defective GALNT12 Causes CRCS1 R-HSA-5083636	1/18	1.785520e-02	8.203599e-02	0	0	6.180495e+01	2.487934e+02	MUC1
Reactome_2022	Defective GALNT3 Causes HFTC R-HSA-5083625	1/18	1.785520e-02	8.203599e-02	0	0	6.180495e+01	2.487934e+02	MUC1
Reactome_2022	Defective C1GALT1C1 Causes TNPS R-HSA-5083632	1/19	1.883822e-02	8.203599e-02	0	0	5.836842e+01	2.318316e+02	MUC1
Reactome_2022	Acyl Chain Remodelling Of PS R-HSA-1482801	1/22	2.178169e-02	8.203599e-02	0	0	5.002256e+01	1.914206e+02	PLA2G2A
Reactome_2022	Termination Of O-glycan Biosynthesis R-HSA-977068	1/25	2.471677e-02	8.203599e-02	0	0	4.376316e+01	1.619356e+02	MUC1
Reactome_2022	Acyl Chain Remodelling Of PC R-HSA-1482788	1/27	2.666885e-02	8.203599e-02	0	0	4.039271e+01	1.463937e+02	PLA2G2A
Reactome_2022	Acyl Chain Remodelling Of PE R-HSA-1482839	1/29	2.861721e-02	8.203599e-02	0	0	3.750376e+01	1.332789e+02	PLA2G2A
Reactome_2022	Surfactant Metabolism R-HSA-5683826	1/29	2.861721e-02	8.203599e-02	0	0	3.750376e+01	1.332789e+02	DMBT1
