Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Potential Therapeutics For SARS R-HSA-9679191	2/97	4.178606e-03	1.151163e-01	0	0	2.325731e+01	1.273984e+02	TUBB;AP2A2
Reactome_2022	DEx/H-box Helicases Activate Type I IFN And Inflammatory Cytokines Production R-HSA-3134963	1/7	6.979996e-03	1.151163e-01	0	0	1.752105e+02	8.698689e+02	DHX36
Reactome_2022	Nef Mediated CD8 Down-regulation R-HSA-182218	1/7	6.979996e-03	1.151163e-01	0	0	1.752105e+02	8.698689e+02	AP2A2
Reactome_2022	Nef Mediated CD4 Down-regulation R-HSA-167590	1/8	7.973357e-03	1.151163e-01	0	0	1.501729e+02	7.255830e+02	AP2A2
Reactome_2022	Noncanonical Activation Of NOTCH3 R-HSA-9017802	1/8	7.973357e-03	1.151163e-01	0	0	1.501729e+02	7.255830e+02	YBX1
Reactome_2022	Immune System R-HSA-168256	6/1943	9.771854e-03	1.151163e-01	0	0	3.992109e+00	1.847647e+01	ERAP2;TUBB;DHX36;GBP2;AP2A2;ITM2C
Reactome_2022	Organic Cation Transport R-HSA-549127	1/10	9.957248e-03	1.151163e-01	0	0	1.167895e+02	5.383358e+02	SLC22A18
Reactome_2022	Neutrophil Degranulation R-HSA-6798695	3/468	1.079323e-02	1.151163e-01	0	0	7.406072e+00	3.354089e+01	TUBB;AP2A2;ITM2C
Reactome_2022	WNT5A-dependent Internalization Of FZD2, FZD5 And ROR2 R-HSA-5140745	1/11	1.094778e-02	1.151163e-01	0	0	1.051053e+02	4.745102e+02	AP2A2
Reactome_2022	Retrograde Neurotrophin Signaling R-HSA-177504	1/14	1.391373e-02	1.151163e-01	0	0	8.083806e+01	3.455729e+02	AP2A2
Reactome_2022	Organic Cation/Anion/Zwitterion Transport R-HSA-549132	1/15	1.490050e-02	1.151163e-01	0	0	7.506015e+01	3.157300e+02	SLC22A18
Reactome_2022	WNT5A-dependent Internalization Of FZD4 R-HSA-5099900	1/15	1.490050e-02	1.151163e-01	0	0	7.506015e+01	3.157300e+02	AP2A2
Reactome_2022	VLDLR Internalisation And Degradation R-HSA-8866427	1/16	1.588634e-02	1.151163e-01	0	0	7.005263e+01	2.901787e+02	AP2A2
Reactome_2022	Trafficking Of GluR2-containing AMPA Receptors R-HSA-416993	1/17	1.687123e-02	1.151163e-01	0	0	6.567105e+01	2.680788e+02	AP2A2
Reactome_2022	Innate Immune System R-HSA-168249	4/1035	1.778040e-02	1.151163e-01	0	0	4.594811e+00	1.851552e+01	TUBB;DHX36;AP2A2;ITM2C
Reactome_2022	LDL Clearance R-HSA-8964038	1/18	1.785520e-02	1.151163e-01	0	0	6.180495e+01	2.487934e+02	AP2A2
Reactome_2022	Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938	1/20	1.982031e-02	1.151163e-01	0	0	5.529363e+01	2.168090e+02	AP2A2
Reactome_2022	Post-chaperonin Tubulin Folding Pathway R-HSA-389977	1/23	2.276098e-02	1.151163e-01	0	0	4.774641e+01	1.806107e+02	TUBB
Reactome_2022	NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507	1/25	2.471677e-02	1.151163e-01	0	0	4.376316e+01	1.619356e+02	YBX1
Reactome_2022	Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960	1/26	2.569327e-02	1.151163e-01	0	0	4.201053e+01	1.538226e+02	TUBB
Reactome_2022	RNA Polymerase III Transcription Initiation From Type 2 Promoter R-HSA-76066	1/26	2.569327e-02	1.151163e-01	0	0	4.201053e+01	1.538226e+02	BDP1
Reactome_2022	Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952	1/27	2.666885e-02	1.151163e-01	0	0	4.039271e+01	1.463937e+02	AP2A2
Reactome_2022	RNA Polymerase III Transcription Initiation From Type 1 Promoter R-HSA-76061	1/27	2.666885e-02	1.151163e-01	0	0	4.039271e+01	1.463937e+02	BDP1
Reactome_2022	RNA Polymerase III Transcription Initiation From Type 3 Promoter R-HSA-76071	1/27	2.666885e-02	1.151163e-01	0	0	4.039271e+01	1.463937e+02	BDP1
Reactome_2022	Recycling Pathway Of L1 R-HSA-437239	1/28	2.764349e-02	1.151163e-01	0	0	3.889474e+01	1.395685e+02	AP2A2
Reactome_2022	Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170	1/28	2.764349e-02	1.151163e-01	0	0	3.889474e+01	1.395685e+02	ERAP2
Reactome_2022	Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957	1/28	2.764349e-02	1.151163e-01	0	0	3.889474e+01	1.395685e+02	TUBB
Reactome_2022	Surfactant Metabolism R-HSA-5683826	1/29	2.861721e-02	1.151163e-01	0	0	3.750376e+01	1.332789e+02	DMBT1
Reactome_2022	Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721	1/31	3.056186e-02	1.151163e-01	0	0	3.500000e+01	1.220801e+02	AP2A2
Reactome_2022	Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328	1/31	3.056186e-02	1.151163e-01	0	0	3.500000e+01	1.220801e+02	TUBB
Reactome_2022	Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958	1/33	3.250282e-02	1.176773e-01	0	0	3.280921e+01	1.124184e+02	TUBB
Reactome_2022	Plasma Lipoprotein Clearance R-HSA-8964043	1/35	3.444008e-02	1.176773e-01	0	0	3.087616e+01	1.040074e+02	AP2A2
Reactome_2022	RNA Polymerase III Transcription Initiation R-HSA-76046	1/35	3.444008e-02	1.176773e-01	0	0	3.087616e+01	1.040074e+02	BDP1
Reactome_2022	SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796	1/36	3.540733e-02	1.176773e-01	0	0	2.999248e+01	1.002000e+02	YBX1
Reactome_2022	RNA Polymerase III Abortive And Retractive Initiation R-HSA-749476	1/40	3.926713e-02	1.262768e-01	0	0	2.691093e+01	8.712057e+01	BDP1
Reactome_2022	Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332	1/41	4.022979e-02	1.262768e-01	0	0	2.623684e+01	8.430285e+01	TUBB
Reactome_2022	PKMTs Methylate Histone Lysines R-HSA-3214841	1/47	4.598651e-02	1.353122e-01	0	0	2.280778e+01	7.023444e+01	KMT2B
Reactome_2022	EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665	1/49	4.789811e-02	1.353122e-01	0	0	2.185526e+01	6.641113e+01	AP2A2
Reactome_2022	Signaling By NOTCH3 R-HSA-9012852	1/49	4.789811e-02	1.353122e-01	0	0	2.185526e+01	6.641113e+01	YBX1
Reactome_2022	mRNA Splicing - Minor Pathway R-HSA-72165	1/49	4.789811e-02	1.353122e-01	0	0	2.185526e+01	6.641113e+01	YBX1
Reactome_2022	Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793	1/51	4.980608e-02	1.372704e-01	0	0	2.097895e+01	6.292883e+01	YBX1
Reactome_2022	SARS-CoV Infections R-HSA-9679506	2/369	5.183426e-02	1.394588e-01	0	0	5.937935e+00	1.757453e+01	TUBB;AP2A2
Reactome_2022	Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	1/63	6.117783e-02	1.607696e-01	0	0	1.690832e+01	4.724134e+01	DHX36
Reactome_2022	RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459	1/66	6.400049e-02	1.639010e-01	0	0	1.612551e+01	4.432683e+01	KMT2B
Reactome_2022	Loss Of Nlp From Mitotic Centrosomes R-HSA-380259	1/69	6.681510e-02	1.639010e-01	0	0	1.541176e+01	4.170156e+01	TUBB
Reactome_2022	Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824	1/71	6.868703e-02	1.639010e-01	0	0	1.496992e+01	4.009238e+01	AP2A2
Reactome_2022	AURKA Activation By TPX2 R-HSA-8854518	1/72	6.962166e-02	1.639010e-01	0	0	1.475834e+01	3.932625e+01	TUBB
Reactome_2022	Interferon Alpha/Beta Signaling R-HSA-909733	1/72	6.962166e-02	1.639010e-01	0	0	1.475834e+01	3.932625e+01	GBP2
Reactome_2022	Nuclear Envelope (NE) Reassembly R-HSA-2995410	1/75	7.242021e-02	1.670099e-01	0	0	1.415789e+01	3.716830e+01	TUBB
