Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BioPlanet_2019	Complement cascade	7/77	7.058068e-13	5.081809e-11	0	0	1.531538e+02	4.285158e+03	IGHG3;IGHG4;IGHG2;IGKC;IGLC3;IGLC1;IGLC2
BioPlanet_2019	Innate immune system	7/319	1.595146e-08	5.742524e-07	0	0	3.394379e+01	6.094171e+02	IGHG3;IGHG4;IGHG2;IGKC;IGLC3;IGLC1;IGLC2
BioPlanet_2019	Immunoregulatory interactions between a lymphoid and a non-lymphoid cell	5/119	9.890602e-08	2.373744e-06	0	0	5.808772e+01	9.369024e+02	IGKC;IGLC3;IGLC1;IGLC2;ICAM1
BioPlanet_2019	Immune system	9/998	1.888114e-07	3.398605e-06	0	0	1.571091e+01	2.432445e+02	IGHG3;IGHM;IGHG4;IGHG2;IGKC;IGLC3;IGLC1;IGLC2;ICAM1
BioPlanet_2019	Signaling by the B cell receptor (BCR)	5/151	3.247689e-07	4.676672e-06	0	0	4.528311e+01	6.765365e+02	IGHM;IGKC;IGLC3;IGLC1;IGLC2
BioPlanet_2019	Antigen-activated B-cell receptor generation of second messengers	5/211	1.698502e-06	2.038203e-05	0	0	3.199676e+01	4.251014e+02	IGHM;IGKC;IGLC3;IGLC1;IGLC2
BioPlanet_2019	Adaptive immune system	6/606	2.035439e-05	2.093595e-04	0	0	1.384286e+01	1.495335e+02	IGHM;IGKC;IGLC3;IGLC1;IGLC2;ICAM1
BioPlanet_2019	Interleukin-11 pathway	2/23	2.373444e-04	2.136100e-03	0	0	1.056032e+02	8.813639e+02	MUC1;ICAM1
BioPlanet_2019	Type II interferon signaling (interferon-gamma)	2/50	1.130759e-03	9.046072e-03	0	0	4.613889e+01	3.130462e+02	REG1A;ICAM1
BioPlanet_2019	RANKL signaling pathway	2/54	1.317751e-03	9.487805e-03	0	0	4.258120e+01	2.823912e+02	ACP5;ICAM1
BioPlanet_2019	RANKL regulation of apoptosis and immune response	2/74	2.457641e-03	1.608638e-02	0	0	3.072222e+01	1.845961e+02	ACP5;ICAM1
BioPlanet_2019	Thymic stromal lymphopoietin (TSLP) pathway	2/90	3.609434e-03	2.165660e-02	0	0	2.511616e+01	1.412584e+02	ICAM1;IDO1
BioPlanet_2019	Interferon-gamma signaling pathway	2/97	4.178606e-03	2.314305e-02	0	0	2.325731e+01	1.273984e+02	REG1A;ICAM1
BioPlanet_2019	Interleukin-5 regulation of apoptosis	2/144	8.984472e-03	4.620585e-02	0	0	1.552269e+01	7.314692e+01	ICAM1;IDO1
BioPlanet_2019	Tryptophan catabolism	1/11	1.094778e-02	4.636707e-02	0	0	1.051053e+02	4.745102e+02	IDO1
BioPlanet_2019	B lymphocyte cell surface molecules	1/11	1.094778e-02	4.636707e-02	0	0	1.051053e+02	4.745102e+02	ICAM1
BioPlanet_2019	Monocyte and its surface molecules	1/11	1.094778e-02	4.636707e-02	0	0	1.051053e+02	4.745102e+02	ICAM1
BioPlanet_2019	T helper cell surface molecules	1/13	1.292602e-02	4.770422e-02	0	0	8.757895e+01	3.808382e+02	ICAM1
BioPlanet_2019	CTL mediated immune response against target cells	1/13	1.292602e-02	4.770422e-02	0	0	8.757895e+01	3.808382e+02	ICAM1
BioPlanet_2019	Adhesion and diapedesis of lymphocytes	1/14	1.391373e-02	4.770422e-02	0	0	8.083806e+01	3.455729e+02	ICAM1
BioPlanet_2019	Interleukin-6 regulation of target genes	1/14	1.391373e-02	4.770422e-02	0	0	8.083806e+01	3.455729e+02	ICAM1
BioPlanet_2019	Adhesion and diapedesis of granulocytes	1/15	1.490050e-02	4.858916e-02	0	0	7.506015e+01	3.157300e+02	ICAM1
BioPlanet_2019	Riboflavin metabolism	1/16	1.588634e-02	4.858916e-02	0	0	7.005263e+01	2.901787e+02	ACP5
BioPlanet_2019	Cells and molecules involved in local acute inflammatory response	1/17	1.687123e-02	4.858916e-02	0	0	6.567105e+01	2.680788e+02	ICAM1
BioPlanet_2019	Osteoclast signaling	1/17	1.687123e-02	4.858916e-02	0	0	6.567105e+01	2.680788e+02	ACP5
BioPlanet_2019	STAT3 pathway	1/19	1.883822e-02	5.216738e-02	0	0	5.836842e+01	2.318316e+02	REG1A
BioPlanet_2019	ID regulation of gene expression	1/20	1.982031e-02	5.285416e-02	0	0	5.529363e+01	2.168090e+02	ICAM1
BioPlanet_2019	Termination of O-glycan biosynthesis	1/26	2.569327e-02	6.379020e-02	0	0	4.201053e+01	1.538226e+02	MUC1
