Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Netrin-1 Signaling R-HSA-373752	3/49	5.919504e-03	5.451477e-01	0	0	8.786158e+00	4.506862e+01	ABLIM3;SIAH2;MAPK12
Reactome_2022	Telomere Extension By Telomerase R-HSA-171319	2/23	1.275005e-02	5.451477e-01	0	0	1.275997e+01	5.566181e+01	PIF1;GAR1
Reactome_2022	RNA Polymerase III Transcription Initiation From Type 3 Promoter R-HSA-76071	2/27	1.734688e-02	5.451477e-01	0	0	1.071622e+01	4.344722e+01	SNAPC5;POLR3GL
Reactome_2022	Downregulation Of ERBB2 Signaling R-HSA-8863795	2/29	1.987052e-02	5.451477e-01	0	0	9.921421e+00	3.887727e+01	AKT3;MATK
Reactome_2022	RNA Polymerase III Transcription Initiation R-HSA-76046	2/35	2.828383e-02	5.451477e-01	0	0	8.115070e+00	2.893400e+01	SNAPC5;POLR3GL
Reactome_2022	VEGFA-VEGFR2 Pathway R-HSA-4420097	3/93	3.287813e-02	5.451477e-01	0	0	4.480726e+00	1.530144e+01	SPHK1;AKT3;MAPK12
Reactome_2022	RNA Polymerase III Abortive And Retractive Initiation R-HSA-749476	2/40	3.619095e-02	5.451477e-01	0	0	7.045519e+00	2.338370e+01	SNAPC5;POLR3GL
Reactome_2022	FasL/ CD95L Signaling R-HSA-75157	1/5	3.694514e-02	5.451477e-01	0	0	3.329866e+01	1.098297e+02	FADD
Reactome_2022	Vitamin B1 (Thiamin) Metabolism R-HSA-196819	1/5	3.694514e-02	5.451477e-01	0	0	3.329866e+01	1.098297e+02	SLC25A19
Reactome_2022	Defective RIPK1-mediated Regulated Necrosis R-HSA-9693928	1/5	3.694514e-02	5.451477e-01	0	0	3.329866e+01	1.098297e+02	FADD
Reactome_2022	Signaling By VEGF R-HSA-194138	3/102	4.145998e-02	5.451477e-01	0	0	4.071532e+00	1.295979e+01	SPHK1;AKT3;MAPK12
Reactome_2022	Sphingolipid De Novo Biosynthesis R-HSA-1660661	2/44	4.305339e-02	5.451477e-01	0	0	6.373230e+00	2.004581e+01	SPHK1;SGPP1
Reactome_2022	TLR3-mediated TICAM1-dependent Programmed Cell Death R-HSA-9013957	1/6	4.416983e-02	5.451477e-01	0	0	2.663758e+01	8.310162e+01	FADD
Reactome_2022	Transport And Synthesis Of PAPS R-HSA-174362	1/6	4.416983e-02	5.451477e-01	0	0	2.663758e+01	8.310162e+01	SLC35B2
Reactome_2022	Degradation Of Extracellular Matrix R-HSA-1474228	3/109	4.883680e-02	5.451477e-01	0	0	3.801309e+00	1.147718e+01	CAPN12;HTRA1;ADAM8
Reactome_2022	Release Of Apoptotic Factors From Mitochondria R-HSA-111457	1/7	5.134069e-02	5.451477e-01	0	0	2.219687e+01	6.590853e+01	SEPTIN4
Reactome_2022	Signaling By ERBB2 R-HSA-1227986	2/49	5.224764e-02	5.451477e-01	0	0	5.693790e+00	1.680670e+01	AKT3;MATK
Reactome_2022	Extension Of Telomeres R-HSA-180786	2/50	5.416366e-02	5.451477e-01	0	0	5.574887e+00	1.625495e+01	PIF1;GAR1
Reactome_2022	TRAIL Signaling R-HSA-75158	1/8	5.845811e-02	5.451477e-01	0	0	1.902493e+01	5.402023e+01	FADD
Reactome_2022	Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364	1/8	5.845811e-02	5.451477e-01	0	0	1.902493e+01	5.402023e+01	LEF1
Reactome_2022	RUNX2 Regulates Genes Involved In Cell Migration R-HSA-8941332	1/8	5.845811e-02	5.451477e-01	0	0	1.902493e+01	5.402023e+01	AKT3
Reactome_2022	RUNX3 Regulates WNT Signaling R-HSA-8951430	1/8	5.845811e-02	5.451477e-01	0	0	1.902493e+01	5.402023e+01	LEF1
Reactome_2022	Linoleic Acid (LA) Metabolism R-HSA-2046105	1/8	5.845811e-02	5.451477e-01	0	0	1.902493e+01	5.402023e+01	FADS2
Reactome_2022	SMAC, XIAP-regulated Apoptotic Response R-HSA-111469	1/8	5.845811e-02	5.451477e-01	0	0	1.902493e+01	5.402023e+01	SEPTIN4
Reactome_2022	Intrinsic Pathway For Apoptosis R-HSA-109606	2/55	6.410341e-02	5.451477e-01	0	0	5.047680e+00	1.386728e+01	AKT3;SEPTIN4
Reactome_2022	TRIF-mediated Programmed Cell Death R-HSA-2562578	1/9	6.552249e-02	5.451477e-01	0	0	1.664597e+01	4.536630e+01	FADD
Reactome_2022	Prevention Of Phagosomal-Lysosomal Fusion R-HSA-9636383	1/9	6.552249e-02	5.451477e-01	0	0	1.664597e+01	4.536630e+01	VPS33B
Reactome_2022	Transport Of Nucleotide Sugars R-HSA-727802	1/9	6.552249e-02	5.451477e-01	0	0	1.664597e+01	4.536630e+01	SLC35B2
Reactome_2022	Transcriptional Regulation Of Granulopoiesis R-HSA-9616222	2/59	7.245942e-02	5.451477e-01	0	0	4.692508e+00	1.231656e+01	SPI1;LEF1
Reactome_2022	AKT Phosphorylates Targets In Nucleus R-HSA-198693	1/10	7.253421e-02	5.451477e-01	0	0	1.479567e+01	3.881937e+01	AKT3
Reactome_2022	Activation Of PPARGC1A (PGC-1alpha) By Phosphorylation R-HSA-2151209	1/10	7.253421e-02	5.451477e-01	0	0	1.479567e+01	3.881937e+01	MAPK12
Reactome_2022	rRNA Modification In Nucleus And Cytosol R-HSA-6790901	2/60	7.460088e-02	5.451477e-01	0	0	4.611370e+00	1.196929e+01	RCL1;GAR1
Reactome_2022	Synthesis Of PIPs At Late Endosome Membrane R-HSA-1660517	1/11	7.949367e-02	5.451477e-01	0	0	1.331544e+01	3.371572e+01	MTM1
