Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Chylomicron Assembly R-HSA-8963888	4/9	7.271157e-08	1.141572e-05	0	0	1.657917e+02	2.725079e+03	APOA1;APOC3;APOA4;APOB
Reactome_2022	Chylomicron Remodeling R-HSA-8963901	4/9	7.271157e-08	1.141572e-05	0	0	1.657917e+02	2.725079e+03	APOA1;APOC3;APOA4;APOB
Reactome_2022	Plasma Lipoprotein Assembly R-HSA-8963898	4/16	1.022429e-06	1.070143e-04	0	0	6.905556e+01	9.525060e+02	APOA1;APOC3;APOA4;APOB
Reactome_2022	Metabolism R-HSA-1430728	27/2049	1.808774e-06	1.419888e-04	0	0	3.270233e+00	4.324184e+01	OAT;GMPS;PFAS;TMEM186;FUT4;HACD4;ALDH1B1;CHSY1;MPC2;CD36;ENPP3;APOB;CHGA;CYB5A;ABCC2;AGK;APOA1;APOC3;APOA4;FABP2;AADAC;FABP6;MTHFD2L;GSTA1;ALDH1A1;DPEP1;ALDOC
Reactome_2022	Scavenging By Class B Receptors R-HSA-3000471	3/6	2.399297e-06	1.506758e-04	0	0	2.051237e+02	2.654370e+03	APOA1;CD36;APOB
Reactome_2022	Alpha-defensins R-HSA-1462054	3/8	6.669353e-06	3.490295e-04	0	0	1.230619e+02	1.466650e+03	DEFA6;DEFA5;PRSS2
Reactome_2022	Plasma Lipoprotein Remodeling R-HSA-8963899	4/33	2.153627e-05	9.660554e-04	0	0	2.855029e+01	3.067949e+02	APOA1;APOC3;APOA4;APOB
Reactome_2022	Metabolism Of Vitamins And Cofactors R-HSA-196854	7/186	4.150935e-05	1.629242e-03	0	0	8.292605e+00	8.366900e+01	CYB5A;MTHFD2L;APOA1;APOC3;APOA4;ENPP3;APOB
Reactome_2022	Retinoid Metabolism And Transport R-HSA-975634	4/43	6.250942e-05	2.180884e-03	0	0	2.121902e+01	2.054042e+02	APOA1;APOC3;APOA4;APOB
Reactome_2022	Antimicrobial Peptides R-HSA-6803157	5/89	8.410056e-05	2.539752e-03	0	0	1.241604e+01	1.165059e+02	CHGA;REG3A;DEFA6;DEFA5;PRSS2
Reactome_2022	Metabolism Of Fat-Soluble Vitamins R-HSA-6806667	4/47	8.897221e-05	2.539752e-03	0	0	1.924128e+01	1.794670e+02	APOA1;APOC3;APOA4;APOB
Reactome_2022	Digestion R-HSA-8935690	3/23	1.997303e-04	5.226276e-03	0	0	3.074227e+01	2.618793e+02	MGAM;GUCA2B;CEL
Reactome_2022	Digestion And Absorption R-HSA-8963743	3/28	3.628214e-04	8.763532e-03	0	0	2.458763e+01	1.947734e+02	MGAM;GUCA2B;CEL
Reactome_2022	Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824	4/71	4.421954e-04	9.917812e-03	0	0	1.233396e+01	9.526449e+01	APOA1;APOC3;APOA4;APOB
Reactome_2022	HDL Remodeling R-HSA-8964058	2/10	1.085038e-03	2.075923e-02	0	0	5.074490e+01	3.463918e+02	APOA1;APOC3
Reactome_2022	Purine Ribonucleoside Monophosphate Biosynthesis R-HSA-73817	2/10	1.085038e-03	2.075923e-02	0	0	5.074490e+01	3.463918e+02	GMPS;PFAS
Reactome_2022	Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782	3/41	1.126327e-03	2.075923e-02	0	0	1.616549e+01	1.097442e+02	APOA1;CD36;APOB
Reactome_2022	Defensins R-HSA-1461973	3/43	1.294547e-03	2.075923e-02	0	0	1.535567e+01	1.021090e+02	DEFA6;DEFA5;PRSS2
Reactome_2022	Ethanol Oxidation R-HSA-71384	2/11	1.321840e-03	2.075923e-02	0	0	4.510431e+01	2.989843e+02	ALDH1B1;ALDH1A1
Reactome_2022	Drug ADME R-HSA-9748784	4/95	1.322244e-03	2.075923e-02	0	0	9.070055e+00	6.012018e+01	SLC22A3;ABCC2;GSTA1;GMPS
Reactome_2022	Visual Phototransduction R-HSA-2187338	4/98	1.483293e-03	2.217877e-02	0	0	8.779255e+00	5.718359e+01	APOA1;APOC3;APOA4;APOB
Reactome_2022	Nucleotide Biosynthesis R-HSA-8956320	2/13	1.862428e-03	2.658193e-02	0	0	3.689981e+01	2.319476e+02	GMPS;PFAS
Reactome_2022	Heme Degradation R-HSA-189483	2/16	2.837415e-03	3.873688e-02	0	0	2.898834e+01	1.700126e+02	ABCC2;GSTA1
