Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Peptide Chain Elongation R-HSA-156902	13/86	6.911805e-30	1.565545e-28	0	0	1.772986e+03	1.190460e+05	RPL41;RPLP1;RPL34;RPS4X;RPS14;RPS17;RPS28;RPS27;RPS19;RPL37A;RPLP2;RPL29;RPS23
Reactome_2022	Selenocysteine Synthesis R-HSA-2408557	13/90	1.304621e-29	1.565545e-28	0	0	1.680545e+03	1.117715e+05	RPL41;RPLP1;RPL34;RPS4X;RPS14;RPS17;RPS28;RPS27;RPS19;RPL37A;RPLP2;RPL29;RPS23
Reactome_2022	Viral mRNA Translation R-HSA-192823	13/90	1.304621e-29	1.565545e-28	0	0	1.680545e+03	1.117715e+05	RPL41;RPLP1;RPL34;RPS4X;RPS14;RPS17;RPS28;RPS27;RPS19;RPL37A;RPLP2;RPL29;RPS23
Reactome_2022	Eukaryotic Translation Elongation R-HSA-156842	13/90	1.304621e-29	1.565545e-28	0	0	1.680545e+03	1.117715e+05	RPL41;RPLP1;RPL34;RPS4X;RPS14;RPS17;RPS28;RPS27;RPS19;RPL37A;RPLP2;RPL29;RPS23
Reactome_2022	Eukaryotic Translation Termination R-HSA-72764	13/90	1.304621e-29	1.565545e-28	0	0	1.680545e+03	1.117715e+05	RPL41;RPLP1;RPL34;RPS4X;RPS14;RPS17;RPS28;RPS27;RPS19;RPL37A;RPLP2;RPL29;RPS23
Reactome_2022	Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	13/92	1.772226e-29	1.772226e-28	0	0	1.637835e+03	1.084292e+05	RPL41;RPLP1;RPL34;RPS4X;RPS14;RPS17;RPS28;RPS27;RPS19;RPL37A;RPLP2;RPL29;RPS23
Reactome_2022	Formation Of A Pool Of Free 40S Subunits R-HSA-72689	13/98	4.263225e-29	3.197419e-28	0	0	1.521765e+03	9.940919e+04	RPL41;RPLP1;RPL34;RPS4X;RPS14;RPS17;RPS28;RPS27;RPS19;RPL37A;RPLP2;RPL29;RPS23
Reactome_2022	Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	13/98	4.263225e-29	3.197419e-28	0	0	1.521765e+03	9.940919e+04	RPL41;RPLP1;RPL34;RPS4X;RPS14;RPS17;RPS28;RPS27;RPS19;RPL37A;RPLP2;RPL29;RPS23
Reactome_2022	SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339	13/108	1.632309e-28	9.793856e-28	0	0	1.360895e+03	8.707329e+04	RPL41;RPLP1;RPL34;RPS4X;RPS14;RPS17;RPS28;RPS27;RPS19;RPL37A;RPLP2;RPL29;RPS23
Reactome_2022	L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827	13/108	1.632309e-28	9.793856e-28	0	0	1.360895e+03	8.707329e+04	RPL41;RPLP1;RPL34;RPS4X;RPS14;RPS17;RPS28;RPS27;RPS19;RPL37A;RPLP2;RPL29;RPS23
