Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Metabolism R-HSA-1430728	44/2049	4.270749e-07	3.109106e-04	0	0	2.569747e+00	3.768869e+01	ACHE;ACY3;OAT;MOGAT3;SDC4;ACY1;NDUFA11;MOGAT2;GDA;SAR1B;AK2;MAT2B;DNPH1;CYP2C18;CYP3A5;PAPSS2;PPCS;GNA11;UGT2A3;SLC37A4;XDH;PCK2;GSTK1;AMN;ACOT7;HMGCS1;PHYKPL;GLYCTK;EPHX2;SLC52A1;PSMB9;HADHB;FABP2;PLCB3;HOOK2;SCO2;PSME2;CHPT1;ALDOB;NAGS;LPIN1;CRAT;UGT2B7;PNPLA2
Reactome_2022	Antigen processing-Cross Presentation R-HSA-1236975	7/104	7.428237e-05	2.703878e-02	0	0	7.524628e+00	7.154143e+01	PSME2;ITGAV;STX4;HLA-A;HLA-F;TAPBP;PSMB9
Reactome_2022	Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170	4/28	1.523203e-04	3.080216e-02	0	0	1.717014e+01	1.509174e+02	SAR1B;HLA-A;HLA-F;TAPBP
Reactome_2022	Transport To Golgi And Subsequent Modification R-HSA-948021	8/164	2.187009e-04	3.080216e-02	0	0	5.359520e+00	4.516899e+01	DCTN5;SERPINA1;MOGAT3;SAR1B;MOGAT2;PPP6R3;MGAT4B;CSNK1D
Reactome_2022	ER-Phagosome Pathway R-HSA-1236974	6/89	2.427757e-04	3.080216e-02	0	0	7.503234e+00	6.245221e+01	PSME2;STX4;HLA-A;HLA-F;TAPBP;PSMB9
Reactome_2022	Biological Oxidations R-HSA-211859	9/218	3.098354e-04	3.080216e-02	0	0	4.512320e+00	3.645715e+01	GSTK1;ACY3;ACY1;UGT2A3;MAT2B;CYP2C18;CYP3A5;PAPSS2;UGT2B7
Reactome_2022	Triglyceride Biosynthesis R-HSA-75109	3/14	3.115494e-04	3.080216e-02	0	0	2.796938e+01	2.258235e+02	MOGAT3;MOGAT2;LPIN1
Reactome_2022	Nucleotide Catabolism R-HSA-8956319	4/35	3.692133e-04	3.080216e-02	0	0	1.328831e+01	1.050326e+02	GDA;SCO2;DNPH1;XDH
Reactome_2022	Signaling By MET R-HSA-6806834	5/63	3.807959e-04	3.080216e-02	0	0	8.912259e+00	7.016841e+01	SPINT1;ITGA3;SRC;STAT3;SPINT2
Reactome_2022	Triglyceride Metabolism R-HSA-8979227	4/37	4.586506e-04	3.338977e-02	0	0	1.248169e+01	9.594953e+01	FABP2;MOGAT3;MOGAT2;LPIN1
Reactome_2022	Purine Catabolism R-HSA-74259	3/17	5.695376e-04	3.769303e-02	0	0	2.197261e+01	1.641505e+02	GDA;DNPH1;XDH
Reactome_2022	Aflatoxin Activation And Detoxification R-HSA-5423646	3/19	7.999624e-04	4.853105e-02	0	0	1.922409e+01	1.370860e+02	ACY3;ACY1;CYP3A5
Reactome_2022	Signaling By MST1 R-HSA-8852405	2/5	9.371200e-04	4.873024e-02	0	0	6.804467e+01	4.744550e+02	SPINT1;SPINT2
Reactome_2022	Fructose Catabolism R-HSA-70350	2/5	9.371200e-04	4.873024e-02	0	0	6.804467e+01	4.744550e+02	GLYCTK;ALDOB
Reactome_2022	Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169	11/378	1.306855e-03	6.342604e-02	0	0	3.149083e+00	2.091033e+01	RNF213;SAR1B;PSME2;STX4;ITGAV;RBCK1;HLA-A;HLA-F;UBE2Z;PSMB9;TAPBP
Reactome_2022	MET Receptor Activation R-HSA-6806942	2/6	1.396614e-03	6.354592e-02	0	0	5.103093e+01	3.354623e+02	SPINT1;SPINT2
Reactome_2022	Fructose Metabolism R-HSA-5652084	2/7	1.942657e-03	7.819967e-02	0	0	4.082268e+01	2.548845e+02	GLYCTK;ALDOB
Reactome_2022	Signaling By ALK R-HSA-201556	3/26	2.040925e-03	7.819967e-02	0	0	1.336855e+01	8.280951e+01	SRC;STAT3;IL2RG
Reactome_2022	N-glycan Antennae Elongation In medial/trans-Golgi R-HSA-975576	3/26	2.040925e-03	7.819967e-02	0	0	1.336855e+01	8.280951e+01	MOGAT3;MOGAT2;MGAT4B
Reactome_2022	Synthesis Of PC R-HSA-1483191	3/27	2.279597e-03	8.074064e-02	0	0	1.281088e+01	7.793828e+01	ACHE;CHPT1;LPIN1
Reactome_2022	Drug ADME R-HSA-9748784	5/95	2.439965e-03	8.074064e-02	0	0	5.734148e+00	3.449532e+01	ABCB1;ACY1;UGT2A3;XDH;UGT2B7
Reactome_2022	Metabolism Of Nucleotides R-HSA-15869	5/95	2.439965e-03	8.074064e-02	0	0	5.734148e+00	3.449532e+01	GDA;SCO2;AK2;DNPH1;XDH
Reactome_2022	Fatty Acids Bound To GPR40 (FFAR1) Regulate Insulin Secretion R-HSA-434316	2/8	2.573527e-03	8.145772e-02	0	0	3.401718e+01	2.028267e+02	PLCB3;GNA11
Reactome_2022	Interleukin-9 Signaling R-HSA-8985947	2/9	3.287525e-03	9.588417e-02	0	0	2.915611e+01	1.667036e+02	STAT3;IL2RG
Reactome_2022	Gluconeogenesis R-HSA-70263	3/32	3.729302e-03	9.588417e-02	0	0	1.059943e+01	5.926706e+01	ALDOB;SLC37A4;PCK2
Reactome_2022	COPII-mediated Vesicle Transport R-HSA-204005	4/66	4.014664e-03	9.588417e-02	0	0	6.633737e+00	3.660364e+01	SERPINA1;SAR1B;PPP6R3;CSNK1D
Reactome_2022	Phase II - Conjugation Of Compounds R-HSA-156580	5/107	4.075172e-03	9.588417e-02	0	0	5.056462e+00	2.782491e+01	GSTK1;UGT2A3;MAT2B;UGT2B7;PAPSS2
Reactome_2022	Acetylcholine Regulates Insulin Secretion R-HSA-399997	2/10	4.082980e-03	9.588417e-02	0	0	2.551031e+01	1.403304e+02	PLCB3;GNA11
Reactome_2022	STAT3 Nuclear Events Downstream Of ALK Signaling R-HSA-9701898	2/10	4.082980e-03	9.588417e-02	0	0	2.551031e+01	1.403304e+02	STAT3;IL2RG
Reactome_2022	Interleukin-21 Signaling R-HSA-9020958	2/10	4.082980e-03	9.588417e-02	0	0	2.551031e+01	1.403304e+02	STAT3;IL2RG
Reactome_2022	Nef Mediated Downregulation Of MHC Class I Complex Cell Surface Expression R-HSA-164940	2/10	4.082980e-03	9.588417e-02	0	0	2.551031e+01	1.403304e+02	AP1S1;HLA-A
Reactome_2022	Endosomal/Vacuolar Pathway R-HSA-1236977	2/11	4.958241e-03	1.093818e-01	0	0	2.267468e+01	1.203278e+02	HLA-A;HLA-F
Reactome_2022	Free Fatty Acids Regulate Insulin Secretion R-HSA-400451	2/11	4.958241e-03	1.093818e-01	0	0	2.267468e+01	1.203278e+02	PLCB3;GNA11
Reactome_2022	Adaptive Immune System R-HSA-1280218	15/733	5.863537e-03	1.229630e-01	0	0	2.202942e+00	1.132093e+01	DCTN5;SAR1B;SRC;HLA-A;HLA-F;UBE2Z;PSMB9;TAPBP;RNF213;AP1S1;PSME2;STX4;ITGAV;RBCK1;XDH
Reactome_2022	PECAM1 Interactions R-HSA-210990	2/12	5.911685e-03	1.229630e-01	0	0	2.040619e+01	1.047006e+02	SRC;ITGAV
Reactome_2022	Asparagine N-linked Glycosylation R-HSA-446203	8/282	6.795316e-03	1.374164e-01	0	0	3.033080e+00	1.513968e+01	DCTN5;SERPINA1;MOGAT3;MOGAT2;SAR1B;PPP6R3;MGAT4B;CSNK1D
Reactome_2022	Interleukin-15 Signaling R-HSA-8983432	2/14	8.046741e-03	1.583251e-01	0	0	1.700344e+01	8.199887e+01	STAT3;IL2RG
Reactome_2022	Glycerophospholipid Biosynthesis R-HSA-1483206	5/127	8.337344e-03	1.597260e-01	0	0	4.223243e+00	2.021671e+01	HADHB;ACHE;CHPT1;LPIN1;PNPLA2
Reactome_2022	Cellular Response To Chemical Stress R-HSA-9711123	6/182	9.202953e-03	1.717885e-01	0	0	3.521770e+00	1.651087e+01	SCO2;STAT3;PSME2;STAP2;SQSTM1;PSMB9
Reactome_2022	ER To Golgi Anterograde Transport R-HSA-199977	5/133	1.005953e-02	1.830834e-01	0	0	4.024051e+00	1.850756e+01	DCTN5;SERPINA1;SAR1B;PPP6R3;CSNK1D
Reactome_2022	Diseases Of Metabolism R-HSA-5668914	7/247	1.113141e-02	1.943189e-01	0	0	3.019136e+00	1.358003e+01	AMN;SDC4;ACY1;MOGAT2;ALDOB;SLC37A4;PAPSS2
Reactome_2022	Glucose Metabolism R-HSA-70326	4/89	1.143538e-02	1.943189e-01	0	0	4.833088e+00	2.160895e+01	HOOK2;ALDOB;SLC37A4;PCK2
Reactome_2022	Regulation Of RUNX1 Expression And Activity R-HSA-8934593	2/17	1.179644e-02	1.943189e-01	0	0	1.360069e+01	6.038647e+01	MOV10;SRC
Reactome_2022	MET Activates PTK2 Signaling R-HSA-8874081	2/17	1.179644e-02	1.943189e-01	0	0	1.360069e+01	6.038647e+01	ITGA3;SRC
Reactome_2022	Death Receptor Signaling R-HSA-73887	5/139	1.201147e-02	1.943189e-01	0	0	3.842698e+00	1.699200e+01	SPPL2A;TNFSF10;RBCK1;SQSTM1;ARHGEF5
Reactome_2022	Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927	3/52	1.440681e-02	2.268168e-01	0	0	6.266787e+00	2.657152e+01	ERBB2;STAT3;STAP2
Reactome_2022	Signaling By KIT In Disease R-HSA-9669938	2/19	1.464339e-02	2.268168e-01	0	0	1.199939e+01	5.068263e+01	SRC;STAT3
Reactome_2022	Regulation Of RUNX3 Expression And Activity R-HSA-8941858	3/54	1.594167e-02	2.303899e-01	0	0	6.020421e+00	2.491743e+01	SRC;PSME2;PSMB9
Reactome_2022	Syndecan Interactions R-HSA-3000170	2/20	1.616662e-02	2.303899e-01	0	0	1.133219e+01	4.674308e+01	SDC4;ITGAV
Reactome_2022	Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938	2/20	1.616662e-02	2.303899e-01	0	0	1.133219e+01	4.674308e+01	AP1S1;HLA-A
