,Bacteria,Relative Risk,95% CI Lower,95% CI Upper,p-value,PARP,previous_report
6,Bacteroides nordii,1.5801810769814184,1.2858516038705794,1.941882118071748,1.3569672570691616e-05,0.13131313835718517,-
26,Cutibacterium acnes,1.497295501992788,1.224723418677956,1.83053070276706,8.244199167758844e-05,0.1500432388939676,bad_species
19,Citrobacter freundii,1.451784882416881,1.1770272553384882,1.7906801522689233,0.0004965105717281706,0.14058490514881147,-
52,Gemella sanguinis,1.4504171325363377,1.0095134633187481,2.0838848958378855,0.04430699762471156,0.04676365921659754,-
35,Escherichia fergusonii,1.4258596377047403,1.1553222570336368,1.7597477189226358,0.0009499470154308282,0.1405489931021447,-
7,Bacteroides ovatus,1.4242489734169008,0.8911320486477814,2.2763014093782767,0.1393588268460593,0.02803503536798948,-
53,Haemophilus parainfluenzae,1.3969461305007589,1.1043460908427858,1.7670714893659656,0.005309342274394038,0.11232302226917842,bad_species
62,Massilistercora timonensis,1.3878768404314046,1.0584308381143346,1.8198658380338921,0.017754966138163054,0.08417052253790584,-
44,Faecalibacterium sp. I4384,1.371225388110564,0.9849193828481205,1.9090486975307224,0.06148948289193592,0.05605549324090247,good_genus
13,Blautia argi,1.3684149331980384,1.1409445838102477,1.6412360915425674,0.0007208603584544116,0.18750805267870768,-
74,Shigella dysenteriae,1.2791308918871562,1.0106031050376287,1.6190093127797291,0.04058992363999214,0.10269051733974191,-
14,Blautia hansenii,1.2270431555199768,0.7980655484020335,1.8866055658249556,0.35121301614035894,0.027863443014507668,good_genus
8,Bacteroides thetaiotaomicron,1.2216978754260588,0.9768715210120151,1.5278833159905254,0.07927837665589192,0.10247463527387625,-
23,Coprococcus comes,1.2123167275303863,1.019643038525482,1.441398403479862,0.029239289379028685,0.16812672686239738,good_species
75,Simiaoa sunii,1.2024757660395957,1.0685955188457419,1.3531293575649401,0.002201577808465179,0.35815966900051655,-
33,Escherichia albertii,1.2015591498621656,1.0996209024697832,1.3129473870265607,4.9188413556877875e-05,0.6504752762446118,-
25,Coprococcus sp. ART55/1,1.1961436672967862,0.5845998458333875,2.447417123031495,0.6239075184378917,0.009259938834427146,good_genus
55,Klebsiella michiganensis,1.1818412026636713,0.9797043668596732,1.425683783354591,0.08086005259287364,0.13032974429820618,-
48,Flintibacter sp. KGMB00164,1.1676210138453633,0.9018080451387022,1.5117838428283108,0.23967875006148365,0.06485367822048138,-
56,Klebsiella oxytoca,1.15378294926757,1.0234196518251415,1.3007519365555622,0.019366815566042746,0.2910331762325619,-
22,Coprococcus catus,1.1220683757919676,0.9921435053927307,1.2690073896659195,0.06660330802035826,0.23344695382512548,good_genus
66,Pseudomonas aeruginosa,1.1205523849785106,0.95165164180212,1.3194299177619842,0.1721076752011772,0.12960491332150662,-
24,Coprococcus eutactus,1.116605417692745,0.7884448188646173,1.581350563779755,0.5344646957276055,0.027519671450637915,-
10,Bacteroides xylanisolvens,1.1076408606221213,0.7324189300283637,1.6750908883146995,0.6280899719735211,0.018292550203453693,-
76,Sutterella wadsworthensis,1.106411172852827,1.0300607514835636,1.188420859304143,0.00557462874548573,0.6607998234461134,bad_species
31,Enterocloster clostridioformis,1.0877999067244744,0.8539772826991187,1.3856441629568377,0.49551142785935376,0.04557879010774361,-
1,Anaerobutyricum hallii,1.079465016423951,0.8867338714563647,1.3140861753362054,0.44605185342619924,0.06374146328680744,-
46,Faecalitalea cylindroides,1.0768211165970378,0.8331656873365125,1.391732442626332,0.5717542636740591,0.03625744250465355,-
70,Rothia mucilaginosa,1.0762864567770445,0.8561289796272715,1.3530584346601702,0.5289406875466194,0.04536229125606175,-
34,Escherichia coli,1.0344888832486208,0.9920503481815155,1.078742879861547,0.11262215108102347,0.9407317614554467,-
18,Blautia sp. SC05B48,1.033787063416693,0.7989212325903671,1.3376984474709472,0.8004970290397001,0.017225563209209562,good_genus
49,Fusobacterium nucleatum,1.023716549313819,0.7476946238715981,1.4016358281572525,0.8837513368272191,0.008285548799805675,bad_genus
47,Flavonifractor plautii,1.0063124845079732,0.8789332642246923,1.152152111764574,0.9273897798020632,0.012516107936031431,-
63,Parabacteroides distasonis,0.9966912459822274,0.49831280917610327,1.9935137558676332,0.9925234878815045,-0.0002499537139283243,good_genus
37,Escherichia sp. E4742,0.9966912459822274,0.49831280917610327,1.9935137558676332,0.9925234878815045,-0.0002499537139283243,-
11,Bifidobacterium longum,0.9966899943257045,0.5658488681377654,1.7555764458065777,0.9908415039334688,-0.00037507287130071794,good_genus
69,Roseburia intestinalis,0.9966874881696007,0.6427544613921904,1.5455138917623041,0.9881721009411262,-0.0006255963273563024,good_genus
20,Clostridioides difficile,0.996686233667866,0.6677455973553154,1.4876675373337502,0.9870408113516781,-0.0007510008427302126,-
57,Lachnoclostridium phocaeense,0.9646452235328383,0.8047303387640529,1.1563381700184097,0.6971079618065775,-0.042082875368116696,-
50,Fusobacterium ulcerans,0.963269376899696,0.7410211158997447,1.252174698619878,0.7797670553373941,-0.0208148830235332,bad_genus
12,Bifidobacterium pseudocatenulatum,0.9596801346801346,0.6485267329603247,1.4201202727536983,0.8369263498615432,-0.010280909210127859,good_genus
80,Wansuia hejianensis,0.9532621042753898,0.6217962705810988,1.4614250397454327,0.8262112937499023,-0.010151848263946325,-
